RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt,fixation_1.started,fixation_1.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,,,,0,0,0,0,,,,,0,0,0,0,,,,,18.929623699979857,None,space,58.107077799970284,18.929623699979857,None,,,,,,,,,,,,,,,,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,None,None,None,None,0,79.58158150000963,None,79.58158150000963,None,None,None,0,1,79.58158150000963,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,2,"[0, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,None,None,0,80.08159549999982,None,80.08159549999982,81.08157010003924,81.06489289994352,82.06491399998777,0,1,80.08159549999982,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,6,"[0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,None,None,0,82.08159610000439,None,82.08159610000439,83.08162029995583,83.06491429999005,84.06494169996586,0,1,82.08159610000439,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,None,None,0,84.08164270000998,None,84.08164270000998,85.08162279997487,85.0649288999848,86.06495959998574,0,1,84.08164270000998,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,4,4,4,,,,,,,,,None,None,0,86.08163699996658,None,86.08163699996658,87.08161859994289,87.064937200048,88.06495829997584,0,1,86.08163699996658,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,9,"[0.2, -0.2]",1,0,0,0,0,,,,,0,0,0,0,0,5,5,5,,,,,,,,,None,None,0,88.08163789997343,None,88.08163789997343,89.08164820005186,89.06495569995604,90.06496820005123,0,1,88.08163789997343,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,6,6,6,,,,,,,,,None,None,0,90.08163300005253,None,90.08163300005253,91.08167800004594,91.06498350005131,92.06498499994632,0,1,90.08163300005253,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,1,"[-0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,7,7,7,,,,,,,,,None,None,0,92.08165109995753,None,92.08165109995753,93.08166260004509,93.06497850001324,94.06500349997077,0,1,92.08165109995753,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,8,8,8,,,,,,,,,None,None,0,94.08166449994314,None,94.08166449994314,95.08168679999653,95.06500689999666,96.06500469997991,0,1,94.08166449994314,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,9,9,9,,,,,,,,,None,None,0,96.08169030002318,None,96.08169030002318,97.08170179999433,97.06502530002035,98.06505560001824,0,1,96.08169030002318,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,5,"[0, 0]",1,0,0,0,0,,,,,0,0,0,0,0,10,10,10,,,,,,,,,None,None,0,98.08170790004078,None,98.08170790004078,99.08175010001287,99.06508500000928,100.06504679995123,0,1,98.08170790004078,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,6,"[0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,11,11,11,,,,,,,,,None,None,0,100.08172420004848,None,100.08172420004848,101.08172480005305,101.0650552000152,102.06507050001528,0,1,100.08172420004848,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,12,12,12,,,,,,,,,None,None,0,102.08173249999527,None,102.08173249999527,103.0817481999984,103.06504969997332,104.06506870000158,0,1,102.08173249999527,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,6,"[0.2, 0]",1,0,0,0,0,,,,,0,0,0,0,0,13,13,13,,,,,,,,,None,None,0,104.08175719995052,None,104.08175719995052,105.0817592999665,105.06510659994092,106.06508680002298,0,1,104.08175719995052,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,8,"[0, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,14,14,14,,,,,,,,,None,None,0,106.08176920004189,None,106.08176920004189,107.08177369995974,107.06509469996672,108.06511880003382,0,1,106.08176920004189,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,15,15,15,,,,,,,,,None,None,0,108.0817869999446,None,108.0817869999446,109.08178849995602,109.06510580005124,110.06512459996156,0,1,108.0817869999446,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,16,16,16,,,,,,,,,None,None,0,110.0818024999462,None,110.0818024999462,111.08180759998504,111.0651270999806,112.06513959995937,0,0,110.0818024999462,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,1,"[-0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,17,17,17,,,,,,,,,None,None,0,112.08176370000001,None,112.08176370000001,113.08181350002997,113.0651478000218,114.06516929995269,0,1,112.08176370000001,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,18,18,18,,,,,,,,,None,None,0,114.08182540000416,None,114.08182540000416,115.08183359995019,115.06516550004017,116.06517670000903,0,1,114.08182540000416,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,19,19,19,,,,,,,,,None,None,0,116.08185590000357,None,116.08185590000357,117.08189150004182,117.0652094000252,118.06519690004643,0,1,116.08185590000357,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,3,"[0.2, 0.2]",1,0,0,0,0,,,,,0,0,0,0,0,20,20,20,,,,,,,,,None,None,0,118.08185940003023,None,118.08185940003023,119.08173730003182,119.06518899998628,120.06521290005185,0,1,118.08185940003023,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,4,"[-0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,21,21,21,,,,,,,,,None,None,0,120.08193210000172,None,120.08193210000172,121.08186020003632,121.06519630004186,122.06521539995447,0,1,120.08193210000172,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,22,22,22,,,,,,,,,None,None,0,122.08190999994986,None,122.08190999994986,123.08190710004419,123.06520409998484,124.06522899994161,0,1,122.08190999994986,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,4,"[-0.2, 0]",1,0,0,0,0,,,,,0,0,0,0,0,23,23,23,,,,,,,,,None,None,0,124.08191379997879,None,124.08191379997879,125.08192010002676,125.06522840005346,126.06526049994864,0,1,124.08191379997879,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,4,"[-0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,24,24,24,,,,,,,,,None,None,0,126.08191840001382,None,126.08191840001382,127.08193880005274,127.06525740004145,128.06525670003612,0,1,126.08191840001382,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,25,25,25,,,,,,,,,None,None,1,128.08194890001323,None,128.08194890001323,129.0819393999409,129.06528930005152,130.0652984000044,1,0,128.08194890001323,None,1.3002531999954954,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,2,"[0, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,26,26,26,,,,,,,,,None,None,0,130.08196490001865,None,130.08196490001865,131.08195909997448,131.0652831000043,132.0652857000241,0,1,130.08196490001865,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
0,1,6,"[0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,27,27,27,,,,,,,,,None,None,0,132.08197059994563,None,132.08197059994563,133.08198450005148,133.06532589998096,134.06530849996489,0,1,132.08197059994563,None,,,,2,m,8,r,MS,2021_Jun_16_1634,WASABI Nback,2020.2.10,59.99016165031541,
