square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.click,response_2.rt_left,response_2.rt_right,response.rt_left,response.rt_right,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
2,"[0, 0.2]",0,0,11,11,11,,,,,,,405.400263599935,None,405.400263599935,406.40033560001757,406.3837160000112,407.3836626999546,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,405.400263599935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
4,"[-0.2, 0]",0,0,12,12,12,,,,,,,407.40021220000926,None,407.40021220000926,408.40038689994253,408.38367779995315,409.3836978999898,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,407.40021220000926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
4,"[-0.2, 0]",1,0,13,13,13,,,,,,,409.4003568999469,None,409.4003568999469,410.400384199922,410.38370729994494,411.38371429999825,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,409.4003568999469,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
8,"[0, -0.2]",0,0,14,14,14,,,,,,,411.40041429991834,None,411.40041429991834,412.400388799957,412.3837205999298,413.3837290999945,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,411.40041429991834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
5,"[0, 0]",0,0,15,15,15,,,,,,,413.40043009992223,None,413.40043009992223,414.4004231999861,414.38362549990416,415.38375329994597,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,413.40043009992223,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
5,"[0, 0]",1,0,16,16,16,,,,,,,415.40038529993035,None,415.40038529993035,416.40043209993746,416.3837608000031,417.3837733999826,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,415.40038529993035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
1,"[-0.2, 0.2]",0,0,17,17,17,,,,,,,417.40044200001284,None,417.40044200001284,418.40048099996056,418.38379170000553,419.3837857999606,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,417.40044200001284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
3,"[0.2, 0.2]",0,0,18,18,18,,,,,,,419.40047589992173,None,419.40047589992173,420.4004912999226,420.38381629996,421.3838239000179,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,419.40047589992173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
6,"[0.2, 0]",0,0,19,19,19,,,,,,,421.4004699999932,None,421.4004699999932,422.40049079991877,422.3837876999751,423.38381029991433,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,421.4004699999932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
1,"[-0.2, 0.2]",0,0,20,20,20,,,,,,,423.400513999979,None,423.400513999979,424.40038120001554,424.383818399976,425.3838170999661,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,423.400513999979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
