RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,86,86,86,,,,,,,,,,,None,None,0,584.0277363000205,None,584.0277363000205,585.027744400024,585.0110595999868,586.0110846000025,0,1,584.0277363000205,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,87,87,87,,,,,,,,,,,None,None,0,586.0277502000099,None,586.0277502000099,587.0277605000301,587.0109894000343,588.0110870000208,0,1,586.0277502000099,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,88,88,88,,,,,,,,,,,None,None,0,588.0277677000267,None,588.0277677000267,589.0277660000138,589.011105099984,590.0111208999879,0,1,588.0277677000267,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,89,89,89,,,,,,,,,,,None,None,0,590.0277833000291,None,590.0277833000291,591.0277984000277,591.0111265000305,592.0111239000107,0,1,590.0277833000291,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,90,90,90,,,,,,,,,,,None,None,0,592.0277925999835,None,592.0277925999835,593.0278027000022,593.0111427000375,594.0111359999864,0,1,592.0277925999835,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,91,91,91,,,,,,,,,,,None,None,0,594.0278048000182,None,594.0278048000182,595.0278242999921,595.011157800036,596.011170200014,0,1,594.0278048000182,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,92,92,92,,,,,,,,,,,None,None,0,596.0278216000297,None,596.0278216000297,597.0278203000198,597.0111717000254,598.0111655000364,0,1,596.0278216000297,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,93,93,93,,,,,,,,,,,None,None,0,598.0278356000199,None,598.0278356000199,599.0278446000302,599.0111720000277,600.0111804000335,0,1,598.0278356000199,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,94,94,94,,,,,,,,,,,None,None,0,600.0278643000056,None,600.0278643000056,601.0278610000387,601.0111860000179,602.0112074000062,0,1,600.0278643000056,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,95,95,95,,,,,,,,,,,None,None,0,602.0278610000387,None,602.0278610000387,603.027876200038,603.0111417000298,604.0112143000006,0,1,602.0278610000387,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,96,96,96,,,,,,,,,,,None,None,0,604.0278849999886,None,604.0278849999886,605.0278971000225,605.0112369999988,606.0112399000209,0,1,604.0278849999886,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,97,97,97,,,,,,,,,,,None,None,0,606.027900999994,None,606.027900999994,607.0279050000245,607.01122819999,608.0112434999901,0,1,606.027900999994,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,4,"[-0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,98,98,98,,,,,,,,,,,None,None,0,608.027909299999,None,608.027909299999,609.027931699995,609.0112665999914,610.0112612000084,0,0,608.027909299999,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
