runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,fix_cross.started,fix_cross.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
,,,,47.15416010003537,None,space,179.69540289998986,47.15416010003537,None,,,9,f,19,r,MS SLS DG,2023_Aug_17_2020,Hyperalignment,2020.2.10,60.00247210670419,
0,-1,-1,0,,,,,,,246.03442179993726,None,9,f,19,r,MS SLS DG,2023_Aug_17_2020,Hyperalignment,2020.2.10,60.00247210670419,
