square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.click,response.rt_left,response.rt_right,response_2.rt_left,response_2.rt_right,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
1,"[-0.2, 0.2]",0,0,17,17,17,,,,,,,218.05352950002998,None,218.05352950002998,219.05353779997677,219.03689569979906,220.03691219957545,1,0.010185185185185186,0.0824074074074074,"[0, 0, 0]",0,0,218.05352950002998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
3,"[0.2, 0.2]",0,0,18,18,18,,,,,,,220.05351129965857,None,220.05351129965857,221.05357579980046,221.03690829966217,222.03692689957097,1,0.010185185185185186,0.0824074074074074,"[0, 0, 0]",0,0,220.05351129965857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
6,"[0.2, 0]",0,0,19,19,19,,,,,,,222.05355919990689,None,222.05355919990689,223.05357899982482,223.03693209961057,224.03693039994687,1,0.010185185185185186,0.0824074074074074,"[0, 0, 0]",0,0,222.05355919990689,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
1,"[-0.2, 0.2]",0,0,20,20,20,,,,,,,224.05357009964064,None,224.05357009964064,225.05358009971678,225.03693899977952,226.03695369977504,1,0.010185185185185186,0.0824074074074074,"[0, 0, 0]",0,0,224.05357009964064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
1,"[-0.2, 0.2]",1,0,21,21,21,,,,,,,226.05359359970316,None,226.05359359970316,227.05359449982643,227.0369480997324,228.03696929989383,1,0.010185185185185186,0.0824074074074074,"[0, 0, 0]",0,0,226.05359359970316,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
1,"[-0.2, 0.2]",1,0,22,22,22,,,,,,,228.0536177996546,None,228.0536177996546,229.05351219978184,229.03698009997606,230.0369731998071,1,0.010185185185185186,0.0824074074074074,"[0, 0, 0]",0,0,228.0536177996546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
3,"[0.2, 0.2]",0,0,23,23,23,,,,,,,230.0536154997535,None,230.0536154997535,231.05367239983752,231.036991099827,232.0369932996109,1,0.010185185185185186,0.0824074074074074,"[0, 0, 0]",0,0,230.0536154997535,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
2,"[0, 0.2]",0,0,24,24,24,,,,,,,232.05367659963667,None,232.05367659963667,233.05366380000487,233.03698909981176,234.0369977997616,1,0.010185185185185186,0.0824074074074074,"[0, 0, 0]",0,0,232.05367659963667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
1,"[-0.2, 0.2]",0,0,25,25,25,,,,,,,234.05366919981316,None,234.05366919981316,235.0537036997266,235.03650969965383,236.03701889980584,1,0.010185185185185186,0.0824074074074074,"[0, 0, 0]",0,0,234.05366919981316,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
7,"[-0.2, -0.2]",0,0,26,26,26,,,,,,,236.05366420000792,None,236.05366420000792,237.05319290002808,237.03704059962183,238.03703529993072,1,0.010185185185185186,0.0824074074074074,"[0, 0, 0]",0,0,236.05366420000792,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,1,12,l,CIB,2021_Sep_07_1221,2020.2.10,distractmap1,60.005100374571875,"['Abdomen', 'Right Arm', 'Left Face', 'Left Leg']",
