	order	onset	duration	rt	correct
0	2		0.0	[]	[]
1	2		0.0	[]	[]
2	2		0.0	[]	[]
3	2		0.0	[]	[]
4	2		0.0	[]	[]
5	2		0.0	[]	[]
6	2		0.0	[]	[]
7	2		0.0	[]	[]
8	2		0.0	[]	[]
9	2		0.0	[]	[]
10	2		0.0	[]	[]
11	2		0.0	[]	[]
12	2		0.0	[]	[]
13	2	106.52751669986174	0.6624861925374717		0
14	2	107.19417429994792	1.9912699898704886		1
15	2	109.19420489994809	1.9914597899187356		1
16	2	111.19420679984614	1.9914669897407293		1
17	2	113.1942252998706	1.9913571898359805		1
18	2	115.19425239996053	1.9915268898475915		1
19	2	117.19424719992094	1.991549490019679		1
20	2	119.19425489986315	1.9915480900090188	1.8837555998470634	1
21	2	121.1942882000003	1.991230889922008		1
22	2	123.19430129998364	1.9911419900599867		1
23	2	125.19430979993194	1.9916478898376226	0.5336326002143323	1
24	2	127.19433799991384	1.991263089934364		1
25	2	129.19434079993516	1.9914312900509685		1
26	2	131.19435849995352	1.99134818976745		1
27	2	133.19438120000996	1.9911168899852782		1
28	2	135.19438669993542	1.9912637898232788		1
29	2	137.19439249997959	1.9914131897967309		0
30	2	139.1944321000483	1.991233189823106		1
31	2	141.19443559995852	1.9914395899977535		1
32	2	143.19444839982316	1.9914294900372624	0.716891200048849	1
33	2	145.19447520002723	1.9915213896892965		1
34	2	147.19448910001665	1.9916687898803502		1
35	2	149.19449559994973	1.9913439899682999		1
36	2	151.1945248998236	1.991388289956376	1.3669624000322074	0
37	2	153.19455070002005	1.9911595897283405		1
38	2	155.19458450004458	1.991614589933306	1.0669318998698145	1
39	2	157.19456560001709	1.991358189843595		1
40	2	159.19450769992545	1.9917351899202913		1
41	2	161.19458899996243	1.9915137900970876	0.9003222999162972	1
42	2	163.19460939988494	1.990068889921531		1
43	2	165.19462099997327	1.9913455897476524		1
44	2	167.19463509996422	1.991180389886722		1
45	2	169.19460609997623	1.991411189781502		1
46	2	171.1946596999187	1.9911319899838418		1
47	2	173.19467479991727	1.9911950901150703		1
48	2	175.19469589996152	1.9914849898777902	0.6669807999860495	1
49	2	177.19468949991278	1.991646789945662		1
50	2	179.1947200000286	1.9915736897382885		1
51	2	181.19472149992362	1.9917311898898333	0.6836830000393093	1
52	2	183.19474029983394	1.9911714899353683		1
53	2	185.19476639991626	1.9911068899091333		1
54	2	187.19480079994537	1.9915868898387998		1
55	2	189.19478519982658	1.9913486898876727		1
56	2	191.19481009989977	1.991637489758432	1.5169915999285877	1
57	2	193.19483239995316	1.9914365897420794		1
58	2	195.19482439989224	1.9916612901724875		1
59	2	197.19483969989233	1.991828789934516		1
60	2	199.19487569993362	1.9916357898619026		1
61	2	201.19487579981796	1.9916054899804294		1
62	2	203.1947786998935	1.9910291898995638		1
63	2	205.1949261999689	1.9917602897621691		1
64	2	207.19482750003226	1.9915130902081728		1
65	2	209.1949463998899	1.9915562900714576	0.6336395998951048	1
66	2	211.19496819982305	1.991564289899543		1
67	2	213.19496899982914	1.991073589771986		1
68	2	215.1949856998399	1.9913851898163557		1
69	2	217.19501559995115	1.9916573900263757		1
70	2	219.1950166998431	1.9917952900286764	1.100293300114572	1
71	2	221.1950348999817	1.9916804898530245		1
72	2	223.1950655998662	1.9905249900184572		1
73	2	225.1950322999619	1.9916055898647755	0.5170103998389095	1
74	2	227.19508569990285	1.9916342899668962		1
75	2	229.19509919988923	1.9915938898921013		1
76	2	231.1951134998817	1.9914799898397177		1
77	2	233.19512709998526	1.9913462896365672		1
78	2	235.19513809983619	1.9914349897298962		1
79	2	237.19515709998086	1.991408489877358		1
80	2	239.19517299998552	1.9914656898472458	0.5669774999842048	1
81	2	241.19519699993543	1.9914789898321033		1
82	2	243.1951957999263	1.9909128898289055		1
83	2	245.19522379990667	1.9914015899412334	0.4669768000021577	1
84	2	247.1952272998169	1.9915793896652758		1
85	2	249.1952453998383	1.9915890898555517		1
86	2	251.19526469986886	1.991449489723891		1
87	2	253.19528590003029	1.991207790095359		1
88	2	255.19528049998917	1.9915134897455573		1
89	2	257.19530329992995	1.991516089765355	0.5502957000862807	1
90	2	259.19532969989814	1.9909653896465898		1
91	2	261.19533899985254	1.9915866900701076		1
92	2	263.19534209999256	1.9913770898710936	0.600311900023371	1
93	2	265.19537450000644	1.9915970899164677		1
94	2	267.1953867999837	1.991624590009451		1
95	2	269.19539799983613	1.9917149897664785		1
96	2	271.19542719982564	1.991452390095219		1
97	2	273.19543029996566	1.991071489872411		1
98	2	275.19545069988817	1.99136648979038	0.4532374998088926	1
99	2	277.19547349982895	1.991421289741993		1
100	2	279.1954703000374	1.9915812897961587		1
101	2	281.19548469991423	1.9917425899766386		0
102	2	283.19551929994486	1.9910135897807777		1
103	2	285.1955321999267	1.9914707902353257		1
104	2	287.1955426998902	1.9917108898516744		1
105	2	289.1955825998448	1.991509190062061		1
106	2	291.19558139983565	1.991643289802596		1
107	2	293.19558459986	1.9910508897155523		1
108	2	295.1955983999651	1.9915979898069054	0.8003094000741839	1
109	2	297.1956282998435	1.9917611898854375		1
110	2	299.1956309999805	1.9915165898855776		1
111	2	301.1956296998542	1.991411289665848		0
112	2	303.1956539999228	1.9911996899172664		1
113	2	305.1956696000416	1.9913964900188148		1
114	2	307.19568279990926	1.9912657898385078		1
115	2	309.19569969992153	1.991519789909944		1
116	2	311.19572660000995	1.9914927899371833	0.7669586997944862	1
117	2	313.1957721998915	1.9866321897134185		1
118	2	315.19574959995225	1.9913945896551013		1
119	2	317.1957698999904	1.9916730897966772		1
