square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fixation_rest.started,fixation_rest.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",1,0,18,18,18,,,None,None,"[0, 0, 0]",1146.8088247000705,1148.8088412000798,1146.8088247000705,1147.8088330000173,1147.7921746000648,1148.7921664000023,"[0, 0, 0]",1,1146.8088247000705,1148.8088412000798,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
5,"[0, 0]",0,0,19,19,19,,,None,None,"[0, 0, 0]",1148.8255173000507,1150.8255036000628,1148.8255173000507,1149.8255191000644,1149.8088426000904,1150.8088764999993,"[0, 0, 0]",1,1148.8255173000507,1150.8255036000628,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",0,0,20,20,20,,,None,None,"[0, 0, 0]",1150.842201200081,1152.8422042001039,1150.842201200081,1151.842177500017,1151.825525799999,1152.8255356000736,"[0, 0, 0]",1,1150.842201200081,1152.8422042001039,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
5,"[0, 0]",1,0,21,21,21,,,None,None,"[0, 0, 0]",1152.8587405001745,1154.8588952000719,1152.8587405001745,1153.858891100157,1153.8422118001617,1154.8422007001936,"[0, 0, 0]",0,1152.8587405001745,1154.8588952000719,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",0,0,22,22,22,,,None,None,"[0, 0, 0]",1154.8755458001979,1156.875566400122,1154.8755458001979,1155.8755456001963,1155.8589045000263,1156.8589122002013,"[0, 0, 0]",1,1154.8755458001979,1156.875566400122,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",0,0,23,23,23,,,None,None,"[0, 0, 0]",1156.8922541001812,1158.8922421999741,1156.8922541001812,1157.8922629000153,1157.8755644001067,1158.8755755000748,"[0, 0, 0]",1,1156.8922541001812,1158.8922421999741,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
9,"[0.2, -0.2]",0,0,24,24,24,,,None,None,"[0, 0, 0]",1158.9089274001308,1160.908949200064,1158.9089274001308,1159.9089338001795,1159.8922671000473,1160.892272300087,"[0, 0, 0]",1,1158.9089274001308,1160.908949200064,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
3,"[0.2, 0.2]",0,0,25,25,25,,,None,None,"[0, 0, 0]",1160.9255987000652,1162.925605500117,1160.9255987000652,1161.92561200005,1161.9089490000624,1162.9089705001097,"[0, 0, 0]",1,1160.9255987000652,1162.925605500117,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
9,"[0.2, -0.2]",1,0,26,26,26,,,None,None,"[0, 0, 0]",1162.942290800158,1164.942306100158,1162.942290800158,1163.9422824999783,1163.925630300073,1164.925631500082,"[0, 0, 0]",0,1162.942290800158,1164.942306100158,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",0,0,27,27,27,,,None,None,"[0, 0, 0]",1164.9590015001595,1166.9589964000043,1164.9590015001595,1165.9589911000803,1165.9423049001489,1166.9423497000244,"[0, 0, 0]",1,1164.9590015001595,1166.9589964000043,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
2,"[0, 0.2]",0,0,28,28,28,,,None,None,"[0, 0, 0]",1166.9756406000815,1168.9756696000695,1166.9756406000815,1167.9756510001607,1167.9590029001702,1168.9590078999754,"[0, 0, 0]",1,1166.9756406000815,1168.9756696000695,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
5,"[0, 0]",0,0,29,29,29,,,None,None,"[0, 0, 0]",1168.9923678000923,1170.992369600106,1168.9923678000923,1169.9923821000848,1169.9756697001867,1170.9752041001339,"[0, 0, 0]",1,1168.9923678000923,1170.992369600106,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
,,,,,,,,,,,,,,,,,,,,,,1171.025698499987,None,space,1171.025698499987,None,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
,,,,,,,1501.2785200001672,None,,,,,,,,,,,,,,,,,,,1218.9262705000583,1218.9262705000583,None,space,237.599937699968,1218.9262705000583,None,1481.2783379000612,None,30.617283950617285,1450.877949310001,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
,,,,,,,1536.2954876001459,None,,,,,,,,,,,,,,,,,,,,,,,,,,1516.295335400151,None,0.1851851851851845,1483.6115610098932,0.014334989944472909,5.010979189770296,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
,,,,,,,1571.2957888999954,None,,,,,,,,,,,,,,,,,,,,,,,,,,1551.2956187000964,None,50.0,1522.6949483100325,0.014329290017485619,5.011087090009823,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
3,"[0.2, 0.2]",None,0,0,0,0,1586.3459578000475,None,None,None,"[0, 0, 0]",1591.362671200186,None,1591.362671200186,1592.362657800084,1592.3459884000476,1593.3460074001923,"[0, 0, 0]",1,1591.362671200186,None,,,,,,,,,,,,,,,,,0.014640189940109849,5.011978090042248,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
3,"[0.2, 0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",1593.3626717000734,1595.3626743999775,1593.3626717000734,1594.3626691000536,1594.346010700101,1595.34601139999,"[0, 0, 0]",1,1593.3626717000734,1595.3626743999775,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
5,"[0, 0]",0,0,2,2,2,,,None,None,"[0, 0, 0]",1595.379348800052,1597.3793613000307,1595.379348800052,1596.3793434000108,1596.3626972001512,1597.3627033000812,"[0, 0, 0]",0,1595.379348800052,1597.3793613000307,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",0,0,3,3,3,,,None,None,"[0, 0, 0]",1597.39603980002,1599.396065399982,1597.39603980002,1598.3960376000032,1598.379361800151,1599.379373200005,"[0, 0, 0]",0,1597.39603980002,1599.396065399982,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
5,"[0, 0]",1,0,4,4,4,,,None,None,"[0, 0, 0]",1599.4127132000867,1601.4127395001706,1599.4127132000867,1600.4127291999757,1600.3960695001297,1601.3960857000202,"[0, 0, 0]",0,1599.4127132000867,1601.4127395001706,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
8,"[0, -0.2]",0,0,5,5,5,,,None,None,"[0, 0, 0]",1601.4294090000913,1603.429421900073,1601.4294090000913,1602.4293965001125,1602.4127444999758,1603.412755700061,"[0, 0, 0]",0,1601.4294090000913,1603.429421900073,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
5,"[0, 0]",1,0,6,6,6,,,None,None,"[0, 0, 0]",1603.4460937001277,1605.4461157000624,1603.4460937001277,1604.4461010000668,1604.4294241000898,1605.4294241000898,"[0, 0, 0]",0,1603.4460937001277,1605.4461157000624,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",0,0,7,7,7,,,None,None,"[0, 0, 0]",1605.462776800152,1607.4627966000699,1605.462776800152,1606.4627861999907,1606.4460540001746,1607.446122399997,"[0, 0, 0]",0,1605.462776800152,1607.4627966000699,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
5,"[0, 0]",1,0,8,8,8,,,None,None,"[0, 0, 0]",1607.4794412001502,1609.4794746001717,1607.4794412001502,1608.479462500196,1608.4628010999877,1609.462844400201,"[0, 0, 0]",0,1607.4794412001502,1609.4794746001717,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",1,0,9,9,9,,,None,None,"[0, 0, 0]",1609.4961465001106,1611.4961427000817,1609.4961465001106,1610.496155400062,1610.4794718001503,1611.4794765000697,"[0, 0, 0]",0,1609.4961465001106,1611.4961427000817,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
,,,,,,,,,,,,,,,,,,,,,,1611.529406900052,None,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",None,0,0,0,0,1621.5629334000405,None,None,None,"[0, 0, 0]",1626.5796328000724,None,1626.5796328000724,1627.5796184001956,1627.562972499989,1628.56298050005,"[0, 0, 0]",1,1626.5796328000724,None,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",1628.579693700187,1630.579657400027,1628.579693700187,1629.5796498002019,1629.5629774001427,1630.562998500187,"[0, 0, 0]",1,1628.579693700187,1630.579657400027,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",1,0,2,2,2,,,None,None,"[0, 0, 0]",1630.5963209001347,1632.596330099972,1630.5963209001347,1631.596337000141,1631.5796686999965,1632.5796599001624,"[0, 0, 0]",0,1630.5963209001347,1632.596330099972,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
4,"[-0.2, 0]",0,0,3,3,3,,,None,None,"[0, 0, 0]",1632.613025699975,1634.6130333000328,1632.613025699975,1633.6130209001713,1633.5963508000132,1634.596362899989,"[0, 0, 0]",0,1632.613025699975,1634.6130333000328,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",0,0,4,4,4,,,None,None,"[0, 0, 0]",1634.6297030001879,1636.6296972001437,1634.6297030001879,1635.62969540013,1635.613044800004,1636.6131140000653,"[0, 0, 0]",0,1634.6297030001879,1636.6296972001437,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
8,"[0, -0.2]",0,0,5,5,5,,,None,None,"[0, 0, 0]",1636.6463798000477,1638.6464009999763,1636.6463798000477,1637.6463808000553,1637.629725200124,1638.6297189001925,"[0, 0, 0]",0,1636.6463798000477,1638.6464009999763,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",1,0,6,6,6,,,None,None,"[0, 0, 0]",1638.6630605000537,1640.6630888001528,1638.6630605000537,1639.6630802999716,1639.646401599981,1640.646421500016,"[0, 0, 0]",0,1638.6630605000537,1640.6630888001528,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
8,"[0, -0.2]",1,0,7,7,7,,,None,None,"[0, 0, 0]",1640.6797512001358,1642.6797498001251,1640.6797512001358,1641.679744800087,1641.6631031001452,1642.6631103002,"[0, 0, 0]",0,1640.6797512001358,1642.6797498001251,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",1,0,8,8,8,,,None,None,"[0, 0, 0]",1642.6964287001174,1644.6964472001418,1642.6964287001174,1643.696437700186,1643.6797831000295,1644.6797701001633,"[0, 0, 0]",0,1642.6964287001174,1644.6964472001418,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",0,0,9,9,9,,,None,None,"[0, 0, 0]",1644.7131300000474,1646.7131452001631,1644.7131300000474,1645.7131189000793,1645.6964506001677,1646.6964669001754,"[0, 0, 0]",0,1644.7131300000474,1646.7131452001631,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
,,,,,,,,,,,,,,,,,,,,,,1646.7297847999725,None,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",None,0,0,0,0,1658.763250200078,None,None,None,"[0, 0, 0]",1661.7799343001097,None,1661.7799343001097,1662.7799496001098,1662.7632848999929,1663.7632813001983,"[0, 0, 0]",1,1661.7799343001097,None,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",1663.7799402000383,1665.779977899976,1663.7799402000383,1664.779951900011,1664.7633003999945,1665.763289600145,"[0, 0, 0]",1,1663.7799402000383,1665.779977899976,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",1,0,2,2,2,,,None,None,"[0, 0, 0]",1665.7966436001007,1667.796623100061,1665.7966436001007,1666.7966392000671,1666.7799641999882,1667.7799912001938,"[0, 0, 0]",0,1665.7966436001007,1667.796623100061,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
5,"[0, 0]",0,0,3,3,3,,,None,None,"[0, 0, 0]",1667.8133139000274,1669.8133277001325,1667.8133139000274,1668.8133398999926,1668.7966676000506,1669.7966641001403,"[0, 0, 0]",0,1667.8133139000274,1669.8133277001325,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",0,0,4,4,4,,,None,None,"[0, 0, 0]",1669.8300149000715,1671.8300278000534,1669.8300149000715,1670.8300084001385,1670.8133394001052,1671.8133559999987,"[0, 0, 0]",0,1669.8300149000715,1671.8300278000534,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",0,0,5,5,5,,,None,None,"[0, 0, 0]",1671.8466747000348,1673.8467044001445,1671.8466747000348,1672.8467894000933,1672.8300326999743,1673.8300424001645,"[0, 0, 0]",0,1671.8466747000348,1673.8467044001445,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",1,0,6,6,6,,,None,None,"[0, 0, 0]",1673.8633610000834,1675.8634415999986,1673.8633610000834,1674.8634041000623,1674.8467117000837,1675.8467282999773,"[0, 0, 0]",0,1673.8633610000834,1675.8634415999986,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",0,0,7,7,7,,,None,None,"[0, 0, 0]",1675.8800658001564,1677.8800902001094,1675.8800658001564,1676.8800693000667,1676.8634595000185,1677.8634081999771,"[0, 0, 0]",0,1675.8800658001564,1677.8800902001094,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",0,0,8,8,8,,,None,None,"[0, 0, 0]",1677.8967311000451,1679.8967586001381,1677.8967311000451,1678.8967470000498,1678.8800906999968,1679.8801023000851,"[0, 0, 0]",0,1677.8967311000451,1679.8967586001381,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",1,0,9,9,9,,,None,None,"[0, 0, 0]",1679.9134214001242,1681.9133487001527,1679.9134214001242,1680.9134380000178,1680.896773800021,1681.896772600012,"[0, 0, 0]",0,1679.9134214001242,1681.9133487001527,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
