	onset	duration	phase	condition
0	1216.045276499819	-1198.0518640889786	cue	Right Face
1	1217.5283856999595	-1199.534973289119	movement	Right Face
2	1234.0288566998206	-1216.0191064598039	rest	Rest
3	1252.0786723999772	-1234.0956802398432	cue	Abdomen
4	1253.545349800028	-1235.562357639894	movement	Abdomen
5	1270.0954968000297	-1252.1009416398592	cue	Chest
6	1271.578844500007	-1253.5842893398367	movement	Chest
7	1288.0791205998976	-1270.0672971601598	rest	Rest
8	1306.129127799999	-1288.146013939986	cue	Left Leg
9	1307.5958179999143	-1289.6127041399013	movement	Left Leg
10	1324.0958711998537	-1306.0846616597846	rest	Rest
11	1342.1629678998142	-1324.1743077398278	cue	Left Arm
12	1343.6461188998073	-1325.6574587398209	movement	Left Arm
13	1360.2131008999422	-1342.2142795398831	cue	Right Arm
14	1361.6962566999719	-1343.6974353399128	movement	Right Arm
15	1378.2466247000266	-1360.2617024800275	cue	Left Face
16	1379.729703999823	-1361.7447817798238	movement	Left Face
17	1396.2302416998427	-1378.2187693596352	rest	Rest
18	1414.2802873000037	-1396.2924059801735	cue	Right Leg
19	1415.7633801999036	-1397.7754988800734	movement	Right Leg
20	1432.3134169999976	-1414.3296179799363	cue	Left Face
21	1433.7968592999969	-1415.8130602799356	movement	Left Face
22	1450.3469477999024	-1432.349540039897	cue	Right Face
23	1451.8303715998773	-1433.8329638398718	movement	Right Face
24	1468.3307847999968	-1450.3208607600536	rest	Rest
25	1486.3806950999424	-1468.387611479964	cue	Right Leg
26	1487.8639688999392	-1469.870885279961	movement	Right Leg
27	1504.4310401999392	-1486.4467979399487	cue	Right Arm
28	1505.8974640998058	-1487.9132218398154	movement	Right Arm
29	1522.3979654998984	-1504.3873921597842	rest	Rest
30	1540.4479664999526	-1522.4648846401833	cue	Abdomen
31	1541.9143581998069	-1523.9312763400376	movement	Abdomen
32	1558.414904099889	-1540.4059451599605	rest	Rest
33	1576.4816518998705	-1558.4944949396886	cue	Left Arm
34	1577.9647339000367	-1559.9775769398548	movement	Left Arm
35	1594.5149014999624	-1576.5170879401267	cue	Left Leg
36	1595.9982343998272	-1578.0004208399914	movement	Left Leg
37	1612.4987210999243	-1594.4875270600896	rest	Rest
38	1630.548526899889	-1612.5535767399706	cue	Chest
39	1632.0318964000326	-1614.036946240114	movement	Chest
40	Condition Order: 	['Right Face', 'Rest', 'Abdomen', 'Chest', 'Rest', 'Left Leg', 'Rest', 'Left Arm', 'Right Arm', 'Left Face', 'Rest', 'Right Leg', 'Left Face', 'Right Face', 'Rest', 'Right Leg', 'Right Arm', 'Rest', 'Abdomen', 'Rest', 'Left Arm', 'Left Leg', 'Rest', 'Chest']		
