	repetition	confirm_time	body_site	stim_temp	calibration_onset	calibration_jitter	calibration_duration	heat_onset	heat_jitter	heat_duration	hot_temp	valence_rating	intensity_rating
0	1	41.98885419999715	Chest	39.5	45.73905650000961	0	31	84.18092130000878	3	10	47.5	-28	28
1	1	123.82175460000872	Left Face	39.5	127.02193689999694	0	31	165.92149910000444	3	10	47.5	-18	16
2	1	226.05738980000024	Right Leg	43.0	228.33623110000917	0	29	261.1414904999983	0	10	46.5	-32	31
3	1	316.1043902000092	Left Arm	34.0	317.5862632000062	0	27	350.50603099999717	1	10	45.5	-18	18
4	1	396.4211558000097	Left Leg	36.5	398.25399990000005	0	30	433.2738401000097	0	10	47.0	-30	29
5	1	488.73740330000874	Right Arm	39.0	492.53725020001	2	29	528.0646780000097	2	10	46.5	-28	16
6	1	578.3698196000041	Right Face	43.0	583.9030644000013	3	29	627.1343388999958	3	10	49.0	-31	32
7	1	668.4699159000011	Abdomen	39.5	672.3700435000064	2	28	706.6668618999975	2	10	46.0	-17	16
8	2	747.9528851000068	Right Face	43.0	754.8193014999997	3	28	795.045560700004	0	10	49.0	-28	29
9	2	833.4689348999964	Left Leg	45.0	837.8859529000038	2	28	879.4882623000012	1	10	49.0	-47	49
10	2	941.6688637000043	Right Arm	38.5	957.93510100001	2	29	995.188335400002	3	10	46.5	-17	15
11	2	1046.884978400005	Chest	41.5	1050.4847713000054	1	31	1089.1680026999966	3	10	47.5	-35	16
12	2	1130.201203500008	Left Face	42.5	1136.320294300007	3	31	1177.8392524000083	1	10	49.0	-37	28
13	2	1236.6006464000093	Left Arm	37.0	1238.967867600004	0	29	1274.0708255000063	2	10	46.5	-33	20
14	2	1361.0489475000068	Right Leg	38.0	1364.5502620000043	1	30	1401.7104320000071	2	10	47.0	-36	21
15	2	1456.8336789000023	Abdomen	40.0	1461.8832767999993	3	30	1504.3387671000091	1	10	49.0	-49	37
