audio1	0.05389630002900958	1.915419501133787	SOA1	2.4
audio2	2.540731000015512	1.516235827664399	SOA2	3.3
visual3	5.89262639998924	1.2787527999607846	SOA3	3.0
checker4	8.89533150009811	1.297405300079845	SOA4	2.7
visual5	11.597683800035156	1.297535500023514	SOA5	3.6
audio6	15.201759800082073	1.2693877551020407	SOA6	3.0
audio7	18.232543100020848	1.5346485260770975	SOA7	2.7
audio8	20.969696000101976	1.4761451247165533	SOA8	3.0
visual9	24.013014600030147	1.2973703000461683	SOA9	3.0
audio10	27.01753660000395	1.739501133786848	SOA10	3.0
audio11	30.039179400075227	1.1847619047619047	SOA11	3.3
checker12	33.378516700002365	1.3015637999633327	SOA12	2.4
visual13	35.77652360009961	1.2975901000900194	SOA13	3.6
visual14	39.379297800012864	1.2972272000042722	SOA14	2.7
visual15	42.081749800010584	1.2975476999999955	SOA15	3.0
visual16	45.08447550004348	1.2972740000113845	SOA16	3.3
visual17	48.38722520007286	1.2972489999374375	SOA17	2.7
visual18	51.09744710009545	1.2897823000093922	SOA18	3.0
visual19	54.11665980005637	1.2807877999730408	SOA19	2.7
visual20	56.81917999999132	1.2974735000170767	SOA20	3.3
checker21	60.122091600089334	1.297277900041081	SOA21	2.7
visual22	62.82439840002917	1.2975055000279099	SOA22	3.6
visual23	66.44349720003083	1.280905400053598	SOA23	3.0
audio24	69.44708090007771	1.5346485260770975	SOA24	2.4
audio25	71.87943000008818	1.739501133786848	SOA25	3.6
visual26	75.50944799999706	1.2973849000409245	SOA26	3.0
visual27	78.52020920009818	1.2892414999660105	SOA27	2.4
visual28	80.93902690010145	1.2811825999524444	SOA28	3.0
visual29	83.9416466000257	1.2973768999800086	SOA29	3.6
visual30	87.5443752000574	1.2972713999915868	SOA30	2.7
audio31	90.24813850002829	1.2524263038548753	SOA31	3.3
visual32	93.59990320005454	1.2758135000476614	SOA32	3.0
checker33	96.60285520006437	1.2973256999393925	SOA33	3.0
visual34	99.62150290003046	1.2810754000674933	SOA34	3.0
visual35	102.64052190002985	1.280982100055553	SOA35	3.0
visual36	105.6597810999956	1.2807400999590755	SOA36	3.0
visual37	108.66240370005835	1.2973744999617338	SOA37	2.4
visual38	111.08109660004266	1.2813097999896854	SOA38	3.3
visual39	114.40053169999737	1.2805650999071077	SOA39	3.0
audio40	117.40409760002512	1.739501133786848	SOA40	2.7
audio41	120.13212760002352	1.1723356009070294	SOA41	3.3
checker42	123.46709260006901	1.3057869999902323	SOA42	2.7
audio43	126.16221580002457	1.6239455782312926	SOA43	3.6
visual44	129.79694520006888	1.2879941000137478	SOA44	2.4
visual45	132.19937230006326	1.2975697999354452	SOA45	3.6
visual46	135.80205610010307	1.2973157000960782	SOA46	2.7
visual47	138.5045063000871	1.297551800031215	SOA47	2.7
checker48	141.20691320009064	1.2976029000710696	SOA48	3.0
visual49	144.20948990003671	1.2974110000068322	SOA49	3.3
audio50	147.51322010008153	1.2817233560090704	SOA50	2.7
checker51	150.24739999999292	1.298096299986355	SOA51	3.6
audio52	153.8510492000496	1.7005442176870749	SOA52	3.0
checker53	156.88406900002155	1.3004243000177667	SOA53	3.0
visual54	159.88389440008905	1.2973893000744283	SOA54	3.0
visual55	162.88657500001136	1.2973188000032678	SOA55	2.4
audio56	165.29043230006937	1.7178231292517008	SOA56	3.3
visual57	168.62676650006324	1.2973776999861002	SOA57	2.7
visual58	171.3292866999982	1.297480700071901	SOA58	3.3
visual59	174.6328361000633	1.296449999907054	SOA59	3.0
checker60	177.63566380005796	1.299684099969454	SOA60	3.0
visual61	180.65663169999607	1.2765242999885231	SOA61	3.0
visual62	183.67599010001868	1.2806414999067783	SOA62	3.3
visual63	186.99542940000538	1.2805618999991566	SOA63	2.4
checker64	189.39771030005068	1.314229500014335	SOA64	3.3
visual65	192.68383380002342	1.2973638999974355	SOA65	3.3
visual66	195.9867721000919	1.2970587000017986	SOA66	3.0
audio67	198.9907462000847	1.7072108843537415	SOA67	3.0
audio68	202.01700370002072	1.4157369614512472	SOA68	2.7
checker69	204.7429285000544	1.2985624999273568	SOA69	3.3
checker70	208.04459370009135	1.2997720000566915	SOA70	3.0
checker71	211.0446418999927	1.3022700999863446	SOA71	2.7
audio72	213.74325030006003	1.739501133786848	SOA72	3.0
audio73	216.7634776000632	1.739501133786848	SOA73	3.0
checker74	219.78261330001988	1.3049744999734685	SOA74	2.7
audio75	222.47812310000882	1.7072108843537415	SOA75	3.3
checker76	225.80226230004337	1.3071074000326917	SOA76	3.0
audio77	228.79608370002825	1.5346485260770975	SOA77	3.0
visual78	231.8300696000224	1.2974741000216454	SOA78	3.3
audio79	235.13416450005025	1.722267573696145	SOA79	2.7
audio80	237.86572810006328	1.3997732426303855	SOA80	3.3
visual81	241.22450920008123	1.2787509999470785	SOA81	3.0
visual82	244.24372030002996	1.2807898999890313	SOA82	3.0
visual83	247.24657960003242	1.2971354000037536	SOA83	2.4
checker84	249.6489314000355	1.313930599950254	SOA84	3.3
visual85	252.93537530000322	1.2972743000136688	SOA85	3.0
visual86	255.93816590006463	1.2972096999874339	SOA86	2.7
visual87	258.6416023999918	1.2965633000712842	SOA87	3.0
audio88	261.6464875000529	1.4583673469387755	SOA88	3.6
checker89	265.26760960009415	1.308432299993001	SOA89	2.7
checker90	267.95883990009315	1.302786200074479	SOA90	3.0
checker91	270.9561997000128	1.307942399987951	SOA91	3.0
visual92	273.96903450007085	1.2765245999908075	SOA92	2.7
audio93	276.6725158999907	1.5346485260770975	SOA93	3.0
checker94	279.7042184000602	1.3006775999674574	SOA94	3.3
