	onset	duration	condition	biopac_channel	correct	mouseclick	rt	keys	score	value	bodySite
0	279.021721099969	1.0093226600438356	pretrialfixation	187.0					0.0		Right Leg
1	1225.4209078999702	1.9586339800152928	0-back		0.0				0.0		Right Leg
2	1227.4010837000096	1.9742676599416882	0-back		0.0				0.0		Right Leg
3	1229.4003204000182	1.9786862599430606	0-back		0.0				0.0		Right Leg
4	1231.4004120000172	1.976287159952335	0-back		0.0				0.0		Right Leg
5	1233.4002064999659	1.984524660045281	0-back		0.0				0.0		Right Leg
6	1235.4010916999541	1.9808302599703893	0-back		0.0				0.0		Right Leg
7	1237.4007975999266	1.9800414600176737	0-back		0.0				0.0		Right Leg
8	1239.4007279999787	1.9827623600140214	0-back		0.0				0.0		Right Leg
9	1241.4006783999503	1.9876540600089356	0-back		0.0				0.0		Right Leg
10	1243.4012005999684	1.977337159914896	0-back		0.0				0.0		Right Leg
11	300.0614389999537	0.42750862007960677	ScoreReport	196.0			0.3959183673469388	space	0.0		Right Leg
12	300.5105795999989	1.0134808199945837	Post-trial Fixation	11.0							Right Leg
13	301.5638536999468	0.404458379955031	PainBinary				1241.697556820116			0.0	Right Leg
14	302.00930859998334	0.41295008012093604	IntensityRating				1242.1497935198713			11.0	Right Leg
15	302.43995469994843	1.0027851200429723	Post-Q-Jitter	12.0							Right Leg
16	303.47830129996873	0.41078997997101396	ComfortRating				1243.6184314201819			-100.0	Right Leg
17	303.93972879997455	0.4233535398961976	ValenceRating				1244.0765595600242			-34.0	Right Leg
18	304.4021431999281	0.4031810399610549	IntensityRating				1244.511276860023			83.0	Right Leg
19	304.84251909994055	0.4046330399578437	AvoidanceRating				1244.957021260052			6.0	Right Leg
20	305.27160039998125	0.40808778011705726	RelaxationRating				1245.3932460199576			95.0	Right Leg
21	305.73079820000567	0.4066326400497928	AttentionRating				1245.867498459993			-3.0	Right Leg
22	306.1848121000221	0.40046224009711295	BoredomRating				1246.291185660055			100.0	Right Leg
23	306.6236119000241	0.4067311401013285	AlertnessRating				1246.7423577599693			46.0	Right Leg
24	307.06996180000715	0.40138264012057334	PosThxRating				1247.179884359939			-68.0	Right Leg
25	307.5059813000262	0.3960853801108897	NegThxRating				1247.6375690199202			75.0	Right Leg
26	307.9523086999543	0.3979689400875941	SelfRating				1248.0565232600784			-70.0	Right Leg
27	308.3848345000297	0.3994643399491906	OtherRating				1248.488499360159			-5.0	Right Leg
28	308.8178057000041	0.3992979400791228	ImageryRating				1248.9213985599345			55.0	Right Leg
29	309.25950909999665	0.4006711400579661	PresentRating				1249.3823466600152			90.0	Right Leg
