	onset	duration	condition	biopac_channel	correct	mouseclick	rt	keys	score	value	bodySite
0	278.68669749994297	1.0049905200721696	pretrialfixation	187.0					20.0		Left Face
1	294.6840342999203	1.9517574801575392	2-back		1.0				20.0		Left Face
2	296.6663153999252	1.9779324600240216	2-back		1.0				20.0		Left Face
3	298.667248899932	1.9623088600346819	2-back		0.0				20.0		Left Face
4	300.6658700000262	1.949915159959346	2-back		0.0				20.0		Left Face
5	302.65501210000366	1.9874342600814998	2-back		0.0				20.0		Left Face
6	304.6919269999489	1.961864160024561	2-back		0.0				20.0		Left Face
7	306.66707109997515	1.9766178597928956	2-back		0.0				20.0		Left Face
8	308.66741669992916	1.9792232599575073	2-back		0.0				20.0		Left Face
9	310.68361349997576	1.9531509599182755	2-back		0.0				20.0		Left Face
10	312.6676921999315	1.9830419599311426	2-back		0.0				20.0		Left Face
11	299.76546759996563	0.41428483999334276	ScoreReport	196.0			0.3959183673469388	space	20.0		Left Face
12	300.19801449996885	0.9987437200034037	Post-trial Jitter	11.0							Left Face
13	301.2210725999903	0.40242682001553476	PainBinary				310.95443968009204			1.0	Left Face
14	301.66798519995064	0.40995528001803905	IntensityRating				311.40099551994354			7.0	Left Face
15	302.0929900999181	1.009665620047599	Post-Q-Jitter	12.0							Left Face
16	303.12629889999516	0.40885498002171516	ComfortRating				312.84174072009046			9.0	Left Face
17	303.57904460001737	0.403837539954111	ValenceRating				313.29591166006867			96.0	Left Face
18	304.01530299999285	0.3980390800861642	IntensityRating				313.73040631995536			36.0	Left Face
19	304.45748290000483	0.39769404008984566	AvoidanceRating				314.1581221600063			42.0	Left Face
20	304.9010608999524	0.4106938400072977	RelaxationRating				314.63246625999454			-64.0	Left Face
21	305.3642672999995	0.39902553998399526	AttentionRating				315.0793152600527			-32.0	Left Face
22	305.8024734999053	0.4048836800502613	BoredomRating				315.53495981998276			0.0	Left Face
23	306.2421913999133	0.4091806799406186	AlertnessRating				315.9584930201527			-26.0	Left Face
24	306.68321149994154	0.4107745799701661	PosThxRating				316.415694220108			61.0	Left Face
25	307.1340300999582	0.40985897998325527	NegThxRating				316.8673651199788			-69.0	Left Face
26	307.5870760999387	0.4046962800202891	SelfRating				317.319507420063			-35.0	Left Face
27	308.0417360999854	0.39621034008450806	OtherRating				317.74205005995464			-16.0	Left Face
28	308.47662239999045	0.4089832400204614	ImageryRating				318.1907623599982			-65.0	Left Face
29	308.9301714999601	0.3998976399889216	PresentRating				318.6459630599711			-9.0	Left Face
