	onset	duration	condition	biopac_channel	correct	mouseclick	rt	keys	score	value	bodySite
0	279.0128237999743	1.004320380045101	pretrialfixation	187.0					20.0		Right Leg
1	604.9033871999709	1.9621554800542071	2-back		1.0				20.0		Right Leg
2	606.8872064999305	1.9720880598761141	2-back		1.0				20.0		Right Leg
3	608.8837481000228	1.9637155599193648	2-back		0.0				20.0		Right Leg
4	610.889554399997	1.966575420112349	2-back		0.0				20.0		Right Leg
5	612.883572199964	1.9680776599561796	2-back		0.0				20.0		Right Leg
6	614.8682300000219	1.9928033598698676	2-back		0.0				20.0		Right Leg
7	616.943778899964	1.9431726598413661	2-back		0.0				20.0		Right Leg
8	618.8854098999873	1.9945453598629683	2-back		0.0				20.0		Right Leg
9	620.884411499952	1.9784260598244146	2-back		0.0				20.0		Right Leg
10	622.9189905999228	1.938760920194909	2-back		0.0				20.0		Right Leg
11	300.1106382999569	0.426614300115034	ScoreReport	196.0			0.3959183673469388	space	20.0		Right Leg
12	300.5559149000328	1.0023709200322628	Post-trial Jitter	11.0							Right Leg
13	301.59470330004115	0.40846998000051826	PainBinary				621.2169979199534			0.0	Right Leg
14	302.0459701999789	0.40518028009682894	IntensityRating				621.6684534199303			57.0	Right Leg
15	302.4656144999899	1.0156749200541526	Post-Q-Jitter	12.0							Right Leg
16	303.52444199996535	0.3993768399814144	ComfortRating				623.1313715600409			84.0	Right Leg
17	303.97478110005613	0.3999893399886787	ValenceRating				623.5815060599707			-45.0	Right Leg
18	304.41243530006614	0.39747798000462353	IntensityRating				624.0242836199468			19.0	Right Leg
19	304.8537725000642	0.4006243799813092	AvoidanceRating				624.4731417200528			-2.0	Right Leg
20	305.30529459996615	0.4080658400198445	RelaxationRating				624.9090911599342			-26.0	Right Leg
21	305.7654310000362	0.4017919400939718	AttentionRating				625.3878505598987			-7.0	Right Leg
22	306.21221010002773	0.40797418006695807	BoredomRating				625.8350500200177			-82.0	Right Leg
23	306.67311500001233	0.4029312399215996	AlertnessRating				626.2791000599973			91.0	Right Leg
24	307.11449870001525	0.4039727799827233	PosThxRating				626.7378323200392			-30.0	Right Leg
25	307.5836980000604	0.39927630010060966	NegThxRating				627.1730363999959			-99.0	Right Leg
26	308.0285747000016	0.40826723992358893	SelfRating				627.6502916602185			7.0	Right Leg
27	308.48768140003085	0.4063582399394363	OtherRating				628.0946376600768			-22.0	Right Leg
28	308.93318589997943	0.3969621399883181	ImageryRating				628.5200671600178			-32.0	Right Leg
29	309.3711934000021	0.4042941400548443	PresentRating				628.9801268599695			41.0	Right Leg
