square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,fixation_rest.started,fixation_rest.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
1,"[-0.2, 0.2]",0,0,12,12,12,,,None,None,"[0, 0, 0]",145.2038215000648,147.2038356999401,145.2038215000648,146.20375690003857,146.18717240006663,147.1871593000833,"[0, 0, 0]",1,145.2038215000648,147.2038356999401,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
9,"[0.2, -0.2]",0,0,13,13,13,,,None,None,"[0, 0, 0]",147.22050149994902,149.22050859988667,147.22050149994902,148.22046709991992,148.2038426999934,149.2038449998945,"[0, 0, 0]",1,147.22050149994902,149.22050859988667,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
9,"[0.2, -0.2]",0,0,14,14,14,,,None,None,"[0, 0, 0]",149.2372006000951,151.2372198998928,149.2372006000951,150.2372892999556,150.22053349995986,151.22053950000554,"[0, 0, 0]",1,149.2372006000951,151.2372198998928,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
8,"[0, -0.2]",0,0,15,15,15,,,None,None,"[0, 0, 0]",151.25377440010197,153.25387610006146,151.25377440010197,152.2538592000492,152.23722120001912,153.23722520004958,"[0, 0, 0]",1,151.25377440010197,153.25387610006146,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
6,"[0.2, 0]",0,0,16,16,16,,,None,None,"[0, 0, 0]",153.27055229991674,155.27055929997005,153.27055229991674,154.27057310007513,154.25388769991696,155.2538884000387,"[0, 0, 0]",1,153.27055229991674,155.27055929997005,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",0,0,17,17,17,,,None,None,"[0, 0, 0]",155.2872474999167,157.28725749999285,155.2872474999167,156.28724050009623,156.2705673999153,157.2705800998956,"[0, 0, 0]",1,155.2872474999167,157.28725749999285,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
6,"[0.2, 0]",1,0,18,18,18,,,None,None,"[0, 0, 0]",157.30392910004593,159.30394800007343,157.30392910004593,158.30392730003223,158.28726499993354,159.28727349988185,"[0, 0, 0]",1,157.30392910004593,159.30394800007343,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",0,0,19,19,19,,,None,None,"[0, 0, 0]",159.3205953000579,161.32061020005494,159.3205953000579,160.32061000005342,160.303970299894,161.3039742000401,"[0, 0, 0]",1,159.3205953000579,161.32061020005494,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",0,0,20,20,20,,,None,None,"[0, 0, 0]",161.3372754000593,163.3373147000093,161.3372754000593,162.33729439997114,162.32064169994555,163.32062079990283,"[0, 0, 0]",1,161.3372754000593,163.3373147000093,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",1,0,21,21,21,,,None,None,"[0, 0, 0]",163.3539825999178,165.35399649990723,163.3539825999178,164.35398239991628,164.33731309999712,165.33730380004272,"[0, 0, 0]",1,163.3539825999178,165.35399649990723,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",0,0,22,22,22,,,None,None,"[0, 0, 0]",165.37065219995566,167.3706696999725,165.37065219995566,166.37066309992224,166.3540191000793,167.3540137000382,"[0, 0, 0]",1,165.37065219995566,167.3706696999725,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",0,0,23,23,23,,,None,None,"[0, 0, 0]",167.387346399948,169.3873620000668,167.387346399948,168.38735130010173,168.3706775000319,169.37069129990414,"[0, 0, 0]",1,167.387346399948,169.3873620000668,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
9,"[0.2, -0.2]",0,0,24,24,24,,,None,None,"[0, 0, 0]",169.40403550001793,171.4040498000104,169.40403550001793,170.40390689997002,170.38736309995875,171.38735840003937,"[0, 0, 0]",1,169.40403550001793,171.4040498000104,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",0,0,25,25,25,,,None,None,"[0, 0, 0]",171.42070890008472,173.42072400008328,171.42070890008472,172.42072020005435,172.40406100009568,173.40405769995414,"[0, 0, 0]",1,171.42070890008472,173.42072400008328,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
9,"[0.2, -0.2]",1,0,26,26,26,,,None,None,"[0, 0, 0]",173.43743370007724,175.43741160002537,173.43743370007724,174.43740050005727,174.4207234000787,175.42075409996323,"[0, 0, 0]",1,173.43743370007724,175.43741160002537,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
6,"[0.2, 0]",0,0,27,27,27,,,None,None,"[0, 0, 0]",175.45408120006323,177.45408220007084,175.45408120006323,176.4540832999628,176.43743270006962,177.43742329999804,"[0, 0, 0]",1,175.45408120006323,177.45408220007084,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
2,"[0, 0.2]",0,0,28,28,28,,,None,None,"[0, 0, 0]",177.47075359988958,179.47078499989584,177.47075359988958,178.47076809988357,178.4541088999249,179.45411959988996,"[0, 0, 0]",1,177.47075359988958,179.47078499989584,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",0,0,29,29,29,,,None,None,"[0, 0, 0]",179.48745039990172,181.48744420008734,179.48745039990172,180.4874712000601,180.47079059993848,181.47079750010744,"[0, 0, 0]",1,179.48745039990172,181.48744420008734,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
,,,,,,,,,,,,,,,,,,,,,,181.5041298000142,None,space,181.5041298000142,None,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",None,0,0,0,0,337.9554612999782,None,None,None,"[0, 0, 0]",340.95546630001627,342.95551080000587,340.95546630001627,341.9555005999282,341.9555005999282,342.95551080000587,"[0, 0, 0]",1,340.95546630001627,342.95551080000587,,,,,,226.53814469999634,226.53814469999634,None,space,80.84605399984866,226.53814469999634,None,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",342.9721907998901,344.9721820000559,342.9721907998901,343.9721741999965,343.9555295999162,344.9555269998964,"[0, 0, 0]",1,342.9721907998901,344.9721820000559,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",0,0,2,2,2,,,None,None,"[0, 0, 0]",344.9888601000421,346.98888320010155,344.9888601000421,345.9888693999965,345.97221320006065,346.97221909998916,"[0, 0, 0]",1,344.9888601000421,346.98888320010155,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",0,0,3,3,3,,,None,None,"[0, 0, 0]",347.00553920003586,349.0055559000466,347.00553920003586,348.00554180005565,347.98888530000113,348.9888810000848,"[0, 0, 0]",1,347.00553920003586,349.0055559000466,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",1,0,4,4,4,,,None,None,"[0, 0, 0]",349.02224719990045,351.0222386000678,349.02224719990045,350.02216909988783,350.00556549988687,351.0055780999828,"[0, 0, 0]",1,349.02224719990045,351.0222386000678,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
8,"[0, -0.2]",0,0,5,5,5,,,None,None,"[0, 0, 0]",351.03890480007976,353.0389163000509,351.03890480007976,352.0389133999124,352.0222692999523,353.02226969995536,"[0, 0, 0]",1,351.03890480007976,353.0389163000509,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
