square,location,corrAns,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
6,"[0.2, 0]",0.0,0,0,0,0,0,19,19,19,,,,,,,72.51772620000702,None,72.51772620000702,73.51816400000826,73.50166039999749,74.50224539999908,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,72.51772620000702,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
1,"[-0.2, 0.2]",0.0,0,0,0,0,0,20,20,20,,,,,,,74.51899330000742,None,74.51899330000742,75.51954210000986,75.50249169999734,76.50301760000002,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,74.51899330000742,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
1,"[-0.2, 0.2]",1.0,0,0,0,0,0,21,21,21,,,,,,,76.51967019999574,None,76.51967019999574,77.52028850000352,77.50361519999569,78.50414770000498,0,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,76.51967019999574,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
1,"[-0.2, 0.2]",1.0,0,0,0,0,0,22,22,22,,,,,,,78.52077980000468,None,78.52077980000468,79.52134110000043,79.50788000000466,None,0,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,78.52077980000468,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
3,"[0.2, 0.2]",0.0,0,0,0,0,0,23,23,23,,,,,,,80.52176420000615,None,80.52176420000615,81.52216999999655,81.50551570000243,82.50607210000453,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,80.52176420000615,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
2,"[0, 0.2]",0.0,0,0,0,0,0,24,24,24,,,,,,,82.52300169999944,None,82.52300169999944,83.52329710000777,83.5065700999985,84.50731810000434,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,82.52300169999944,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
1,"[-0.2, 0.2]",0.0,0,0,0,0,0,25,25,25,,,,,,,84.52488090000406,None,84.52488090000406,85.52412820000609,85.50754370000504,86.50813250000647,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,84.52488090000406,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
7,"[-0.2, -0.2]",0.0,0,0,0,0,0,26,26,26,,,,,,,86.52468850000878,None,86.52468850000878,87.52512879999995,87.50865550000162,88.50917109999864,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,86.52468850000878,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
7,"[-0.2, -0.2]",1.0,0,0,0,0,0,27,27,27,,,,,,,88.52590629999759,None,88.52590629999759,89.52636519999942,89.50968160000048,90.5101180000056,0,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,88.52590629999759,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
2,"[0, 0.2]",0.0,0,0,0,0,0,28,28,28,,,,,,,90.52679080000962,None,90.52679080000962,91.52769879999687,91.51064980000956,92.51106530000106,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,90.52679080000962,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
6,"[0.2, 0]",0.0,0,0,0,0,0,29,29,29,,,,,,,92.52767019999737,None,92.52767019999737,93.52821790000598,93.5118427999987,94.51212660000601,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,92.52767019999737,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,94.5426363000006,None,space,94.5426363000006,None,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
