square,location,corrAns,runSeq,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response_2.rt_left,response_2.rt_right,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
5,"[0, 0]",1.0,,0,0,0,0,0,16,16,16,,,,,,,,,,,61.15949330001604,None,61.15949330001604,62.15985410002759,62.14320150000276,63.143699800013565,1,-0.17222222222222222,0.1638888888888889,"[0, 0, 0]",0,0,61.15949330001604,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
1,"[-0.2, 0.2]",0.0,,0,0,0,0,0,17,17,17,,,,,,,,,,,63.160349200014025,None,63.160349200014025,64.16085260000546,64.14416900000651,65.14471790002426,1,-0.17222222222222222,0.1638888888888889,"[0, 0, 0]",0,0,63.160349200014025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
3,"[0.2, 0.2]",0.0,,0,0,0,0,0,18,18,18,,,,,,,,,,,65.16138640002464,None,65.16138640002464,66.161948700028,66.14519120001933,None,1,-0.17222222222222222,0.1638888888888889,"[0, 0, 0]",0,0,65.16138640002464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
6,"[0.2, 0]",0.0,,0,0,0,0,0,19,19,19,,,,,,,,,,,67.14569930001744,None,67.14569930001744,68.14614100000472,68.12949270001263,69.13007110002218,1,-0.17222222222222222,0.1638888888888889,"[0, 0, 0]",0,0,67.14569930001744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
1,"[-0.2, 0.2]",0.0,,0,0,0,0,0,20,20,20,,,,,,,,,,,69.1467087000201,None,69.1467087000201,70.14720770000713,70.13051470002392,71.13095300001442,1,-0.17222222222222222,0.1638888888888889,"[0, 0, 0]",0,0,69.1467087000201,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
1,"[-0.2, 0.2]",1.0,,0,0,0,0,0,21,21,21,,,,,,,,,,,71.14769390001311,None,71.14769390001311,72.14820010002586,72.13151650002692,73.1320345000131,1,-0.17222222222222222,0.1638888888888889,"[0, 0, 0]",0,0,71.14769390001311,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
1,"[-0.2, 0.2]",1.0,,0,0,0,0,0,22,22,22,,,,,,,,,,,73.14871420001145,None,73.14871420001145,74.14920350001194,74.13256250001723,75.1329892000067,1,-0.17222222222222222,0.1638888888888889,"[0, 0, 0]",0,0,73.14871420001145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
3,"[0.2, 0.2]",0.0,,0,0,0,0,0,23,23,23,,,,,,,,,,,75.14963260001969,None,75.14963260001969,76.15019440001925,76.13352690002648,77.134045600018,1,-0.17222222222222222,0.1638888888888889,"[0, 0, 0]",0,0,75.14963260001969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
2,"[0, 0.2]",0.0,,0,0,0,0,0,24,24,24,,,,,,,,,,,77.15068500000052,None,77.15068500000052,78.15117780002765,78.1346060000069,79.13501000002725,1,-0.17222222222222222,0.1638888888888889,"[0, 0, 0]",0,0,77.15068500000052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
1,"[-0.2, 0.2]",0.0,,0,0,0,0,0,25,25,25,,,,,,,,,,,79.15170450002188,None,79.15170450002188,80.15223930001957,80.13561860000482,81.13598990000901,1,-0.17222222222222222,0.1638888888888889,"[0, 0, 0]",0,0,79.15170450002188,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
7,"[-0.2, -0.2]",0.0,,0,0,0,0,0,26,26,26,,,,,,,,,,,81.15274010002031,None,81.15274010002031,82.15323060000082,82.1365529000177,83.13708430001861,1,-0.17222222222222222,0.1638888888888889,"[0, 0, 0]",0,0,81.15274010002031,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
7,"[-0.2, -0.2]",1.0,,0,0,0,0,0,27,27,27,,,,,,,,,,,83.15381390001858,None,83.15381390001858,84.15427600001567,84.13751170001342,85.13802200002829,1,-0.17222222222222222,0.1638888888888889,"[0, 0, 0]",0,0,83.15381390001858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
2,"[0, 0.2]",0.0,,0,0,0,0,0,28,28,28,,,,,,,,,,,85.15468810001039,None,85.15468810001039,86.15523110001232,86.13855610002065,87.13907250002376,1,-0.17222222222222222,0.1638888888888889,"[0, 0, 0]",0,0,85.15468810001039,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
6,"[0.2, 0]",0.0,,0,0,0,0,0,29,29,29,,,,,,,,,,,87.15571130000171,None,87.15571130000171,88.15618750001886,88.13954350000131,89.14004460000433,1,-0.17222222222222222,0.1638888888888889,"[0, 0, 0]",0,0,87.15571130000171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.16468750001513,None,space,89.16468750001513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
6,"[0.2, 0]",None,,,,,,,,,,0,0,0,0,,,,,113.25223120002192,None,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",114.25374900002498,None,114.25374900002498,115.25322860002052,115.25322860002052,None,"[0, 0, 0]",1,114.25374900002498,None,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
7,"[-0.2, -0.2]",None,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",116.25362540001515,118.25465290001011,116.25362540001515,117.25417240001843,117.23749320002389,118.23799810002674,"[0, 0, 0]",1,116.25362540001515,118.25465290001011,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
6,"[0.2, 0]",1.0,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",118.27130160000524,120.272340000025,118.27130160000524,119.27184470000793,119.25514010002371,120.25569190000533,"[0, 0, 0]",1,118.27130160000524,120.272340000025,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
2,"[0, 0.2]",0.0,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",120.28899120001006,122.28997340000933,120.28899120001006,121.28951400000369,121.27284640001017,122.27332150001894,"[0, 0, 0]",1,120.28899120001006,122.28997340000933,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
5,"[0, 0]",0.0,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",122.30666760000167,124.30765450000763,122.30666760000167,123.3072075000091,123.29051960000652,124.29098600000725,"[0, 0, 0]",1,122.30666760000167,124.30765450000763,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
4,"[-0.2, 0]",0.0,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",124.32433050000691,126.32537690000026,124.32433050000691,125.32487020001281,125.30819520002115,126.30878010002198,"[0, 0, 0]",1,124.32433050000691,126.32537690000026,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1448,WASABI distractmap,2020.2.10,59.79752557858937,"['Left Arm', 'Left Face', 'Right Arm', 'Right Face']",
