square,location,corrAns,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,response.rt_left,response.rt_right,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,
8,"[0, -0.2]",None,0,0,0,0,0,14,14,14,,,66.39497319998918,None,66.39497319998918,67.39592899999116,67.39592899999116,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,66.39497319998918,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
5,"[0, 0]",None,0,0,0,0,0,15,15,15,,,68.36330200001248,None,68.36330200001248,69.36415499998839,69.36415499998839,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,68.36330200001248,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
5,"[0, 0]",space,0,0,0,0,0,16,16,16,,,70.38171509999665,None,70.38171509999665,71.38259560000733,71.38259560000733,None,0,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,70.38171509999665,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
1,"[-0.2, 0.2]",None,0,0,0,0,0,17,17,17,,,72.40025890001561,None,72.40025890001561,73.40095239999937,73.40095239999937,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,72.40025890001561,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
3,"[0.2, 0.2]",None,0,0,0,0,0,18,18,18,,,74.36850240000058,None,74.36850240000058,75.36930140000186,75.36930140000186,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,74.36850240000058,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
6,"[0.2, 0]",None,0,0,0,0,0,19,19,19,,,76.38682790001621,None,76.38682790001621,77.38774010000634,77.38774010000634,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,76.38682790001621,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
1,"[-0.2, 0.2]",None,0,0,0,0,0,20,20,20,,,78.3552125999995,None,78.3552125999995,79.35604539999622,79.35604539999622,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,78.3552125999995,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
1,"[-0.2, 0.2]",space,0,0,0,0,0,21,21,21,,,80.37360970000736,None,80.37360970000736,81.37457859999267,81.37457859999267,None,0,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,80.37360970000736,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
1,"[-0.2, 0.2]",space,0,0,0,0,0,22,22,22,,,82.39203799999086,None,82.39203799999086,83.39282559999265,83.39282559999265,None,0,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,82.39203799999086,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
3,"[0.2, 0.2]",None,0,0,0,0,0,23,23,23,,,84.3603992999997,None,84.3603992999997,85.36122210000758,85.36122210000758,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,84.3603992999997,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
2,"[0, 0.2]",None,0,0,0,0,0,24,24,24,,,86.37882919999538,None,86.37882919999538,87.37971460001427,87.37971460001427,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,86.37882919999538,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
1,"[-0.2, 0.2]",None,0,0,0,0,0,25,25,25,,,88.3971668999875,None,88.3971668999875,89.39800580000156,89.39800580000156,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,88.3971668999875,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
7,"[-0.2, -0.2]",None,0,0,0,0,0,26,26,26,,,90.36555280000903,None,90.36555280000903,91.36643270001514,91.36643270001514,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,90.36555280000903,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
7,"[-0.2, -0.2]",space,0,0,0,0,0,27,27,27,,,92.3839372000075,None,92.3839372000075,93.38480530001107,93.38480530001107,None,0,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,92.3839372000075,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
2,"[0, 0.2]",None,0,0,0,0,0,28,28,28,,,94.40237580001121,None,94.40237580001121,95.40318779999507,95.40318779999507,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,94.40237580001121,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
6,"[0.2, 0]",None,0,0,0,0,0,29,29,29,,,96.37058019998949,None,96.37058019998949,97.37154620001093,97.37154620001093,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,96.37058019998949,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,98.38904119998915,None,space,98.38904119998915,None,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
