square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
6,"[0.2, 0]",0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",199.45945349999238,201.45914769999217,199.45945349999238,200.45942379999906,200.44277249998413,201.4428064999811,"[0, 0, 0]",0,199.45945349999238,201.45914769999217,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
3,"[0.2, 0.2]",0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",201.4761262999964,203.47583690000465,201.4761262999964,202.476176199998,202.45947219998925,203.45959300000686,"[0, 0, 0]",0,201.4761262999964,203.47583690000465,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
6,"[0.2, 0]",1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",203.49287630000617,205.4924371999805,203.49287630000617,204.49281769999652,204.47614329998032,205.47622909999336,"[0, 0, 0]",0,203.49287630000617,205.4924371999805,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
5,"[0, 0]",0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",205.50938730000053,207.50902569998289,205.50938730000053,206.50938339999993,206.49271099999896,207.49277059998713,"[0, 0, 0]",0,205.50938730000053,207.50902569998289,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
7,"[-0.2, -0.2]",0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",207.5260935999977,209.52585390000604,207.5260935999977,208.52643649998936,208.50975909997942,209.50953419998405,"[0, 0, 0]",0,207.5260935999977,209.52585390000604,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
5,"[0, 0]",1,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",209.54285470000468,211.542491900007,209.54285470000468,210.54286089999368,210.52616789998137,211.52627010000288,"[0, 0, 0]",0,209.54285470000468,211.542491900007,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
1,"[-0.2, 0.2]",0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",211.55953649998992,213.55927129997872,211.55953649998992,212.5595403999905,212.5428747999831,213.54290239998954,"[0, 0, 0]",0,211.55953649998992,213.55927129997872,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
7,"[-0.2, -0.2]",0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",213.57627029999276,215.57585219998145,213.57627029999276,214.57613939998555,214.5594495999976,215.55956520000473,"[0, 0, 0]",0,213.57627029999276,215.57585219998145,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
9,"[0.2, -0.2]",0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",215.59295150000253,217.59246859999257,215.59295150000253,216.59296019998146,216.57621499997913,217.57617929999833,"[0, 0, 0]",0,215.59295150000253,217.59246859999257,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
3,"[0.2, 0.2]",0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",217.60952410000027,219.60925069998484,217.60952410000027,218.60959449998336,218.59291409997968,219.59295510000084,"[0, 0, 0]",0,217.60952410000027,219.60925069998484,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
9,"[0.2, -0.2]",1,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",219.6262974999845,221.62588489998598,219.6262974999845,220.62625410000328,220.60958849999588,221.60957169998437,"[0, 0, 0]",0,219.6262974999845,221.62588489998598,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
6,"[0.2, 0]",0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",221.6429589999898,223.64281389999087,221.6429589999898,222.64301959998556,222.62624829998822,223.6264550999913,"[0, 0, 0]",0,221.6429589999898,223.64281389999087,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
2,"[0, 0.2]",0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",223.65980920000584,225.65928309998708,223.65980920000584,224.65961569998763,224.64296789999935,225.6430197999871,"[0, 0, 0]",0,223.65980920000584,225.65928309998708,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
5,"[0, 0]",0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",225.67628699998022,227.67590909998398,225.67628699998022,226.67641580000054,226.6596532999829,227.65964440000243,"[0, 0, 0]",0,225.67628699998022,227.67590909998398,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,227.7081285000022,None,space,227.7081285000022,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
5,"[0, 0]",None,0,0,0,0,,,,,285.6103855999827,None,290.49226629998884,None,290.49226629998884,291.49350579999737,291.46015259998967,292.4602443999902,1,None,None,"[0, 0, 0]",,,290.49226629998884,None,,,,,,,,,,,,,,,,,,,271.8926067999855,271.8926067999855,None,space,7.840677500003949,271.8926067999855,None,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
5,"[0, 0]",1,0,1,1,1,,,,,,,292.4768805000058,None,292.4768805000058,293.4767715999915,293.46016739998595,294.4601696000027,0,None,None,"[0, 0, 0]",,,292.4768805000058,None,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
