square,location,corrAns,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,runSeq,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
1,"[-0.2, 0.2]",0.0,0,0,0,0,0,10,10,10,,,,,,,,,,,,137.56789330000174,None,137.56789330000174,138.56855510000605,138.55154519999633,139.55216160000418,1,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,137.56789330000174,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
2,"[0, 0.2]",0.0,0,0,0,0,0,11,11,11,,,,,,,,,,,,139.56911550002405,None,139.56911550002405,140.56938410000294,140.55255059999763,141.55333870000322,0,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,139.56911550002405,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
4,"[-0.2, 0]",0.0,0,0,0,0,0,12,12,12,,,,,,,,,,,,141.5698680000205,None,141.5698680000205,142.57017429999541,142.55361540001468,143.55433860002086,1,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,141.5698680000205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
4,"[-0.2, 0]",1.0,0,0,0,0,0,13,13,13,,,,,,,,,,,,143.57075500002247,None,143.57075500002247,144.57124050002312,144.55481830000645,145.55533719999949,0,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,143.57075500002247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
8,"[0, -0.2]",0.0,0,0,0,0,0,14,14,14,,,,,,,,,,,,145.57164400001056,None,145.57164400001056,146.5723086000071,146.55606490001082,147.55647370000952,1,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,145.57164400001056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
5,"[0, 0]",0.0,0,0,0,0,0,15,15,15,,,,,,,,,,,,147.57274910001433,None,147.57274910001433,148.57320730001084,148.5566714000015,149.55732670001453,1,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,147.57274910001433,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
5,"[0, 0]",1.0,0,0,0,0,0,16,16,16,,,,,,,,,,,,149.57367030001478,None,149.57367030001478,150.57420980001916,150.5578308000113,151.55848210002296,1,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,149.57367030001478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
1,"[-0.2, 0.2]",0.0,0,0,0,0,0,17,17,17,,,,,,,,,,,,151.5748829000222,None,151.5748829000222,152.5752366000088,152.559064400004,153.55919490000815,0,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,151.5748829000222,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
3,"[0.2, 0.2]",0.0,0,0,0,0,0,18,18,18,,,,,,,,,,,,153.57570990000386,None,153.57570990000386,154.57640210000682,154.56000170001062,None,1,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,153.57570990000386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
6,"[0.2, 0]",0.0,0,0,0,0,0,19,19,19,,,,,,,,,,,,155.5603492000082,None,155.5603492000082,156.56080669999938,156.54392640001606,157.5444664999959,1,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,155.5603492000082,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
1,"[-0.2, 0.2]",0.0,0,0,0,0,0,20,20,20,,,,,,,,,,,,157.56117410000297,None,157.56117410000297,158.56176820001565,158.54496240001754,159.54554710001685,1,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,157.56117410000297,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
1,"[-0.2, 0.2]",1.0,0,0,0,0,0,21,21,21,,,,,,,,,,,,159.56223209999735,None,159.56223209999735,160.56271260001813,160.5458802000212,161.54645240001264,1,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,159.56223209999735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
1,"[-0.2, 0.2]",1.0,0,0,0,0,0,22,22,22,,,,,,,,,,,,161.56385540001793,None,161.56385540001793,162.56386770002428,162.54703660000814,163.5474685000081,1,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,161.56385540001793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
3,"[0.2, 0.2]",0.0,0,0,0,0,0,23,23,23,,,,,,,,,,,,163.5642810999998,None,163.5642810999998,164.56474230001913,164.54790950001916,165.54849169999943,1,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,163.5642810999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
2,"[0, 0.2]",0.0,0,0,0,0,0,24,24,24,,,,,,,,,,,,165.5652143000043,None,165.5652143000043,166.56586490001064,166.54916350002168,167.54951209999854,1,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,165.5652143000043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
1,"[-0.2, 0.2]",0.0,0,0,0,0,0,25,25,25,,,,,,,,,,,,167.56641700002365,None,167.56641700002365,168.56668119999813,168.54988550001872,169.55042139999568,1,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,167.56641700002365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
7,"[-0.2, -0.2]",0.0,0,0,0,0,0,26,26,26,,,,,,,,,,,,169.56737770000473,None,169.56737770000473,170.5676846000133,170.55088280001655,171.5514361000096,1,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,169.56737770000473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
7,"[-0.2, -0.2]",1.0,0,0,0,0,0,27,27,27,,,,,,,,,,,,171.56849500001408,None,171.56849500001408,172.56866610000725,172.55188490002183,173.55249420000473,0,-0.43333333333333335,-0.12638888888888888,"[0, 0, 0]",0,0,171.56849500001408,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
