square,location,corrAns,runSeq,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
1,"[-0.2, 0.2]",0.0,,0,0,0,0,0,10,10,10,,,,,,,,,,,54.34877530002268,None,54.34877530002268,55.34931299998425,55.33286040002713,56.33311710000271,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,54.34877530002268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
2,"[0, 0.2]",0.0,,0,0,0,0,0,11,11,11,,,,,,,,,,,56.34977720002644,None,56.34977720002644,57.350436299981084,57.333711399987806,58.334158800018486,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,56.34977720002644,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
4,"[-0.2, 0]",0.0,,0,0,0,0,0,12,12,12,,,,,,,,,,,58.35082470002817,None,58.35082470002817,59.35157350002555,59.334636399988085,60.335149299993645,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,58.35082470002817,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
4,"[-0.2, 0]",1.0,,0,0,0,0,0,13,13,13,,,,,,,,,,,60.35178149997955,None,60.35178149997955,61.35231440002099,61.33595039998181,62.336265599995386,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,60.35178149997955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
8,"[0, -0.2]",0.0,,0,0,0,0,0,14,14,14,,,,,,,,,,,62.35288610000862,None,62.35288610000862,63.35333080001874,63.336783699982334,64.33708530000877,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,62.35288610000862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
5,"[0, 0]",0.0,,0,0,0,0,0,15,15,15,,,,,,,,,,,64.35376169998199,None,64.35376169998199,65.35435660002986,65.3378870000015,66.33812690002378,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,64.35376169998199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
5,"[0, 0]",1.0,,0,0,0,0,0,16,16,16,,,,,,,,,,,66.3547719999915,None,66.3547719999915,67.35549089999404,67.33881689998088,68.33912810002221,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,66.3547719999915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
1,"[-0.2, 0.2]",0.0,,0,0,0,0,0,17,17,17,,,,,,,,,,,68.35589419997996,None,68.35589419997996,69.35669980000239,69.33974860003218,70.3401832000236,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,68.35589419997996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
3,"[0.2, 0.2]",0.0,,0,0,0,0,0,18,18,18,,,,,,,,,,,70.35678339999868,None,70.35678339999868,71.35742200003006,71.34077980002621,None,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,70.35678339999868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
6,"[0.2, 0]",0.0,,0,0,0,0,0,19,19,19,,,,,,,,,,,72.34127630002331,None,72.34127630002331,73.34181040001567,73.32519980001962,74.3255455000326,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,72.34127630002331,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
1,"[-0.2, 0.2]",0.0,,0,0,0,0,0,20,20,20,,,,,,,,,,,74.34217990003526,None,74.34217990003526,75.34314910002286,75.32632490003016,76.32649080001283,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,74.34217990003526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
1,"[-0.2, 0.2]",1.0,,0,0,0,0,0,21,21,21,,,,,,,,,,,76.3431670999853,None,76.3431670999853,77.3437205000082,77.32707890000893,78.32745949999662,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,76.3431670999853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
1,"[-0.2, 0.2]",1.0,,0,0,0,0,0,22,22,22,,,,,,,,,,,78.34415790002095,None,78.34415790002095,79.34466619999148,79.32809409999754,80.32854950003093,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,78.34415790002095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
3,"[0.2, 0.2]",0.0,,0,0,0,0,0,23,23,23,,,,,,,,,,,80.34520260000136,None,80.34520260000136,81.3456796000246,81.32922990003135,82.32953540002927,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,80.34520260000136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
2,"[0, 0.2]",0.0,,0,0,0,0,0,24,24,24,,,,,,,,,,,82.34623550000833,None,82.34623550000833,83.34671210002853,83.33004060003441,84.33045539999148,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,82.34623550000833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
1,"[-0.2, 0.2]",0.0,,0,0,0,0,0,25,25,25,,,,,,,,,,,84.34719090000726,None,84.34719090000726,85.34779510000953,85.33102109999163,86.33157500001835,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,84.34719090000726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
7,"[-0.2, -0.2]",0.0,,0,0,0,0,0,26,26,26,,,,,,,,,,,86.34819869999774,None,86.34819869999774,87.34878240001854,87.33220649999566,88.33250740001677,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,86.34819869999774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
7,"[-0.2, -0.2]",1.0,,0,0,0,0,0,27,27,27,,,,,,,,,,,88.34915389999514,None,88.34915389999514,89.34961929998826,89.33306570001878,90.333494600025,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,88.34915389999514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
2,"[0, 0.2]",0.0,,0,0,0,0,0,28,28,28,,,,,,,,,,,90.35015359998215,None,90.35015359998215,91.35071590001462,91.33406939997803,92.3345915999962,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,90.35015359998215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
6,"[0.2, 0]",0.0,,0,0,0,0,0,29,29,29,,,,,,,,,,,92.35130809998373,None,92.35130809998373,93.35184339998523,93.33508659998188,94.3355264000129,1,-0.15138888888888888,0.24027777777777778,"[0, 0, 0]",0,0,92.35130809998373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.36342240002705,None,space,94.36342240002705,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
6,"[0.2, 0]",None,,,,,,,,,,0,0,0,0,,,,,113.41170840000268,None,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",114.42195590003394,None,114.42195590003394,115.42943570000352,115.41274549998343,None,"[0, 0, 0]",1,114.42195590003394,None,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
7,"[-0.2, -0.2]",None,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",116.41324070002884,118.41424920002464,116.41324070002884,117.41383720003068,117.39727810001932,118.39754839998204,"[0, 0, 0]",1,116.41324070002884,118.41424920002464,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
6,"[0.2, 0]",1.0,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",118.43089830002282,120.43196100002388,118.43089830002282,119.4314144999953,119.41474019997986,120.4152678999817,"[0, 0, 0]",1,118.43089830002282,120.43196100002388,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
2,"[0, 0.2]",0.0,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",120.44860599999083,122.44972480001161,120.44860599999083,121.44916379998904,121.4325916999951,122.43302519997815,"[0, 0, 0]",1,120.44860599999083,122.44972480001161,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
5,"[0, 0]",0.0,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",122.46639150002738,124.46726070001023,122.46639150002738,123.46690060000401,123.45010349998483,124.45071010000538,"[0, 0, 0]",1,122.46639150002738,124.46726070001023,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_1847,WASABI distractmap,2020.2.10,59.86299753205142,"['Left Arm', 'Chest', 'Right Arm', 'Left Face']",
