10.2085 	EXP 	Created continueText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='continueText', opacity=1.0, ori=0.0, pos=array([ 0.  , -0.35]), rgb=array([255., 255., 255.]), text='Experimenter press [Space] to continue.', units='height', win=Window(...), wrapWidth=1)
10.2111 	EXP 	Created Feedback = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Feedback', opacity=1.0, ori=0.0, pos=array([ 0.  , -0.35]), rgb=array([255., 255., 255.]), text='', units='height', win=Window(...), wrapWidth=1)
10.2224 	EXP 	Created fixation_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='fixation_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
10.5954 	EXP 	Created grid_lines = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='grid.png', interpolate=True, mask=None, maskParams=None, name='grid_lines', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.6, 0.6]), texRes=128, units='height', win=Window(...))
10.5993 	EXP 	Created target_square = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-1.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=None, lineColorSpace=None, lineRGB=None, lineWidth=1, name='target_square', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([0.15, 0.15]), units='height', vertices=ndarray(...), win=Window(...))
10.6064 	EXP 	Created fixation_1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='fixation_1', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
10.6066 	EXP 	window1: mouseVisible = True
10.9703 	EXP 	Created grid_lines_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='grid.png', interpolate=True, mask=None, maskParams=None, name='grid_lines_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.6, 0.6]), texRes=128, units='height', win=Window(...))
10.9734 	EXP 	Created target_square_2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-1.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=None, lineColorSpace=None, lineRGB=None, lineWidth=1, name='target_square_2', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([0.15, 0.15]), units='height', vertices=ndarray(...), win=Window(...))
10.9787 	EXP 	Created fixation_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='fixation_3', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
10.9792 	EXP 	window1: mouseVisible = True
10.9967 	EXP 	Created ScoreReportText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='ScoreReportText', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1.75)
11.0174 	EXP 	Created BodySiteInstructionText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='BodySiteInstructionText', opacity=1.0, ori=0, pos=array([ 0. , -0.2]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1.6)
11.0211 	EXP 	Created BodySiteImg = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image=None, interpolate=True, mask=None, maskParams=None, name='BodySiteImg', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.4, 0.4]), texRes=512, units='height', win=Window(...))
11.0213 	EXP 	window1: mouseVisible = False
11.2717 	EXP 	Nbackinstructions: text = 'Welcome to the n-back task \n\n\nPlease read the following instructions \nvery carefully.\n\n\n\n\n\n\n\n\nExperimenter press [Space] to continue.'
14.6265 	DATA 	Mouse: Left button down, pos=(1089,488)
14.7287 	DATA 	Mouse:  Left button up, pos=(1089,488)
14.8156 	DATA 	Keypress: space
14.9155 	EXP 	Nbackinstructions: text = 'During the task you will be presented a white square in one of nine positions on a grid. \n\n\n\n\n\n\nDepending on the instruction, your task is to indicate whether the \ncurrent position is the same as either:\nthe position on the last trial\nor the position two trials ago\n\n\nExperimenter press [Space] to continue.'
14.9155 	EXP 	NbackInstructionImg: image = 'c:\\Users\\Admin\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI distractmap\\instruction_stim\\1.png'
15.2906 	DATA 	Keypress: space
15.3583 	EXP 	Nbackinstructions: text = 'Between each trial, a fixation cross will appear in the middle of the grid. \n\n\n\n\n\n\n\n\nYou do not need to respond during this time. \nSimply wait for the next trial.\n\n\n\nExperimenter press [Space] to continue.'
15.3583 	EXP 	NbackInstructionImg: image = 'c:\\Users\\Admin\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI distractmap\\instruction_stim\\2.png'
15.7212 	DATA 	Keypress: space
15.7818 	EXP 	NbackInstructionImg: autoDraw = False
15.7818 	EXP 	Nbackinstructions: text = '\n1-back\n\n\n\n\n\n\n\nDuring 1-back you will have to indicate whether the current position matches the position that was presented in the last trial, by either pressing the "yes" button (left click) or the "no" button (right click).\n\n\nExperimenter press [Space] to show an example.'
16.0720 	DATA 	Keypress: space
16.1003 	EXP 	box1: fillColor = 'white'
16.1003 	EXP 	box1: lineColor = 'white'
16.1003 	EXP 	box1: color = 'white'
16.1003 	EXP 	box2: fillColor = 'white'
16.1003 	EXP 	box2: lineColor = 'white'
16.1003 	EXP 	box2: color = 'white'
16.1003 	EXP 	box1Text: autoDraw = True
16.1003 	EXP 	box1: autoDraw = True
16.1003 	EXP 	box2Text: autoDraw = True
16.1003 	EXP 	box2: autoDraw = True
16.7074 	DATA 	Mouse: Left button down, pos=(1090,489)
16.7231 	EXP 	box1Check: autoDraw = True
16.8085 	DATA 	Mouse:  Left button up, pos=(1099,489)
16.9412 	DATA 	Mouse: Right button down, pos=(1101,488)
16.9567 	EXP 	box2Check: autoDraw = True
16.9567 	EXP 	continueText: autoDraw = True
17.0800 	DATA 	Mouse:  Right button up, pos=(1101,488)
17.4159 	DATA 	Keypress: space
17.4780 	EXP 	window1: mouseVisible = True
17.4817 	EXP 	box1Text: autoDraw = False
17.4817 	EXP 	box2Text: autoDraw = False
17.4817 	EXP 	box1: autoDraw = False
17.4817 	EXP 	box2: autoDraw = False
17.4817 	EXP 	box1Check: autoDraw = False
17.4817 	EXP 	box2Check: autoDraw = False
17.4817 	EXP 	continueText: autoDraw = False
17.4817 	EXP 	Nbackinstructions: text = 'In the below 1-back example you should make a "yes" response (left click) on trial 3, since the position is the same as the position on trial 2, while the other trials require a "no" (right click) response.\n\n\n\n\n\n\n\n\n\n'
17.4817 	EXP 	Nbackinstructions: autoDraw = True
17.4817 	EXP 	ClickPrompt: text = 'Click to continue'
17.4817 	EXP 	NbackInstructionWideImg: autoDraw = True
17.4902 	EXP 	NbackInstructionWideImg: autoDraw = True
17.5068 	EXP 	NbackInstructionWideImg: autoDraw = True
17.5245 	EXP 	NbackInstructionWideImg: autoDraw = True
17.5416 	EXP 	NbackInstructionWideImg: autoDraw = True
17.5569 	EXP 	NbackInstructionWideImg: autoDraw = True
17.5735 	EXP 	NbackInstructionWideImg: autoDraw = True
17.5903 	EXP 	NbackInstructionWideImg: autoDraw = True
17.6070 	EXP 	NbackInstructionWideImg: autoDraw = True
17.6236 	EXP 	NbackInstructionWideImg: autoDraw = True
17.6402 	EXP 	NbackInstructionWideImg: autoDraw = True
17.6569 	EXP 	NbackInstructionWideImg: autoDraw = True
17.6736 	EXP 	NbackInstructionWideImg: autoDraw = True
17.6902 	EXP 	NbackInstructionWideImg: autoDraw = True
17.7070 	EXP 	NbackInstructionWideImg: autoDraw = True
17.7240 	EXP 	NbackInstructionWideImg: autoDraw = True
17.7403 	EXP 	NbackInstructionWideImg: autoDraw = True
17.7571 	EXP 	NbackInstructionWideImg: autoDraw = True
17.7736 	EXP 	NbackInstructionWideImg: autoDraw = True
17.7903 	EXP 	NbackInstructionWideImg: autoDraw = True
17.8070 	EXP 	NbackInstructionWideImg: autoDraw = True
17.8240 	EXP 	NbackInstructionWideImg: autoDraw = True
17.8404 	EXP 	NbackInstructionWideImg: autoDraw = True
17.8570 	EXP 	NbackInstructionWideImg: autoDraw = True
17.8739 	EXP 	NbackInstructionWideImg: autoDraw = True
17.8903 	EXP 	NbackInstructionWideImg: autoDraw = True
17.9071 	EXP 	NbackInstructionWideImg: autoDraw = True
17.9103 	DATA 	Mouse: Left button down, pos=(1102,489)
17.9237 	EXP 	NbackInstructionWideImg: autoDraw = True
17.9403 	EXP 	NbackInstructionWideImg: autoDraw = True
17.9570 	EXP 	NbackInstructionWideImg: autoDraw = True
17.9738 	EXP 	NbackInstructionWideImg: autoDraw = True
17.9903 	EXP 	NbackInstructionWideImg: autoDraw = True
18.0070 	EXP 	NbackInstructionWideImg: autoDraw = True
18.0238 	EXP 	NbackInstructionWideImg: autoDraw = True
18.0259 	DATA 	Mouse:  Left button up, pos=(1102,489)
18.0406 	EXP 	NbackInstructionWideImg: autoDraw = True
18.0571 	EXP 	NbackInstructionWideImg: autoDraw = True
18.0738 	EXP 	NbackInstructionWideImg: autoDraw = True
18.0904 	EXP 	NbackInstructionWideImg: autoDraw = True
18.1071 	EXP 	NbackInstructionWideImg: autoDraw = True
18.1239 	EXP 	NbackInstructionWideImg: autoDraw = True
18.1405 	EXP 	NbackInstructionWideImg: autoDraw = True
18.1572 	EXP 	NbackInstructionWideImg: autoDraw = True
18.1738 	EXP 	NbackInstructionWideImg: autoDraw = True
18.1906 	EXP 	NbackInstructionWideImg: autoDraw = True
18.2070 	EXP 	NbackInstructionWideImg: autoDraw = True
18.2238 	EXP 	NbackInstructionWideImg: autoDraw = True
18.2404 	EXP 	NbackInstructionWideImg: autoDraw = True
18.2572 	EXP 	NbackInstructionWideImg: autoDraw = True
18.2738 	EXP 	NbackInstructionWideImg: autoDraw = True
18.2905 	EXP 	NbackInstructionWideImg: autoDraw = True
18.3073 	EXP 	NbackInstructionWideImg: autoDraw = True
18.3239 	EXP 	NbackInstructionWideImg: autoDraw = True
18.3405 	EXP 	NbackInstructionWideImg: autoDraw = True
18.3572 	EXP 	NbackInstructionWideImg: autoDraw = True
18.3739 	EXP 	NbackInstructionWideImg: autoDraw = True
18.3905 	EXP 	NbackInstructionWideImg: autoDraw = True
18.4073 	EXP 	NbackInstructionWideImg: autoDraw = True
18.4239 	EXP 	NbackInstructionWideImg: autoDraw = True
18.4406 	EXP 	NbackInstructionWideImg: autoDraw = True
18.4573 	EXP 	NbackInstructionWideImg: autoDraw = True
18.4742 	EXP 	NbackInstructionWideImg: autoDraw = True
18.4906 	EXP 	NbackInstructionWideImg: autoDraw = True
18.5073 	EXP 	NbackInstructionWideImg: image = 'c:\\Users\\Admin\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI distractmap\\instruction_stim\\3.png'
18.5073 	EXP 	NbackInstructionWideImg: autoDraw = True
18.5239 	EXP 	NbackInstructionWideImg: autoDraw = True
18.5408 	EXP 	NbackInstructionWideImg: autoDraw = True
18.5572 	EXP 	NbackInstructionWideImg: autoDraw = True
18.5740 	EXP 	NbackInstructionWideImg: autoDraw = True
18.5908 	EXP 	NbackInstructionWideImg: autoDraw = True
18.6074 	EXP 	NbackInstructionWideImg: autoDraw = True
18.6242 	EXP 	NbackInstructionWideImg: autoDraw = True
18.6407 	EXP 	NbackInstructionWideImg: autoDraw = True
18.6573 	EXP 	NbackInstructionWideImg: autoDraw = True
18.6740 	EXP 	NbackInstructionWideImg: autoDraw = True
18.6908 	EXP 	NbackInstructionWideImg: autoDraw = True
18.7074 	EXP 	NbackInstructionWideImg: autoDraw = True
18.7240 	EXP 	NbackInstructionWideImg: autoDraw = True
18.7408 	EXP 	NbackInstructionWideImg: autoDraw = True
18.7575 	EXP 	NbackInstructionWideImg: autoDraw = True
18.7742 	EXP 	NbackInstructionWideImg: autoDraw = True
18.7909 	EXP 	NbackInstructionWideImg: autoDraw = True
18.8075 	EXP 	NbackInstructionWideImg: autoDraw = True
18.8241 	EXP 	NbackInstructionWideImg: autoDraw = True
18.8409 	EXP 	NbackInstructionWideImg: autoDraw = True
18.8575 	EXP 	NbackInstructionWideImg: autoDraw = True
18.8743 	EXP 	NbackInstructionWideImg: autoDraw = True
18.8909 	EXP 	NbackInstructionWideImg: autoDraw = True
18.9076 	EXP 	NbackInstructionWideImg: autoDraw = True
18.9243 	EXP 	NbackInstructionWideImg: autoDraw = True
18.9408 	EXP 	NbackInstructionWideImg: autoDraw = True
18.9574 	EXP 	NbackInstructionWideImg: autoDraw = True
18.9741 	EXP 	NbackInstructionWideImg: autoDraw = True
18.9908 	EXP 	NbackInstructionWideImg: autoDraw = True
19.0075 	EXP 	NbackInstructionWideImg: autoDraw = True
19.0242 	EXP 	NbackInstructionWideImg: autoDraw = True
19.0409 	EXP 	NbackInstructionWideImg: autoDraw = True
19.0577 	EXP 	NbackInstructionWideImg: autoDraw = True
19.0743 	EXP 	NbackInstructionWideImg: autoDraw = True
19.0909 	EXP 	NbackInstructionWideImg: autoDraw = True
19.1076 	EXP 	NbackInstructionWideImg: autoDraw = True
19.1243 	EXP 	NbackInstructionWideImg: autoDraw = True
19.1409 	EXP 	NbackInstructionWideImg: autoDraw = True
19.1576 	EXP 	NbackInstructionWideImg: autoDraw = True
19.1742 	EXP 	NbackInstructionWideImg: autoDraw = True
19.1909 	EXP 	NbackInstructionWideImg: autoDraw = True
19.2077 	EXP 	NbackInstructionWideImg: autoDraw = True
19.2244 	EXP 	NbackInstructionWideImg: autoDraw = True
19.2411 	EXP 	NbackInstructionWideImg: autoDraw = True
19.2577 	EXP 	NbackInstructionWideImg: autoDraw = True
19.2744 	EXP 	NbackInstructionWideImg: autoDraw = True
19.2911 	EXP 	NbackInstructionWideImg: autoDraw = True
19.3078 	EXP 	NbackInstructionWideImg: autoDraw = True
19.3245 	EXP 	NbackInstructionWideImg: autoDraw = True
19.3412 	EXP 	NbackInstructionWideImg: autoDraw = True
19.3578 	EXP 	NbackInstructionWideImg: autoDraw = True
19.3744 	EXP 	NbackInstructionWideImg: autoDraw = True
19.3910 	EXP 	NbackInstructionWideImg: autoDraw = True
19.4079 	EXP 	NbackInstructionWideImg: autoDraw = True
19.4244 	EXP 	NbackInstructionWideImg: autoDraw = True
19.4412 	EXP 	NbackInstructionWideImg: autoDraw = True
19.4578 	EXP 	NbackInstructionWideImg: autoDraw = True
19.4745 	EXP 	NbackInstructionWideImg: autoDraw = True
19.4912 	EXP 	NbackInstructionWideImg: autoDraw = True
19.5541 	EXP 	NbackInstructionWideImg: image = 'c:\\Users\\Admin\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI distractmap\\instruction_stim\\4.png'
19.5541 	EXP 	NbackInstructionWideImg: autoDraw = True
19.5577 	EXP 	NbackInstructionWideImg: autoDraw = True
19.5748 	EXP 	NbackInstructionWideImg: autoDraw = True
19.5913 	EXP 	NbackInstructionWideImg: autoDraw = True
19.6079 	EXP 	NbackInstructionWideImg: autoDraw = True
19.6257 	EXP 	NbackInstructionWideImg: autoDraw = True
19.6412 	EXP 	NbackInstructionWideImg: autoDraw = True
19.6580 	EXP 	NbackInstructionWideImg: autoDraw = True
19.6747 	EXP 	NbackInstructionWideImg: autoDraw = True
19.6912 	EXP 	NbackInstructionWideImg: autoDraw = True
19.7080 	EXP 	NbackInstructionWideImg: autoDraw = True
19.7246 	EXP 	NbackInstructionWideImg: autoDraw = True
19.7413 	EXP 	NbackInstructionWideImg: autoDraw = True
19.7580 	EXP 	NbackInstructionWideImg: autoDraw = True
19.7746 	EXP 	NbackInstructionWideImg: autoDraw = True
19.7913 	EXP 	NbackInstructionWideImg: autoDraw = True
19.8084 	EXP 	NbackInstructionWideImg: autoDraw = True
19.8247 	EXP 	NbackInstructionWideImg: autoDraw = True
19.8414 	EXP 	NbackInstructionWideImg: autoDraw = True
19.8582 	EXP 	NbackInstructionWideImg: autoDraw = True
19.8749 	EXP 	NbackInstructionWideImg: autoDraw = True
19.8915 	EXP 	NbackInstructionWideImg: autoDraw = True
19.9082 	EXP 	NbackInstructionWideImg: autoDraw = True
19.9247 	EXP 	NbackInstructionWideImg: autoDraw = True
19.9414 	EXP 	NbackInstructionWideImg: autoDraw = True
19.9580 	EXP 	NbackInstructionWideImg: autoDraw = True
19.9747 	EXP 	NbackInstructionWideImg: autoDraw = True
19.9917 	EXP 	NbackInstructionWideImg: autoDraw = True
20.0106 	EXP 	NbackInstructionWideImg: autoDraw = True
20.0247 	EXP 	NbackInstructionWideImg: autoDraw = True
20.0414 	EXP 	NbackInstructionWideImg: autoDraw = True
20.0581 	EXP 	NbackInstructionWideImg: autoDraw = True
20.0748 	EXP 	NbackInstructionWideImg: autoDraw = True
20.0914 	EXP 	NbackInstructionWideImg: autoDraw = True
20.1084 	EXP 	NbackInstructionWideImg: autoDraw = True
20.1252 	EXP 	NbackInstructionWideImg: autoDraw = True
20.1415 	EXP 	NbackInstructionWideImg: autoDraw = True
20.1581 	EXP 	NbackInstructionWideImg: autoDraw = True
20.1748 	EXP 	NbackInstructionWideImg: autoDraw = True
20.1914 	EXP 	NbackInstructionWideImg: autoDraw = True
20.2082 	EXP 	NbackInstructionWideImg: autoDraw = True
20.2249 	EXP 	NbackInstructionWideImg: autoDraw = True
20.2415 	EXP 	NbackInstructionWideImg: autoDraw = True
20.2581 	EXP 	NbackInstructionWideImg: autoDraw = True
20.2748 	EXP 	NbackInstructionWideImg: autoDraw = True
20.2915 	EXP 	NbackInstructionWideImg: autoDraw = True
20.3082 	EXP 	NbackInstructionWideImg: autoDraw = True
20.3251 	EXP 	NbackInstructionWideImg: autoDraw = True
