square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
1,"[-0.2, 0.2]",0,0,10,10,10,,,,,,,48.0020619998686,None,48.0020619998686,49.00202020001598,48.98534579994157,49.98534330003895,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,48.0020619998686,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
2,"[0, 0.2]",0,0,11,11,11,,,,,,,50.002031799871475,None,50.002031799871475,51.00206510000862,50.98538379999809,51.985368499998,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,50.002031799871475,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",0,0,12,12,12,,,,,,,52.00206910003908,None,52.00206910003908,53.00207729986869,52.985393799841404,53.985352699877694,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,52.00206910003908,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",1,0,13,13,13,,,,,,,54.002121899975464,None,54.002121899975464,55.002059399848804,54.98539559985511,55.98541099997237,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,54.002121899975464,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
8,"[0, -0.2]",0,0,14,14,14,,,,,,,56.00213159993291,None,56.00213159993291,57.002121899975464,56.98542009992525,57.98541219998151,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,56.00213159993291,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
5,"[0, 0]",0,0,15,15,15,,,,,,,58.002087199827656,None,58.002087199827656,59.00204149982892,58.98538540001027,59.98543639993295,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,58.002087199827656,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
5,"[0, 0]",1,0,16,16,16,,,,,,,60.00210399995558,None,60.00210399995558,61.00213659997098,60.98545799986459,61.98543969984166,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,60.00210399995558,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",0,0,17,17,17,,,,,,,62.002095700008795,None,62.002095700008795,63.00217999983579,62.985472299857065,63.985432900022715,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,62.002095700008795,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",0,0,18,18,18,,,,,,,64.00214669993147,None,64.00214669993147,65.00216609984636,64.98549519991502,65.98547249985859,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,64.00214669993147,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
6,"[0.2, 0]",0,0,19,19,19,,,,,,,66.00217400002293,None,66.00217400002293,67.00216119992547,66.98547889990732,67.98546510003507,0,0.07916666666666666,0.3263888888888889,"[0, 0, 0]",0,0,66.00217400002293,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1045,2020.2.10,distractmap2,59.83398468543143,"['Left Arm', 'Chest', 'Right Face', 'Left Face']",
