square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt_left,response_2.rt_right,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fixation_rest.started,fixation_rest.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,155.84276770008728,None,None,None,"[0, 0, 0]",156.85938549996354,None,156.85938549996354,157.8593868999742,157.84270850010216,158.8427383999806,"[0, 0, 0]",1,156.85938549996354,None,,,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1226,2020.2.10,distractmap1,59.974654671547576,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
7,"[-0.2, -0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",158.85939440014772,160.8594149001874,158.85939440014772,159.8594076000154,159.84264919999987,160.84273639996536,"[0, 0, 0]",1,158.85939440014772,160.8594149001874,,,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1226,2020.2.10,distractmap1,59.974654671547576,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
6,"[0.2, 0]",1,0,2,2,2,,,None,None,"[0, 0, 0]",160.87608089996502,162.87610830017366,160.87608089996502,161.87610010011122,161.85942400014028,162.85942300013267,"[0, 0, 0]",0,160.87608089996502,162.87610830017366,,,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1226,2020.2.10,distractmap1,59.974654671547576,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
2,"[0, 0.2]",0,0,3,3,3,,,None,None,"[1, 0, 0]",162.89277260005474,164.8927925999742,162.89277260005474,163.89276010007598,163.87611580011435,164.87611349998042,"[1, 0, 0]",0,162.89277260005474,164.8927925999742,1.7669263000134379,0.0,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1226,2020.2.10,distractmap1,59.974654671547576,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
5,"[0, 0]",0,0,4,4,4,,,None,None,"[0, 0, 0]",164.90945270005614,166.90946980006993,164.90945270005614,165.90945160016418,165.8927867000457,166.89278570003808,"[0, 0, 0]",0,164.90945270005614,166.90946980006993,,,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1226,2020.2.10,distractmap1,59.974654671547576,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
4,"[-0.2, 0]",0,0,5,5,5,,,None,None,"[0, 0, 0]",166.92613809998147,168.92614520015195,166.92613809998147,167.92614170000888,167.9093757001683,168.9094626000151,"[0, 0, 0]",0,166.92613809998147,168.92614520015195,,,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1226,2020.2.10,distractmap1,59.974654671547576,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
4,"[-0.2, 0]",0,0,6,6,6,,,None,None,"[0, 0, 0]",168.94281959999353,170.94282550015487,168.94281959999353,169.94280990003608,169.92617460014299,170.9261712001171,"[0, 0, 0]",0,168.94281959999353,170.94282550015487,,,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1226,2020.2.10,distractmap1,59.974654671547576,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
7,"[-0.2, -0.2]",0,0,7,7,7,,,None,None,"[0, 0, 0]",170.95950170001015,172.95950530003756,170.95950170001015,171.95949649997056,171.94282960006967,172.94283509999514,"[0, 0, 0]",0,170.95950170001015,172.95950530003756,,,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1226,2020.2.10,distractmap1,59.974654671547576,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
4,"[-0.2, 0]",1,0,8,8,8,,,None,None,"[0, 0, 0]",172.9761825001333,174.97619960014708,172.9761825001333,173.97618900006637,173.95952529995702,174.95952150016092,"[0, 0, 0]",0,172.9761825001333,174.97619960014708,,,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1226,2020.2.10,distractmap1,59.974654671547576,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
3,"[0.2, 0.2]",0,0,9,9,9,,,None,None,"[0, 0, 0]",174.99287379998714,176.99287070007995,174.99287379998714,175.99286860018037,175.9762081000954,176.9761187999975,"[0, 0, 0]",0,174.99287379998714,176.99287070007995,,,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1226,2020.2.10,distractmap1,59.974654671547576,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
