square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,fixation_rest.started,fixation_rest.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,41.93565150001086,None,None,None,"[0, 0, 0]",42.95233860006556,None,42.95233860006556,43.95233180001378,43.93567220005207,44.93558100005612,"[0, 0, 0]",1,42.95233860006556,None,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
7,"[-0.2, -0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",44.95232279994525,46.952334800036624,44.95232279994525,45.95234839990735,45.93568079988472,46.93569780001417,"[0, 0, 0]",1,44.95232279994525,46.952334800036624,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
6,"[0.2, 0]",1,0,2,2,2,,,None,None,"[0, 0, 0]",46.969020100077614,48.96907179988921,46.969020100077614,47.969139399938285,47.95237169996835,48.95238239993341,"[0, 0, 0]",1,46.969020100077614,48.96907179988921,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
2,"[0, 0.2]",0,0,3,3,3,,,None,None,"[0, 0, 0]",48.985700600082055,50.985716900089756,48.985700600082055,49.98573389998637,49.96909140003845,50.96908039995469,"[0, 0, 0]",1,48.985700600082055,50.985716900089756,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
5,"[0, 0]",0,0,4,4,4,,,None,None,"[0, 0, 0]",51.00238299998455,53.00240999995731,51.00238299998455,52.00240319990553,51.98573120008223,52.98572520003654,"[0, 0, 0]",1,51.00238299998455,53.00240999995731,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
4,"[-0.2, 0]",0,0,5,5,5,,,None,None,"[0, 0, 0]",53.01908820006065,55.01909859990701,53.01908820006065,54.019097100012004,54.00241499999538,55.00242340005934,"[0, 0, 0]",1,53.01908820006065,55.01909859990701,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
4,"[-0.2, 0]",0,0,6,6,6,,,None,None,"[0, 0, 0]",55.03576190001331,57.03578959987499,55.03576190001331,56.03576619992964,56.01910739997402,57.01909329998307,"[0, 0, 0]",1,55.03576190001331,57.03578959987499,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
7,"[-0.2, -0.2]",0,0,7,7,7,,,None,None,"[0, 0, 0]",57.052458399906754,59.05245379987173,57.052458399906754,58.05243969988078,58.035782400052994,59.0357868000865,"[0, 0, 0]",1,57.052458399906754,59.05245379987173,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
4,"[-0.2, 0]",1,0,8,8,8,,,None,None,"[0, 0, 0]",59.06912610004656,61.06912970007397,59.06912610004656,60.06913339998573,60.05247860006057,61.05247680004686,"[0, 0, 0]",1,59.06912610004656,61.06912970007397,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
3,"[0.2, 0.2]",0,0,9,9,9,,,None,None,"[0, 0, 0]",61.08579499996267,63.08582410006784,61.08579499996267,62.08582379994914,62.069149899994954,63.069161399966106,"[0, 0, 0]",1,61.08579499996267,63.08582410006784,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
5,"[0, 0]",0,0,10,10,10,,,None,None,"[0, 0, 0]",63.102492100093514,65.10251279990189,63.102492100093514,64.10250520007685,64.08583800005727,65.08585999999195,"[0, 0, 0]",1,63.102492100093514,65.10251279990189,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
3,"[0.2, 0.2]",1,0,11,11,11,,,None,None,"[0, 0, 0]",65.11918650008738,67.11919700005092,65.11918650008738,66.1191741998773,66.10255769989453,67.1025286000222,"[0, 0, 0]",1,65.11918650008738,67.11919700005092,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
1,"[-0.2, 0.2]",0,0,12,12,12,,,None,None,"[0, 0, 0]",67.13586149993353,69.1358853999991,67.13586149993353,68.13587279990315,68.11921259993687,69.11920229997486,"[0, 0, 0]",1,67.13586149993353,69.1358853999991,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
9,"[0.2, -0.2]",0,0,13,13,13,,,None,None,"[0, 0, 0]",69.15253790002316,71.15257199993357,69.15253790002316,70.15256810002029,70.13589020003565,71.1359043000266,"[0, 0, 0]",1,69.15253790002316,71.15257199993357,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
9,"[0.2, -0.2]",0,0,14,14,14,,,None,None,"[0, 0, 0]",71.16923270002007,73.16924159997143,71.16923270002007,72.16924079996534,72.15255780005828,73.15256679989398,"[0, 0, 0]",1,71.16923270002007,73.16924159997143,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
8,"[0, -0.2]",0,0,15,15,15,,,None,None,"[0, 0, 0]",73.18591329990886,75.18593359994702,73.18591329990886,74.18592959991656,74.1692506999243,75.16926279990003,"[0, 0, 0]",1,73.18591329990886,75.18593359994702,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
6,"[0.2, 0]",0,0,16,16,16,,,None,None,"[0, 0, 0]",75.20260010007769,77.2026104000397,75.20260010007769,76.20260469987988,76.18592579988763,77.18595129996538,"[0, 0, 0]",1,75.20260010007769,77.2026104000397,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
3,"[0.2, 0.2]",0,0,17,17,17,,,None,None,"[0, 0, 0]",77.21926969988272,79.21930780005641,77.21926969988272,78.21928029996343,78.20260800002143,79.20263250009157,"[0, 0, 0]",1,77.21926969988272,79.21930780005641,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
6,"[0.2, 0]",1,0,18,18,18,,,None,None,"[0, 0, 0]",79.23597580008209,81.23598299990408,79.23597580008209,80.23597769998014,80.21930040000007,81.21930329990573,"[0, 0, 0]",1,79.23597580008209,81.23598299990408,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
5,"[0, 0]",0,0,19,19,19,,,None,None,"[0, 0, 0]",81.25266129989177,83.25268070003949,81.25266129989177,82.25267169997096,82.23599299998023,83.23600120004267,"[0, 0, 0]",1,81.25266129989177,83.25268070003949,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
7,"[-0.2, -0.2]",0,0,20,20,20,,,None,None,"[0, 0, 0]",83.26933400006965,85.26935059996322,83.26933400006965,84.26934139989316,84.25267389998771,85.25268829986453,"[0, 0, 0]",1,83.26933400006965,85.26935059996322,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
5,"[0, 0]",1,0,21,21,21,,,None,None,"[0, 0, 0]",85.28600339987315,87.28602360002697,85.28600339987315,86.28602540004067,86.26936089992523,87.26937150000595,"[0, 0, 0]",1,85.28600339987315,87.28602360002697,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
1,"[-0.2, 0.2]",0,0,22,22,22,,,None,None,"[0, 0, 0]",87.30271980003454,89.3027296999935,87.30271980003454,88.30271509988233,88.28602829994634,89.2860512000043,"[0, 0, 0]",1,87.30271980003454,89.3027296999935,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
7,"[-0.2, -0.2]",0,0,23,23,23,,,None,None,"[0, 0, 0]",89.31937110004947,91.31944140000269,89.31937110004947,90.31940350006334,90.30274329986423,91.3027393000666,"[0, 0, 0]",1,89.31937110004947,91.31944140000269,,,,,,,,,,,,,,,,,,,4,M,1,20,l,MH SK,49,49,2022_Jul_26_1238,2020.2.10,distractmap1,59.97692090060416,"['Left Face', 'Right Arm', 'Left Face', 'Right Arm']",
