square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response_2.rt_left,response_2.rt_right,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.click,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
1,"[-0.2, 0.2]",0,0,10,10,10,,,,,,,1229.2961611000355,None,1229.2961611000355,1230.2962000998668,1230.279563299846,1231.2795177998487,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1229.2961611000355,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
2,"[0, 0.2]",0,0,11,11,11,,,,,,,1231.2961897999048,None,1231.2961897999048,1232.2961883000098,1232.279524399899,1233.2795496999752,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1231.2961897999048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
4,"[-0.2, 0]",0,0,12,12,12,,,,,,,1233.2961935999338,None,1233.2961935999338,1234.2962225999217,1234.2795404999051,1235.2795452999417,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1233.2961935999338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
4,"[-0.2, 0]",1,0,13,13,13,,,,,,,1235.2962048999034,None,1235.2962048999034,1236.2962137998547,1236.2796054999344,1237.2795555999037,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1235.2962048999034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
8,"[0, -0.2]",0,0,14,14,14,,,,,,,1237.296219300013,None,1237.296219300013,1238.296224300051,1238.279572899919,1239.2796193999238,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1237.296219300013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
5,"[0, 0]",0,0,15,15,15,,,,,,,1239.2962382999249,None,1239.2962382999249,1240.2962442999706,1240.2795849000104,1241.2795959999785,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1239.2962382999249,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
5,"[0, 0]",1,0,16,16,16,,,,,,,1241.2962640000042,None,1241.2962640000042,1242.2962549999356,1242.2796097998507,1243.2795931999572,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1241.2962640000042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
1,"[-0.2, 0.2]",0,0,17,17,17,,,,,,,1243.2962644998915,None,1243.2962644998915,1244.296291799983,1244.2796175000258,1245.2796108999755,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1243.2962644998915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
3,"[0.2, 0.2]",0,0,18,18,18,,,,,,,1245.2962744999677,None,1245.2962744999677,1246.296282999916,1246.2796241999604,1247.2796283999924,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1245.2962744999677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
6,"[0.2, 0]",0,0,19,19,19,,,,,,,1247.2963021998294,None,1247.2963021998294,1248.2962990999222,1248.2796459000092,1249.2796439998783,1,0.20277777777777778,-0.4777777777777778,"[0, 0, 0]",0,0,1247.2963021998294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,2,13,l,CIB,2021_Sep_28_1036,2020.2.10,distractmap2,60.00214807928742,"['Left Arm', 'Chest', 'Right Leg', 'Right Face']",
