square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,response.rt_left,response.rt_right,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.click,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
2,"[0, 0.2]",0,0,11,11,11,,,,,,,714.4250133000314,None,714.4250133000314,715.4250642999541,715.4083584999898,716.4083474000217,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,714.4250133000314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
4,"[-0.2, 0]",0,0,12,12,12,,,,,,,716.4250483999494,None,716.4250483999494,717.425036199973,717.4083798000356,718.4083692999557,0,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,716.4250483999494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
4,"[-0.2, 0]",1,0,13,13,13,,,,,,,718.4250577000203,None,718.4250577000203,719.4250502999639,719.4083925000159,720.4083903999999,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,718.4250577000203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
8,"[0, -0.2]",0,0,14,14,14,,,,,,,720.4250743000302,None,720.4250743000302,721.4250954999588,721.4083979999414,722.4080067999894,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,720.4250743000302,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
5,"[0, 0]",0,0,15,15,15,,,,,,,722.4250755000394,None,722.4250755000394,723.4250826999778,723.4084115000442,724.4084285000572,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,722.4250755000394,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
5,"[0, 0]",1,0,16,16,16,,,,,,,724.4251046000281,None,724.4251046000281,725.4250972999725,725.408418499981,726.4084360999987,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,724.4251046000281,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
1,"[-0.2, 0.2]",0,0,17,17,17,,,,,,,726.4251151999924,None,726.4251151999924,727.4251269999659,727.4084492999827,728.4084489999805,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,726.4251151999924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
3,"[0.2, 0.2]",0,0,18,18,18,,,,,,,728.425069799996,None,728.425069799996,729.4251403999515,729.4083874999778,730.4084645999828,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,728.425069799996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
6,"[0.2, 0]",0,0,19,19,19,,,,,,,730.4251510000322,None,730.4251510000322,731.4251998000545,731.4084771999624,732.4084877000423,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,730.4251510000322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
1,"[-0.2, 0.2]",0,0,20,20,20,,,,,,,732.4251634000102,None,732.4251634000102,733.4251692000544,733.4084819999989,734.4084941999754,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,732.4251634000102,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
