	repetition	confirm_time	body_site	stim_temp	calibration_onset	calibration_jitter	calibration_duration	heat_onset	heat_jitter	heat_duration	hot_temp	valence_rating	intensity_rating
0	1	352.6065674	Left Face	39.5	356.0218811	1	32	392.1768494	0	10	48	-17	26
1	1	476.4223328	Chest	37.5	478.7227478	0	30	515.8640137	3	10	47	-21	18
2	1	589.8874512	Left Leg	39	592.6050415	1	20	617.7076416	1	10	42	-21	33
3	1	888.4876709	Right Leg	36.5	891.2703857	1	29	925.2982788	0	10	46.5	-36	26
4	1	969.1237793	Right Face	38.5	972.867981	2	34	1013.328857	0	10	49	-16	22
5	1	1080.036743	Right Arm	39	1085.153809	2	29	1118.89917	1	10	46.5	-27	21
6	1	1184.238281	Left Arm	37.5	1188.550415	2	29	1222.651855	1	10	46.5	-27	34
7	1	1276.052612	Abdomen	35	1279.252319	0	18	1302.240723	1	10	41	-9	11
8	2	1348.052246	Right Face	43	1352.002808	2	34	1394.005493	1	10	49	-35	36
9	2	1449.985474	Left Arm	41.5	1451.318481	0	31	1489.013306	2	10	47.5	-36	42
10	2	1558.732178	Right Leg	37	1561.354492	1	28	1594.063843	0	10	46	-22	24
11	2	1645.401245	Left Face	44.5	1650.367798	3	34	1693.374756	3	10	49	-48	48
12	2	1744.900757	Left Leg	45.5	1747.667847	2	28	1780.295166	0	10	46	-26	12
13	2	1838.350464	Chest	40.5	1842.050293	2	26	1874.876343	2	10	45	-25	22
14	2	1937.167236	Right Arm	35.5	1939.516357	0	22	1966.03772	0	10	43	-26	20
15	2	2024.466797	Abdomen	39	2025.848633	0	30	2062.177246	2	10	47	-22	14
16	3	2116.249023	Left Arm	39.5	2120.247559	3	31	2155.018311	3	10	47.5	-26	16
17	3	2218.782227	Right Arm	39.5	2224.364502	3	22	2254.769287	1	10	43	-32	18
18	3	2303.815186	Left Leg	41.5	2306.880127	2	28	2339.860596	0	10	46	-37	25
19	3	2400.548096	Chest	41.5	2405.2146	2	26	2436.884033	0	10	45	-22	32
20	3	2478.498291	Left Face	40.5	2480.99585	1	34	2517.09082	2	10	49	-25	15
21	3	2561.731689	Right Leg	42	2563.397461	0	28	2598.241943	3	10	46	-21	27
22	3	2647.69751	Abdomen	39.5	2651.114014	2	30	2684.132813	0	10	47	-18	15
23	3	2727.380371	Right Face	40.5	2732.245605	3	34	2774.016113	1	10	49	-37	39
24	4	49.11244583	Left Leg	42	50.35123062	0	27	84.20714569	2	10	45.5	-28	36
25	4	127.8782959	Left Face	39	132.1799011	3	29	168.9858398	3	10	46.5	-20	32
26	4	218.1962891	Left Arm	37.5	220.2605438	1	26	251.3662567	0	10	45	-34	20
27	4	296.9276123	Chest	39	302.6941833	3	25	333.636322	1	10	44.5	-30	18
28	4	380.7294006	Right Leg	37.5	383.2289124	1	25	412.9569397	0	10	44.5	-39	25
29	4	463.2790833	Right Arm	39.5	468.8457336	3	24	501.5688171	3	10	44	-33	21
30	4	542.4286499	Abdomen	41.5	547.0426025	3	27	579.5582275	1	10	45.5	-16	10
31	4	619.2947998	Right Face	39	623.6619263	2	34	669.4397583	3	10	49	-48	37
