square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fixation_rest.started,fixation_rest.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,534.059709800058,None,None,None,"[0, 0, 0]",535.0764009000268,None,535.0764009000268,536.0763839000138,536.0597212000284,537.0597394000506,"[0, 0, 0]",1,535.0764009000268,None,,,,,,,,,,,,,,,,,,,8,f,2,18,r,MS,49,49,2022_Jul_22_1014,2020.2.10,distractmap2,59.973827417916326,"['Left Face', 'Chest', 'Left Face', 'Chest']",
7,"[-0.2, -0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",537.0763980000047,539.0764183000429,537.0763980000047,538.076348099974,538.0596619000426,539.0597435999662,"[0, 0, 0]",1,537.0763980000047,539.0764183000429,,,,,,,,,,,,,,,,,,,8,f,2,18,r,MS,49,49,2022_Jul_22_1014,2020.2.10,distractmap2,59.973827417916326,"['Left Face', 'Chest', 'Left Face', 'Chest']",
6,"[0.2, 0]",1,0,2,2,2,,,None,None,"[0, 0, 0]",539.0930876999628,541.093091799994,539.0930876999628,540.0930996000534,540.0764301000163,541.0764263999881,"[0, 0, 0]",1,539.0930876999628,541.093091799994,,,,,,,,,,,,,,,,,,,8,f,2,18,r,MS,49,49,2022_Jul_22_1014,2020.2.10,distractmap2,59.973827417916326,"['Left Face', 'Chest', 'Left Face', 'Chest']",
2,"[0, 0.2]",0,0,3,3,3,,,None,None,"[0, 0, 0]",541.109764700057,543.1098064000253,541.109764700057,542.1098089000443,542.0931294000475,543.0931087000063,"[0, 0, 0]",1,541.109764700057,543.1098064000253,,,,,,,,,,,,,,,,,,,8,f,2,18,r,MS,49,49,2022_Jul_22_1014,2020.2.10,distractmap2,59.973827417916326,"['Left Face', 'Chest', 'Left Face', 'Chest']",
5,"[0, 0]",0,0,4,4,4,,,None,None,"[0, 0, 0]",543.1264467999572,545.1264523999998,543.1264467999572,544.1264467999572,544.1097984999651,545.1098378000315,"[0, 0, 0]",0,543.1264467999572,545.1264523999998,,,,,,,,,,,,,,,,,,,8,f,2,18,r,MS,49,49,2022_Jul_22_1014,2020.2.10,distractmap2,59.973827417916326,"['Left Face', 'Chest', 'Left Face', 'Chest']",
4,"[-0.2, 0]",0,0,5,5,5,,,None,None,"[0, 0, 0]",545.1431289999746,547.1431486000074,545.1431289999746,546.1431385000469,546.1264741000487,547.1264691000106,"[0, 0, 0]",1,545.1431289999746,547.1431486000074,,,,,,,,,,,,,,,,,,,8,f,2,18,r,MS,49,49,2022_Jul_22_1014,2020.2.10,distractmap2,59.973827417916326,"['Left Face', 'Chest', 'Left Face', 'Chest']",
4,"[-0.2, 0]",0,0,6,6,6,,,None,None,"[0, 0, 0]",547.1598358999472,549.1598524999572,547.1598358999472,548.1598555999808,548.1431581999641,549.1431812000228,"[0, 0, 0]",1,547.1598358999472,549.1598524999572,,,,,,,,,,,,,,,,,,,8,f,2,18,r,MS,49,49,2022_Jul_22_1014,2020.2.10,distractmap2,59.973827417916326,"['Left Face', 'Chest', 'Left Face', 'Chest']",
7,"[-0.2, -0.2]",0,0,7,7,7,,,None,None,"[0, 0, 0]",549.1764907999896,551.1765121000353,549.1764907999896,550.1765062999912,550.1598626000341,551.1598846999696,"[0, 0, 0]",1,549.1764907999896,551.1765121000353,,,,,,,,,,,,,,,,,,,8,f,2,18,r,MS,49,49,2022_Jul_22_1014,2020.2.10,distractmap2,59.973827417916326,"['Left Face', 'Chest', 'Left Face', 'Chest']",
4,"[-0.2, 0]",1,0,8,8,8,,,None,None,"[0, 0, 0]",551.1931997999782,553.1931029000552,551.1931997999782,552.1932189000072,552.1765159999486,553.1765268000308,"[0, 0, 0]",1,551.1931997999782,553.1931029000552,,,,,,,,,,,,,,,,,,,8,f,2,18,r,MS,49,49,2022_Jul_22_1014,2020.2.10,distractmap2,59.973827417916326,"['Left Face', 'Chest', 'Left Face', 'Chest']",
3,"[0.2, 0.2]",0,0,9,9,9,,,None,None,"[0, 0, 0]",553.2098684000084,555.2098724000389,553.2098684000084,554.2099070999539,554.1932079000399,555.1931951000588,"[0, 0, 0]",1,553.2098684000084,555.2098724000389,,,,,,,,,,,,,,,,,,,8,f,2,18,r,MS,49,49,2022_Jul_22_1014,2020.2.10,distractmap2,59.973827417916326,"['Left Face', 'Chest', 'Left Face', 'Chest']",
5,"[0, 0]",0,0,10,10,10,,,None,None,"[0, 0, 0]",555.2265400000615,557.2265459999908,555.2265400000615,556.2265371000394,556.2099132000003,557.2099247999722,"[0, 0, 0]",1,555.2265400000615,557.2265459999908,,,,,,,,,,,,,,,,,,,8,f,2,18,r,MS,49,49,2022_Jul_22_1014,2020.2.10,distractmap2,59.973827417916326,"['Left Face', 'Chest', 'Left Face', 'Chest']",
3,"[0.2, 0.2]",1,0,11,11,11,,,None,None,"[0, 0, 0]",557.2432359999511,559.2432356999489,557.2432359999511,558.2432387999725,558.2265641000122,559.2265663000289,"[0, 0, 0]",1,557.2432359999511,559.2432356999489,,,,,,,,,,,,,,,,,,,8,f,2,18,r,MS,49,49,2022_Jul_22_1014,2020.2.10,distractmap2,59.973827417916326,"['Left Face', 'Chest', 'Left Face', 'Chest']",
1,"[-0.2, 0.2]",0,0,12,12,12,,,None,None,"[0, 0, 0]",559.2599369999953,561.2599394000135,559.2599369999953,560.2599238000112,560.243226999999,561.2432589000091,"[0, 0, 0]",1,559.2599369999953,561.2599394000135,,,,,,,,,,,,,,,,,,,8,f,2,18,r,MS,49,49,2022_Jul_22_1014,2020.2.10,distractmap2,59.973827417916326,"['Left Face', 'Chest', 'Left Face', 'Chest']",
9,"[0.2, -0.2]",0,0,13,13,13,,,None,None,"[0, 0, 0]",561.2765856999904,563.2765907000285,561.2765856999904,562.2765963999555,562.2599734000396,563.2599471999565,"[0, 0, 0]",1,561.2765856999904,563.2765907000285,,,,,,,,,,,,,,,,,,,8,f,2,18,r,MS,49,49,2022_Jul_22_1014,2020.2.10,distractmap2,59.973827417916326,"['Left Face', 'Chest', 'Left Face', 'Chest']",
9,"[0.2, -0.2]",0,0,14,14,14,,,None,None,"[0, 0, 0]",563.293260699953,565.2932767999591,563.293260699953,564.2932837000117,564.2766066000331,565.2765816999599,"[0, 0, 0]",1,563.293260699953,565.2932767999591,,,,,,,,,,,,,,,,,,,8,f,2,18,r,MS,49,49,2022_Jul_22_1014,2020.2.10,distractmap2,59.973827417916326,"['Left Face', 'Chest', 'Left Face', 'Chest']",
