	repetition	confirm_time	body_site	stim_temp	calibration_onset	calibration_jitter	calibration_duration	heat_onset	heat_jitter	heat_duration	hot_temp	valence_rating	intensity_rating
0	1	166.74225639994256	Right Arm	35.0	173.45918859995436	3	31	209.88891719991807	2	10	47.5	-54	51
1	1	274.8086079999339	Abdomen	35.5	279.52548800001387	1	31	317.41901439998765	3	10	47.5	-54	51
2	1	393.50822319998406	Left Leg	40.5	395.10823100002017	0	31	432.65997969999444	2	10	47.5	-53	51
3	1	484.0412773999851	Left Face	41.0	490.0581533999648	3	32	526.9803526999895	1	10	48.0	-54	51
4	1	579.0911178999813	Right Face	40.0	582.7743557000067	2	33	621.1811397999991	2	10	48.5	-54	51
5	1	682.4577298000222	Right Leg	42.0	686.3573850999819	3	30	722.8332257999573	3	10	47.0	-54	51
6	1	776.0573119999608	Chest	36.5	776.9738420000067	0	30	811.9126239999896	1	10	47.0	-53	51
7	1	873.9067976999795	Left Arm	34.5	877.6235302999848	3	29	911.6858675999101	1	10	46.5	-53	51
8	2	950.2064357999479	Left Arm	32.0	955.0064379000105	3	32	992.7848145000171	2	10	48.0	-60	53
9	2	1039.3730075999629	Chest	39.0	1040.6871277999599	0	30	1074.7948254999937	0	10	47.0	-55	52
10	2	1134.256021499983	Left Leg	45.5	1136.0035124999704	1	31	1173.8964921999723	3	10	47.5	-54	51
11	2	1222.5225973000051	Right Face	44.5	1223.4532376999268	0	32	1262.376321699936	3	10	48.0	-55	52
12	2	1319.2721180999652	Right Leg	36.0	1321.8888121999335	2	29	1354.7901232999284	0	10	46.5	-56	52
13	2	1414.0221312999493	Left Face	42.5	1417.971827399917	3	31	1453.518271900015	0	10	47.5	-52	50
14	2	1498.2218002999434	Abdomen	35.5	1501.4549252999714	2	28	1536.7909676999552	3	10	46.0	-52	50
15	2	1604.188191199908	Right Arm	36.0	1607.971437899978	3	27	1640.5302432000171	1	10	45.5	-52	50
16	3	1917.2704410000006	Left Face	46.5	1920.9534818999236	3	33	1959.5927811999572	2	10	48.5	-54	51
17	3	2004.2866970999166	Chest	46.5	2006.8701162999496	1	34	2047.6234988999786	3	10	49.0	-60	54
18	3	2086.503428499913	Abdomen	41.5	2087.552945500007	0	32	2124.00583369995	1	10	48.0	-56	52
19	3	2188.35292929993	Left Leg	36.0	2189.4362670999253	0	29	2225.225394899957	3	10	46.5	-55	51
20	3	2293.3027651999146	Left Arm	36.5	2296.5692386999726	2	29	2331.1164132999256	2	10	46.5	-54	51
21	3	2394.4188171999995	Right Leg	36.5	2398.218831599923	2	27	2431.239214699948	2	10	45.5	-54	51
22	3	2480.7519709999906	Right Face	41.5	2503.485034400015	1	32	2539.2878448999254	0	10	48.0	-54	51
23	3	2594.384888599976	Right Arm	37.0	2597.1847305999836	2	28	2628.6085184999974	0	10	46.0	-55	52
24	4	2672.3013259000145	Right Face	45.5	2673.065512800007	0	33	2710.009579299949	0	10	48.5	-53	51
25	4	2760.417640700005	Right Arm	35.5	2762.9678311999887	1	30	2798.7206095999572	2	10	47.0	-55	51
26	4	2862.2010478000157	Left Arm	37.5	2863.300889499951	0	30	2900.0522604999132	3	10	47.0	-56	52
27	4	2963.1171864999924	Right Leg	41.5	2966.9004233999876	3	29	2999.4614930999232	0	10	46.5	-55	51
28	4	3054.333639199962	Left Leg	45.0	3056.150199399912	1	31	3090.752826799988	0	10	47.5	-60	54
29	4	3137.5830740999663	Abdomen	37.5	3139.766807399923	1	29	3172.3631379000144	0	10	46.5	-53	51
30	4	3212.6330922999186	Chest	44.0	3213.349630599958	0	31	3248.0440839999355	0	10	47.5	-61	55
31	4	3287.699634699966	Left Face	41.5	3289.9328886999283	1	31	3327.025554999942	2	10	47.5	-51	49
