RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,,,,0,0,0,0,,,,,0,0,0,0,,,,,26.779164899955504,None,space,102.58473799994681,26.779164899955504,None,,,,,,,,,,,,,,,,2,M,17,R,CIB,2021_Nov_19_1616,WASABI Nback,2020.2.10,59.97602159948064,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,None,None,None,None,0,130.71572700003162,None,130.71572700003162,131.71573069994338,131.6824116000207,None,0,1,130.71572700003162,None,2,M,17,R,CIB,2021_Nov_19_1616,WASABI Nback,2020.2.10,59.97602159948064,
0,1,2,"[0, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,None,None,0,132.41572859999724,None,132.41572859999724,133.41573829995468,133.3991072999779,134.39910439995583,0,1,132.41572859999724,None,2,M,17,R,CIB,2021_Nov_19_1616,WASABI Nback,2020.2.10,59.97602159948064,
