square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt_left,response_2.rt_right,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,fixation_rest.started,fixation_rest.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
5,"[0, 0]",0,0,10,10,10,,,None,None,"[0, 0, 0]",60.55258350004442,62.55256660003215,60.55258350004442,61.5525727000786,61.53592550009489,62.53541330003645,"[0, 0, 0]",1,60.55258350004442,62.55256660003215,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",1,0,11,11,11,,,None,None,"[0, 0, 0]",62.569258700008504,64.56928729999345,62.569258700008504,63.569276300026104,63.5526415000204,64.55249100003857,"[0, 0, 0]",0,62.569258700008504,64.56928729999345,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",0,0,12,12,12,,,None,None,"[0, 0, 0]",64.5859564000275,66.58597370004281,64.5859564000275,65.58596040005796,65.56929560005665,66.56929230003152,"[0, 0, 0]",1,64.5859564000275,66.58597370004281,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
9,"[0.2, -0.2]",0,0,13,13,13,,,None,None,"[0, 0, 0]",66.60260540002491,68.60263050009962,66.60260540002491,67.60266400000546,67.58598810003605,68.58598570001777,"[0, 0, 0]",1,66.60260540002491,68.60263050009962,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
9,"[0.2, -0.2]",0,0,14,14,14,,,None,None,"[0, 0, 0]",68.61932450009044,70.61933680006769,68.61932450009044,69.61932630010415,69.6026466001058,70.60258500010241,"[0, 0, 0]",1,68.61932450009044,70.61933680006769,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
8,"[0, -0.2]",0,0,15,15,15,,,None,None,"[1, 0, 0]",70.63598550006282,72.636026400025,70.63598550006282,71.63600779999979,71.61934860004112,72.61935390008148,"[1, 0, 0]",1,70.63598550006282,72.636026400025,1.9335933000547811,0.5169300999259576,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
6,"[0.2, 0]",0,0,16,16,16,,,None,None,"[0, 0, 0]",72.65270740003325,74.65268460009247,72.65270740003325,73.65267770003993,73.63603020005394,74.63603280007374,"[0, 0, 0]",1,72.65270740003325,74.65268460009247,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",0,0,17,17,17,,,None,None,"[0, 0, 0]",74.66924409999046,76.66938880004454,74.66924409999046,75.66938430001028,75.65272580005694,76.65271650010254,"[0, 0, 0]",1,74.66924409999046,76.66938880004454,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
6,"[0.2, 0]",1,0,18,18,18,,,None,None,"[0, 0, 0]",76.68607060005888,78.68606110010296,76.68607060005888,77.68593270005658,77.66938850004226,78.6693936000811,"[0, 0, 0]",1,76.68607060005888,78.68606110010296,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",0,0,19,19,19,,,None,None,"[0, 0, 0]",78.70270170003641,80.70275190006942,78.70270170003641,79.70274179999251,79.686088400078,80.68609130010009,"[0, 0, 0]",1,78.70270170003641,80.70275190006942,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
