square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,response.rt_left,response.rt_right,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
1,"[-0.2, 0.2]",0,0,10,10,10,,,,,,,286.7110352998134,None,286.7110352998134,287.7110333999153,287.69437859999016,288.69439469999634,1,-0.1037037037037037,0.12037037037037036,"[0, 0, 0]",0,0,286.7110352998134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,,22,r,CIB,2021_Sep_03_1231,2020.2.10,distractmap,60.00157203918752,"['Abdomen', 'Right Leg', 'Right Arm', 'Chest', 'Abdomen', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Left Face', 'Right Face', 'Right Arm', 'Chest', 'Left Leg', 'Left Leg', 'Left Face']",
2,"[0, 0.2]",0,0,11,11,11,,,,,,,288.71104879979976,None,288.71104879979976,289.71106439991854,289.6944112998899,290.6943932999857,1,-0.1037037037037037,0.12037037037037036,"[0, 0, 0]",0,0,288.71104879979976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,,22,r,CIB,2021_Sep_03_1231,2020.2.10,distractmap,60.00157203918752,"['Abdomen', 'Right Leg', 'Right Arm', 'Chest', 'Abdomen', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Left Face', 'Right Face', 'Right Arm', 'Chest', 'Left Leg', 'Left Leg', 'Left Face']",
4,"[-0.2, 0]",0,0,12,12,12,,,,,,,290.71105759986676,None,290.71105759986676,291.7110762000084,291.6944306998048,292.6944019999355,1,-0.1037037037037037,0.12037037037037036,"[0, 0, 0]",0,0,290.71105759986676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,,22,r,CIB,2021_Sep_03_1231,2020.2.10,distractmap,60.00157203918752,"['Abdomen', 'Right Leg', 'Right Arm', 'Chest', 'Abdomen', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Left Face', 'Right Face', 'Right Arm', 'Chest', 'Left Leg', 'Left Leg', 'Left Face']",
4,"[-0.2, 0]",1,0,13,13,13,,,,,,,292.7110818999354,None,292.7110818999354,293.7110682998318,293.6944221998565,294.6944381999783,1,-0.1037037037037037,0.12037037037037036,"[0, 0, 0]",0,0,292.7110818999354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,,22,r,CIB,2021_Sep_03_1231,2020.2.10,distractmap,60.00157203918752,"['Abdomen', 'Right Leg', 'Right Arm', 'Chest', 'Abdomen', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Left Face', 'Right Face', 'Right Arm', 'Chest', 'Left Leg', 'Left Leg', 'Left Face']",
8,"[0, -0.2]",0,0,14,14,14,,,,,,,294.71109689981677,None,294.71109689981677,295.71109099988826,295.6944335999433,296.6944407999981,1,-0.1037037037037037,0.12037037037037036,"[0, 0, 0]",0,0,294.71109689981677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,,22,r,CIB,2021_Sep_03_1231,2020.2.10,distractmap,60.00157203918752,"['Abdomen', 'Right Leg', 'Right Arm', 'Chest', 'Abdomen', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Left Face', 'Right Face', 'Right Arm', 'Chest', 'Left Leg', 'Left Leg', 'Left Face']",
5,"[0, 0]",0,0,15,15,15,,,,,,,296.71109769982286,None,296.71109769982286,297.7111229998991,297.694483499974,298.6944549998734,1,-0.1037037037037037,0.12037037037037036,"[0, 0, 0]",0,0,296.71109769982286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,,22,r,CIB,2021_Sep_03_1231,2020.2.10,distractmap,60.00157203918752,"['Abdomen', 'Right Leg', 'Right Arm', 'Chest', 'Abdomen', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Left Face', 'Right Face', 'Right Arm', 'Chest', 'Left Leg', 'Left Leg', 'Left Face']",
5,"[0, 0]",1,0,16,16,16,,,,,,,298.711113399826,None,298.711113399826,299.7111198999919,299.6944597000256,300.69449239992537,1,-0.1037037037037037,0.12037037037037036,"[0, 0, 0]",0,0,298.711113399826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,,22,r,CIB,2021_Sep_03_1231,2020.2.10,distractmap,60.00157203918752,"['Abdomen', 'Right Leg', 'Right Arm', 'Chest', 'Abdomen', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Left Face', 'Right Face', 'Right Arm', 'Chest', 'Left Leg', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",0,0,17,17,17,,,,,,,300.711151199881,None,300.711151199881,301.7111252998002,301.6944674998522,302.69448959990405,1,-0.1037037037037037,0.12037037037037036,"[0, 0, 0]",0,0,300.711151199881,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,,22,r,CIB,2021_Sep_03_1231,2020.2.10,distractmap,60.00157203918752,"['Abdomen', 'Right Leg', 'Right Arm', 'Chest', 'Abdomen', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Left Face', 'Right Face', 'Right Arm', 'Chest', 'Left Leg', 'Left Leg', 'Left Face']",
3,"[0.2, 0.2]",0,0,18,18,18,,,,,,,302.71116209984757,None,302.71116209984757,303.7111653999891,303.69449239992537,304.6945163998753,1,-0.1037037037037037,0.12037037037037036,"[0, 0, 0]",0,0,302.71116209984757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,,22,r,CIB,2021_Sep_03_1231,2020.2.10,distractmap,60.00157203918752,"['Abdomen', 'Right Leg', 'Right Arm', 'Chest', 'Abdomen', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Left Face', 'Right Face', 'Right Arm', 'Chest', 'Left Leg', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",0,0,19,19,19,,,,,,,304.71116059995256,None,304.71116059995256,305.71117309993133,305.6945160999894,306.69454890000634,1,-0.1037037037037037,0.12037037037037036,"[0, 0, 0]",0,0,304.71116059995256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,,22,r,CIB,2021_Sep_03_1231,2020.2.10,distractmap,60.00157203918752,"['Abdomen', 'Right Leg', 'Right Arm', 'Chest', 'Abdomen', 'Right Leg', 'Left Arm', 'Right Face', 'Left Arm', 'Left Face', 'Right Face', 'Right Arm', 'Chest', 'Left Leg', 'Left Leg', 'Left Face']",
