BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fixation.started,fixation.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,AvoidRating.response,AvoidRating.rt,AvoidRating.started,AvoidRating.stopped,RelaxRating.response,RelaxRating.rt,RelaxRating.started,RelaxRating.stopped,TaskAttentionRating.response,TaskAttentionRating.rt,TaskAttentionRating.started,TaskAttentionRating.stopped,BoredomRating.response,BoredomRating.rt,BoredomRating.started,BoredomRating.stopped,AlertnessRating.response,AlertnessRating.rt,AlertnessRating.started,AlertnessRating.stopped,PosThxRating.response,PosThxRating.rt,PosThxRating.started,PosThxRating.stopped,NegThxRating.response,NegThxRating.rt,NegThxRating.started,NegThxRating.stopped,SelfRating.response,SelfRating.rt,SelfRating.started,SelfRating.stopped,OtherRating.response,OtherRating.rt,OtherRating.started,OtherRating.stopped,ImageryRating.response,ImageryRating.rt,ImageryRating.started,ImageryRating.stopped,PresentRating.response,PresentRating.rt,PresentRating.started,PresentRating.stopped,subject number,gender,experience(1) or regulate(2),session,handedness,scanner,date,psychopyVersion,expName,body_site_order,frameRate,
14.120136900339276,14.120136900339276,None,space,29.986915400251746,14.120136900339276,None,61.94658930040896,61.94658930040896,50.0,58.88758281012997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,1,99,r,TEST,2022_Feb_09_1334,2020.2.10,acceptmap-exp,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",59.735265307710144,
,,,,,,,,,,,0.014992190059274435,5.016325689852238,-35.55555555555556,64.8916148096323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,1,99,r,TEST,2022_Feb_09_1334,2020.2.10,acceptmap-exp,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",59.735265307710144,
,,,,,,,,,,,,,,,0.013230790384113789,None,-90.0,188.2928583100438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,1,99,r,TEST,2022_Feb_09_1334,2020.2.10,acceptmap-exp,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",59.735265307710144,
,,,,,,,,,52.77777777777778,189.97347126808017,,,,,,,,,0.012668990064412355,123.40938368998468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,1,99,r,TEST,2022_Feb_09_1334,2020.2.10,acceptmap-exp,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",59.735265307710144,
,,,,,,,,,,,0.008187232073396444,None,,,,,,,,,61.01851851851852,190.72619851026684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,1,99,r,TEST,2022_Feb_09_1334,2020.2.10,acceptmap-exp,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",59.735265307710144,
,,,,,,,,,,,,,,,,,,,,,,,0.008401189930737019,None,51.85185185185185,191.1399713102728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,1,99,r,TEST,2022_Feb_09_1334,2020.2.10,acceptmap-exp,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",59.735265307710144,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012244189623743296,None,56.388888888888886,191.57421621028334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,1,99,r,TEST,2022_Feb_09_1334,2020.2.10,acceptmap-exp,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",59.735265307710144,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011154289823025465,None,58.333333333333336,191.94055790966377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,1,99,r,TEST,2022_Feb_09_1334,2020.2.10,acceptmap-exp,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",59.735265307710144,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011623790487647057,None,11.851851851851848,192.34138291003183,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,1,99,r,TEST,2022_Feb_09_1334,2020.2.10,acceptmap-exp,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",59.735265307710144,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010722490027546883,None,0.0,192.6551166092977,,,,,,,,,,,,,,,,,,,,,,,999,m,1,99,r,TEST,2022_Feb_09_1334,2020.2.10,acceptmap-exp,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",59.735265307710144,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013830190524458885,None,-30.185185185185176,193.33991681039333,,,,,,,,,,,,,,,,,,,999,m,1,99,r,TEST,2022_Feb_09_1334,2020.2.10,acceptmap-exp,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",59.735265307710144,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012646689545363188,None,-13.518518518518519,193.69032080937177,,,,,,,,,,,,,,,999,m,1,99,r,TEST,2022_Feb_09_1334,2020.2.10,acceptmap-exp,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",59.735265307710144,
