square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fixation_rest.started,fixation_rest.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,123.48534050001763,None,None,None,"[0, 0, 0]",124.50200820015743,None,124.50200820015743,125.50200129998848,125.485367000103,126.48535610013641,"[0, 0, 0]",1,124.50200820015743,None,,,,,,,,,,,,,,,,,,,7,f,1,18,r,MH,49,49,2022_Aug_01_1501,2020.2.10,distractmap1,59.988002336111215,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",126.50201350008138,128.50202500005253,126.50201350008138,127.5020163001027,127.4853644000832,128.4853614999447,"[0, 0, 0]",1,126.50201350008138,128.50202500005253,,,,,,,,,,,,,,,,,,,7,f,1,18,r,MH,49,49,2022_Aug_01_1501,2020.2.10,distractmap1,59.988002336111215,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
6,"[0.2, 0]",1,0,2,2,2,,,None,None,"[0, 0, 0]",128.51869460009038,130.5187153001316,128.51869460009038,129.51869930000976,129.5020404001698,130.5020548000466,"[0, 0, 0]",1,128.51869460009038,130.5187153001316,,,,,,,,,,,,,,,,,,,7,f,1,18,r,MH,49,49,2022_Aug_01_1501,2020.2.10,distractmap1,59.988002336111215,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
2,"[0, 0.2]",0,0,3,3,3,,,None,None,"[0, 0, 0]",130.53540239995345,132.53542400011793,130.53540239995345,131.53540779999457,131.51872520009056,132.5187222000677,"[0, 0, 0]",0,130.53540239995345,132.53542400011793,,,,,,,,,,,,,,,,,,,7,f,1,18,r,MH,49,49,2022_Aug_01_1501,2020.2.10,distractmap1,59.988002336111215,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",0,0,4,4,4,,,None,None,"[0, 0, 0]",132.5520572999958,134.5521635999903,132.5520572999958,133.55207030009478,133.53539840015583,134.53541490016505,"[0, 0, 0]",0,132.5520572999958,134.5521635999903,,,,,,,,,,,,,,,,,,,7,f,1,18,r,MH,49,49,2022_Aug_01_1501,2020.2.10,distractmap1,59.988002336111215,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",0,0,5,5,5,,,None,None,"[0, 0, 0]",134.568757600151,136.56875740014948,134.568757600151,135.56874560005963,135.55207760003395,136.55209890007973,"[0, 0, 0]",1,134.568757600151,136.56875740014948,,,,,,,,,,,,,,,,,,,7,f,1,18,r,MH,49,49,2022_Aug_01_1501,2020.2.10,distractmap1,59.988002336111215,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",0,0,6,6,6,,,None,None,"[0, 0, 0]",136.5854303999804,138.58546170010231,136.5854303999804,137.5854325001128,137.56877380004153,138.5687752000522,"[0, 0, 0]",0,136.5854303999804,138.58546170010231,,,,,,,,,,,,,,,,,,,7,f,1,18,r,MH,49,49,2022_Aug_01_1501,2020.2.10,distractmap1,59.988002336111215,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",0,0,7,7,7,,,None,None,"[0, 0, 0]",138.60211460012943,140.60212650010362,138.60211460012943,139.6021170001477,139.585467700148,140.58548210002482,"[0, 0, 0]",0,138.60211460012943,140.60212650010362,,,,,,,,,,,,,,,,,,,7,f,1,18,r,MH,49,49,2022_Aug_01_1501,2020.2.10,distractmap1,59.988002336111215,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",1,0,8,8,8,,,None,None,"[0, 0, 0]",140.61878839996643,142.61882490012795,140.61878839996643,141.61879750015214,141.6021571001038,142.60216530016623,"[0, 0, 0]",1,140.61878839996643,142.61882490012795,,,,,,,,,,,,,,,,,,,7,f,1,18,r,MH,49,49,2022_Aug_01_1501,2020.2.10,distractmap1,59.988002336111215,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",0,0,9,9,9,,,None,None,"[0, 0, 0]",142.63548890012316,144.63549380004406,142.63548890012316,143.63548679999076,143.61881430004723,144.61882410012186,"[0, 0, 0]",0,142.63548890012316,144.63549380004406,,,,,,,,,,,,,,,,,,,7,f,1,18,r,MH,49,49,2022_Aug_01_1501,2020.2.10,distractmap1,59.988002336111215,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
