	onset	duration	rt	mouseclick	correct	condition	score	SID	date	sex	session
0	528.1528248991817	1.8587084002792835			1	Practice 2-back	3.3333333333333335	1111	2023-02-23_21h14.33.522	F	111
1	530.0382253993303	1.9714581817388535			1	Practice 2-back	6.666666666666667	1111	2023-02-23_21h14.33.522	F	111
2	532.0409626998007	1.9650037791579962	0.5000839997082949	0	1	Practice 2-back	10.0	1111	2023-02-23_21h14.33.522	F	111
3	534.0396237000823	1.9672318827360868			0	Practice 2-back	10.0	1111	2023-02-23_21h14.33.522	F	111
4	536.0437107998878	1.9586281813681126	0.8802646994590759	2	1	Practice 2-back	13.333333333333334	1111	2023-02-23_21h14.33.522	F	111
5	538.0409672986716	1.9633659813553095	0.6309121996164322	2	1	Practice 2-back	16.666666666666668	1111	2023-02-23_21h14.33.522	F	111
6	540.0459243990481	1.9531854782253504	0.709511898458004	0	0	Practice 2-back	16.666666666666668	1111	2023-02-23_21h14.33.522	F	111
7	542.0398331992328	1.965229282155633	1.1488862000405788	2	1	Practice 2-back	20.0	1111	2023-02-23_21h14.33.522	F	111
8	544.0409806985408	1.9620252810418606	0.662848599255085	0	1	Practice 2-back	23.333333333333332	1111	2023-02-23_21h14.33.522	F	111
9	546.0383434984833	1.966682881116867	0.868444200605154	2	1	Practice 2-back	26.666666666666668	1111	2023-02-23_21h14.33.522	F	111
10	548.0376118998975	1.967702679336071	0.6842439994215965	0	0	Practice 2-back	26.666666666666668	1111	2023-02-23_21h14.33.522	F	111
11	550.0365270990878	1.9697946812957525	0.7487727999687195	2	0	Practice 2-back	26.666666666666668	1111	2023-02-23_21h14.33.522	F	111
12	552.0411331001669	1.9594591818749905	0.8146687000989914	2	1	Practice 2-back	30.0	1111	2023-02-23_21h14.33.522	F	111
13	554.0366602987051	1.9680782817304134	0.6825080998241901	2	1	Practice 2-back	33.333333333333336	1111	2023-02-23_21h14.33.522	F	111
14	556.0408590994775	1.9593928828835487	0.7962068002671003	0	0	Practice 2-back	33.333333333333336	1111	2023-02-23_21h14.33.522	F	111
15	558.0352506991476	1.969825480133295	0.6858738008886576	2	1	Practice 2-back	36.666666666666664	1111	2023-02-23_21h14.33.522	F	111
16	560.0363621991128	1.9673068802803755	0.6495701000094414	2	1	Practice 2-back	40.0	1111	2023-02-23_21h14.33.522	F	111
17	562.0371596999466	1.9649449791759253	0.6650022994726896	2	1	Practice 2-back	43.333333333333336	1111	2023-02-23_21h14.33.522	F	111
18	564.0362647995353	1.9662768803536892	0.515905998647213	0	1	Practice 2-back	46.666666666666664	1111	2023-02-23_21h14.33.522	F	111
19	566.0364637002349	1.9657684825360775	0.6495731007307768	2	1	Practice 2-back	50.0	1111	2023-02-23_21h14.33.522	F	111
20	568.0364955998957	1.964704379439354	0.6988130994141102	2	1	Practice 2-back	53.333333333333336	1111	2023-02-23_21h14.33.522	F	111
21	570.0352710988373	1.9671011790633202	0.7324608992785215	0	1	Practice 2-back	56.666666666666664	1111	2023-02-23_21h14.33.522	F	111
22	572.0347766987979	1.9677507802844048	0.6516763996332884	2	1	Practice 2-back	60.0	1111	2023-02-23_21h14.33.522	F	111
23	574.0346011985093	1.9671817813068628	0.7664022985845804	0	0	Practice 2-back	60.0	1111	2023-02-23_21h14.33.522	F	111
24	576.0335648991168	1.9685619808733463	0.6688662003725767	2	1	Practice 2-back	63.333333333333336	1111	2023-02-23_21h14.33.522	F	111
25	578.0343710985035	1.966844579204917	0.6821372006088495	2	1	Practice 2-back	66.66666666666667	1111	2023-02-23_21h14.33.522	F	111
26	580.0329628996551	1.9693196807056665	0.7036191988736391	0	1	Practice 2-back	70.0	1111	2023-02-23_21h14.33.522	F	111
27	582.0337592996657	1.967123381793499	0.6999088004231453	2	1	Practice 2-back	73.33333333333333	1111	2023-02-23_21h14.33.522	F	111
28	584.0315487999469	1.9708210807293653	0.6205430999398232	2	1	Practice 2-back	76.66666666666667	1111	2023-02-23_21h14.33.522	F	111
29	586.0326673984528	1.9678668808192015	0.6516925003379583	2	1	Practice 2-back	80.0	1111	2023-02-23_21h14.33.522	F	111
