	onset	duration	phase	condition
0	743.5413605000358	-725.553864389658	cue	Left Arm
1	745.0245077	-727.0370115896221	movement	Left Arm
2	761.5910604000092	-743.5928841400892	cue	Right Arm
3	763.074639499886	-745.076463239966	movement	Right Arm
4	779.6249414999038	-761.6279170401394	cue	Chest
5	781.1081383998971	-763.1111139401328	movement	Chest
6	797.6080821999349	-779.5964897598606	rest	Rest
7	815.6584312999621	-797.6719647799619	cue	Abdomen
8	817.141740999883	-799.1552744798828	movement	Abdomen
9	833.6918490999378	-815.7027453801129	cue	Left Leg
10	835.175229499815	-817.1861257799901	movement	Left Leg
11	851.725964799989	-833.7422125798184	cue	Right Leg
12	853.1920521999709	-835.2082999798004	movement	Right Leg
13	869.6923307999969	-851.680890860036	rest	Rest
14	887.7423189999536	-869.7535085799173	cue	Left Face
15	889.2256839999463	-871.23687357991	movement	Left Face
16	905.7262057999615	-887.7152455600444	rest	Rest
17	923.7759473999031	-905.779417939717	cue	Right Face
18	925.2593071998563	-907.2627777396701	movement	Right Face
19	941.7597622999456	-923.749859059928	rest	Rest
20	959.8264948998112	-941.8412757399492	cue	Right Arm
21	961.2929612998851	-943.307742140023	movement	Right Arm
22	977.7934381000232	-959.7823898601346	rest	Rest
23	995.8601059999783	-977.8709502399433	cue	Left Arm
24	997.3432441998739	-979.354088439839	movement	Left Arm
25	1013.8935870998539	-995.9029032799881	cue	Right Leg
26	1015.3767162000295	-997.3860323801637	movement	Right Leg
27	1031.9268602000084	-1013.931448340416	cue	Right Face
28	1033.4102163999341	-1015.4148045403417	movement	Right Face
29	1049.9105018000118	-1031.9005932600703	rest	Rest
30	1067.960731399944	-1049.978101140121	cue	Left Leg
31	1069.4272075998597	-1051.4445773400366	movement	Left Leg
32	1085.9773069999646	-1067.985202280106	cue	Abdomen
33	1087.4606383999344	-1069.4685336800758	movement	Abdomen
34	1104.0107811999042	-1086.0265721799806	cue	Left Face
35	1105.494119899813	-1087.5099108798895	movement	Left Face
36	1121.9943509998266	-1103.9825512596872	rest	Rest
37	1140.0443916998338	-1122.0493362396955	cue	Chest
38	1141.5277604998555	-1123.5327050397173	movement	Chest
39	1158.0280345999636	-1140.0170540600084	rest	Rest
40	Condition Order: 	['Left Arm', 'Right Arm', 'Chest', 'Rest', 'Abdomen', 'Left Leg', 'Right Leg', 'Rest', 'Left Face', 'Rest', 'Right Face', 'Rest', 'Right Arm', 'Rest', 'Left Arm', 'Right Leg', 'Right Face', 'Rest', 'Left Leg', 'Abdomen', 'Left Face', 'Rest', 'Chest', 'Rest']		
