12.9120 	WARNING 	Requested an unavailable screen number - using first available.
84.1331 	DATA 	Keypress: 5
84.5903 	DATA 	Keypress: 5
85.0491 	DATA 	Keypress: 5
85.5073 	DATA 	Keypress: 5
85.9657 	DATA 	Keypress: 5
86.4491 	DATA 	Keypress: 5
86.8821 	DATA 	Keypress: 5
87.3671 	DATA 	Keypress: 5
87.8162 	DATA 	Keypress: 5
88.2825 	DATA 	Keypress: 5
88.7321 	DATA 	Keypress: 5
89.1901 	DATA 	Keypress: 5
89.6493 	DATA 	Keypress: 5
90.1075 	DATA 	Keypress: 5
90.5667 	DATA 	Keypress: 5
91.0497 	DATA 	Keypress: 5
91.4819 	DATA 	Keypress: 5
91.9666 	DATA 	Keypress: 5
92.4170 	DATA 	Keypress: 5
92.8822 	DATA 	Keypress: 5
93.3328 	DATA 	Keypress: 5
93.7905 	DATA 	Keypress: 5
94.2493 	DATA 	Keypress: 5
94.7070 	DATA 	Keypress: 5
95.1662 	DATA 	Keypress: 5
95.6490 	DATA 	Keypress: 5
96.0829 	DATA 	Keypress: 5
96.5659 	DATA 	Keypress: 5
97.0153 	DATA 	Keypress: 5
97.4827 	DATA 	Keypress: 5
97.9329 	DATA 	Keypress: 5
98.3902 	DATA 	Keypress: 5
98.8499 	DATA 	Keypress: 5
99.3067 	DATA 	Keypress: 5
99.7667 	DATA 	Keypress: 5
100.2491 	DATA 	Keypress: 5
100.6826 	DATA 	Keypress: 5
101.1661 	DATA 	Keypress: 5
101.6160 	DATA 	Keypress: 5
102.0828 	DATA 	Keypress: 5
102.5318 	DATA 	Keypress: 5
102.9901 	DATA 	Keypress: 5
103.4492 	DATA 	Keypress: 5
103.9074 	DATA 	Keypress: 5
104.3667 	DATA 	Keypress: 5
104.8495 	DATA 	Keypress: 5
105.2825 	DATA 	Keypress: 5
105.7664 	DATA 	Keypress: 5
106.2159 	DATA 	Keypress: 5
106.6833 	DATA 	Keypress: 5
107.1329 	DATA 	Keypress: 5
107.5909 	DATA 	Keypress: 5
108.0499 	DATA 	Keypress: 5
108.5071 	DATA 	Keypress: 5
108.9666 	DATA 	Keypress: 5
109.4499 	DATA 	Keypress: 5
109.8827 	DATA 	Keypress: 5
110.3667 	DATA 	Keypress: 5
110.8159 	DATA 	Keypress: 5
111.2833 	DATA 	Keypress: 5
111.7333 	DATA 	Keypress: 5
112.1902 	DATA 	Keypress: 5
112.6499 	DATA 	Keypress: 5
113.1069 	DATA 	Keypress: 5
113.5667 	DATA 	Keypress: 5
114.0496 	DATA 	Keypress: 5
114.4829 	DATA 	Keypress: 5
114.9672 	DATA 	Keypress: 5
115.4158 	DATA 	Keypress: 5
115.8828 	DATA 	Keypress: 5
116.3330 	DATA 	Keypress: 5
116.7906 	DATA 	Keypress: 5
117.2494 	DATA 	Keypress: 5
117.7072 	DATA 	Keypress: 5
118.1664 	DATA 	Keypress: 5
118.6493 	DATA 	Keypress: 5
119.1076 	DATA 	Keypress: 5
119.5661 	DATA 	Keypress: 5
120.0161 	DATA 	Keypress: 5
120.4832 	DATA 	Keypress: 5
120.9333 	DATA 	Keypress: 5
121.3903 	DATA 	Keypress: 5
121.8496 	DATA 	Keypress: 5
122.3074 	DATA 	Keypress: 5
122.7666 	DATA 	Keypress: 5
123.2499 	DATA 	Keypress: 5
123.6829 	DATA 	Keypress: 5
124.1665 	DATA 	Keypress: 5
124.6162 	DATA 	Keypress: 5
125.0832 	DATA 	Keypress: 5
125.5331 	DATA 	Keypress: 5
125.9911 	DATA 	Keypress: 5
126.4497 	DATA 	Keypress: 5
126.9077 	DATA 	Keypress: 5
127.3669 	DATA 	Keypress: 5
127.8499 	DATA 	Keypress: 5
128.2834 	DATA 	Keypress: 5
128.7661 	DATA 	Keypress: 5
129.2154 	DATA 	Keypress: 5
129.6838 	DATA 	Keypress: 5
130.1329 	DATA 	Keypress: 5
130.5904 	DATA 	Keypress: 5
131.0501 	DATA 	Keypress: 5
131.5069 	DATA 	Keypress: 5
131.9666 	DATA 	Keypress: 5
132.4504 	DATA 	Keypress: 5
132.8831 	DATA 	Keypress: 5
133.3669 	DATA 	Keypress: 5
133.8162 	DATA 	Keypress: 5
134.2829 	DATA 	Keypress: 5
134.7333 	DATA 	Keypress: 5
135.1909 	DATA 	Keypress: 5
135.6499 	DATA 	Keypress: 5
136.1080 	DATA 	Keypress: 5
136.5660 	DATA 	Keypress: 5
137.0503 	DATA 	Keypress: 5
137.5069 	DATA 	Keypress: 5
137.9665 	DATA 	Keypress: 5
138.4159 	DATA 	Keypress: 5
138.8840 	DATA 	Keypress: 5
139.3328 	DATA 	Keypress: 5
139.7910 	DATA 	Keypress: 5
140.2500 	DATA 	Keypress: 5
140.7080 	DATA 	Keypress: 5
141.1670 	DATA 	Keypress: 5
141.6502 	DATA 	Keypress: 5
142.0830 	DATA 	Keypress: 5
142.5674 	DATA 	Keypress: 5
143.0161 	DATA 	Keypress: 5
143.4834 	DATA 	Keypress: 5
143.9333 	DATA 	Keypress: 5
144.3905 	DATA 	Keypress: 5
144.8493 	DATA 	Keypress: 5
145.3072 	DATA 	Keypress: 5
145.7669 	DATA 	Keypress: 5
146.2502 	DATA 	Keypress: 5
146.6832 	DATA 	Keypress: 5
147.1671 	DATA 	Keypress: 5
