BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fixation.started,fixation.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,session,handedness,scanner,run,experience(1) or regulate(2),date,psychopyVersion,expName,body_site_order,frameRate,
40.10601649997989,40.10601649997989,None,space,2.6662651000078768,40.10601649997989,None,68.17288550001103,None,50.0,46.347792619955726,,,9,F,99,R,MS MK,,2,2023_May_15_1225,2020.2.10,acceptmap-regulate,"['Abdomen', 'Left Face', 'Abdomen', 'Left Face']",59.99487644742832,
,,,,,,,96.25650809996296,None,50.0,74.41649128997233,0.004920180072076619,5.009581780119333,9,F,99,R,MS MK,,2,2023_May_15_1225,2020.2.10,acceptmap-regulate,"['Abdomen', 'Left Face', 'Abdomen', 'Left Face']",59.99487644742832,
,,,,,,,124.32353359996341,None,50.0,100.45869929000037,0.003145510039757937,5.006189909996465,9,F,99,R,MS MK,,2,2023_May_15_1225,2020.2.10,acceptmap-regulate,"['Abdomen', 'Left Face', 'Abdomen', 'Left Face']",59.99487644742832,
,,,,,,,152.37379039998632,None,50.0,130.53802575008012,0.011213410005439073,5.005647910002153,9,F,99,R,MS MK,,2,2023_May_15_1225,2020.2.10,acceptmap-regulate,"['Abdomen', 'Left Face', 'Abdomen', 'Left Face']",59.99487644742832,
,,,,,,,180.45731520000845,None,50.0,158.6327735200175,0.015427649952471256,5.013940249977168,9,F,99,R,MS MK,,2,2023_May_15_1225,2020.2.10,acceptmap-regulate,"['Abdomen', 'Left Face', 'Abdomen', 'Left Face']",59.99487644742832,
,,,,,,,208.54101139999693,None,50.0,186.69504861993482,0.004444980004336685,5.008795880014077,9,F,99,R,MS MK,,2,2023_May_15_1225,2020.2.10,acceptmap-regulate,"['Abdomen', 'Left Face', 'Abdomen', 'Left Face']",59.99487644742832,
,,,,,,,236.6079946999671,None,50.0,210.798714549921,0.009090480045415461,5.001395380066242,9,F,99,R,MS MK,,2,2023_May_15_1225,2020.2.10,acceptmap-regulate,"['Abdomen', 'Left Face', 'Abdomen', 'Left Face']",59.99487644742832,
,,,,,,,264.70827659999486,None,50.0,242.89854845002992,0.005695250059943646,5.0112841500667855,9,F,99,R,MS MK,,2,2023_May_15_1225,2020.2.10,acceptmap-regulate,"['Abdomen', 'Left Face', 'Abdomen', 'Left Face']",59.99487644742832,
,,,,,,,292.8085546999937,None,50.0,268.954891619971,0.006208150007296354,5.012346250005066,9,F,99,R,MS MK,,2,2023_May_15_1225,2020.2.10,acceptmap-regulate,"['Abdomen', 'Left Face', 'Abdomen', 'Left Face']",59.99487644742832,
,,,,,,,304.0757012999966,None,,,0.016785780026111752,5.0167918800143525,,,,,,,,,,,,,
