square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response.rt_left,response.rt_right,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt_left,response_2.rt_right,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
1,"[-0.2, 0.2]",0,0,10,10,10,,,,,,,987.6610825000098,None,987.6610825000098,988.6610599000123,988.6444009999977,989.6444111000164,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,987.6610825000098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
2,"[0, 0.2]",0,0,11,11,11,,,,,,,989.6610778000322,None,989.6610778000322,990.6610804999946,990.6444267000188,991.6444062000373,1,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,989.6610778000322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
4,"[-0.2, 0]",0,0,12,12,12,,,,,,,991.6610840000212,None,991.6610840000212,992.6610987000167,992.6444228999899,993.6444580000243,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,991.6610840000212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
4,"[-0.2, 0]",1,0,13,13,13,,,,,,,993.6610921000247,None,993.6610921000247,994.6611082000309,994.6444435000303,995.6444714000099,1,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,993.6610921000247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
8,"[0, -0.2]",0,0,14,14,14,,,,,,,995.6611308000283,None,995.6611308000283,996.6611324000405,996.6443375000381,997.6444735000259,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,995.6611308000283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
5,"[0, 0]",0,0,15,15,15,,,,,,,997.6611295000184,None,997.6611295000184,998.6611521000159,998.6444879000192,999.6445028000162,1,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,997.6611295000184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
5,"[0, 0]",1,0,16,16,16,,,,,,,999.6611725999974,None,999.6611725999974,1000.6611704000388,1000.6444956000196,1001.6445522000431,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,999.6611725999974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
1,"[-0.2, 0.2]",0,0,17,17,17,,,,,,,1001.6611514000106,None,1001.6611514000106,1002.6611768000294,1002.6445208000368,1003.6444095000043,1,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1001.6611514000106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
3,"[0.2, 0.2]",0,0,18,18,18,,,,,,,1003.6612030999968,None,1003.6612030999968,1004.6610775000299,1004.6445356000331,1005.6445354000316,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1003.6612030999968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
6,"[0.2, 0]",0,0,19,19,19,,,,,,,1005.661198900023,None,1005.661198900023,1006.6612226000289,1006.6445508000324,1007.6445481000119,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1005.661198900023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
