RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,None,None,0,417.88589119998505,None,417.88589119998505,418.8859252999828,418.8692468999943,419.8692339999834,0,1,417.88589119998505,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,8,"[0, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,None,None,0,419.8859187999915,None,419.8859187999915,420.885913599981,420.8692594000022,421.8692681999819,0,1,419.8859187999915,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,None,None,0,421.88592559998506,None,421.88592559998506,422.885927299998,422.8692815999966,423.86926489998586,0,1,421.88592559998506,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,None,None,0,423.8859087000019,None,423.8859087000019,424.88595589998295,424.86928250000346,425.86930659998325,0,1,423.8859087000019,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,None,None,0,425.88595609998447,None,425.88595609998447,426.8859743999783,426.8692880999879,427.86930269998265,0,1,425.88595609998447,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,None,None,0,427.88597299999674,None,427.88597299999674,428.88600969998515,428.86941469999147,429.8693255999824,0,1,427.88597299999674,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,None,None,0,429.8860028999916,None,429.8860028999916,430.8860019999847,430.86932319999323,431.8693529999873,0,1,429.8860028999916,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,3,"[0.2, 0.2]",1,0,1,1,1,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,None,None,0,431.8860059999861,None,431.8860059999861,432.8860097999859,432.8693454999884,433.8693561999826,0,1,431.8860059999861,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,None,None,0,433.88601819999167,None,433.88601819999167,434.8860323999834,434.8693684999889,435.86935910000466,0,1,433.88601819999167,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,None,None,0,435.88603150000563,None,435.88603150000563,436.8860577000014,436.86937959998613,437.8693592000054,0,1,435.88603150000563,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
