square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.click,response.rt_left,response.rt_right,response_2.rt_left,response_2.rt_right,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,,,,,306.9844730000041,None,308.00115769999684,None,308.00115769999684,309.0011514000071,308.98447470000247,309.98448110000754,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,308.00115769999684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
6,"[0.2, 0]",1,0,1,1,1,,,,,,,310.00116060000437,None,310.00116060000437,311.00118000000657,310.98439179999696,311.9844454999984,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,310.00116060000437,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
2,"[0, 0.2]",0,0,2,2,2,,,,,,,312.0011602000013,None,312.0011602000013,313.00110819999827,312.9845006999967,313.98452169999655,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,312.0011602000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
9,"[0.2, -0.2]",0,0,3,3,3,,,,,,,314.00120199999947,None,314.00120199999947,315.001202200001,314.9845190000051,315.9844369000057,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,314.00120199999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
9,"[0.2, -0.2]",1,0,4,4,4,,,,,,,316.0012055999978,None,316.0012055999978,317.00122580000607,316.98454859999765,317.98454600000696,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,316.0012055999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
6,"[0.2, 0]",0,0,5,5,5,,,,,,,318.00121980000404,None,318.00121980000404,319.0012410000054,318.9845464999962,319.9845634000085,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,318.00121980000404,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
4,"[-0.2, 0]",0,0,6,6,6,,,,,,,320.0012459999998,None,320.0012459999998,321.00124399999913,320.984580999997,321.98457220000273,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,320.0012459999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
3,"[0.2, 0.2]",0,0,7,7,7,,,,,,,322.00124910000886,None,322.00124910000886,323.00126889999956,322.984589700005,323.9845895000035,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,322.00124910000886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
3,"[0.2, 0.2]",1,0,8,8,8,,,,,,,324.00125810000463,None,324.00125810000463,325.00128369999584,324.98459600000933,325.98460799999884,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,324.00125810000463,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
8,"[0, -0.2]",0,0,9,9,9,,,,,,,326.00129139999626,None,326.00129139999626,327.0012815000082,326.9846128000063,327.98461680000764,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,326.00129139999626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
1,"[-0.2, 0.2]",0,0,10,10,10,,,,,,,328.0012959000014,None,328.0012959000014,329.00129630000447,328.9846324999962,329.9846275000018,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,328.0012959000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
2,"[0, 0.2]",0,0,11,11,11,,,,,,,330.0012940000015,None,330.0012940000015,331.0013084999955,330.9846361999953,331.98465140000917,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,330.0012940000015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
4,"[-0.2, 0]",0,0,12,12,12,,,,,,,332.00133100000676,None,332.00133100000676,333.0013181999966,332.9846596999996,333.98465650000435,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,332.00133100000676,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
4,"[-0.2, 0]",1,0,13,13,13,,,,,,,334.0013256999955,None,334.0013256999955,335.00134859999525,334.9846794000041,335.984675300002,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,334.0013256999955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
8,"[0, -0.2]",0,0,14,14,14,,,,,,,336.0013525999966,None,336.0013525999966,337.00134580000304,336.9846816000063,337.9846983000025,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,336.0013525999966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
5,"[0, 0]",0,0,15,15,15,,,,,,,338.0013777999993,None,338.0013777999993,339.0013598000078,338.98469500000647,339.9847083000059,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,338.0013777999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
5,"[0, 0]",1,0,16,16,16,,,,,,,340.0013772999955,None,340.0013772999955,341.00138790000346,340.9847182000085,341.98472970000876,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,340.0013772999955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
1,"[-0.2, 0.2]",0,0,17,17,17,,,,,,,342.00138210000296,None,342.00138210000296,343.00140350000584,342.9847485000064,343.98474420000275,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,342.00138210000296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
3,"[0.2, 0.2]",0,0,18,18,18,,,,,,,344.0014274999994,None,344.0014274999994,345.00142770000093,344.9847371000069,345.984746800008,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,344.0014274999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
6,"[0.2, 0]",0,0,19,19,19,,,,,,,346.00142760000017,None,346.00142760000017,347.00142820000474,346.9847660000087,347.9847630000004,1,0.013888888888888888,0.08888888888888889,"[0, 0, 0]",0,0,346.00142760000017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,AB,2022_Feb_08_1254,2020.2.10,distractmap2,59.97415113952638,"['Left Face', 'Chest', 'Right Face', 'Left Arm']",
