square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response.rt_left,response.rt_right,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
2,"[0, 0.2]",0,0,24,24,24,,,,,,,209.87855259999924,None,209.87855259999924,210.89558530000068,210.86185030000343,211.8618690000003,1,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,209.87855259999924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
1,"[-0.2, 0.2]",0,0,25,25,25,,,,,,,211.87856360000296,None,211.87856360000296,212.87853900000482,212.86188070000208,213.8618717999998,0,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,211.87856360000296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
7,"[-0.2, -0.2]",0,0,26,26,26,,,,,,,213.8785216000033,None,213.8785216000033,214.87856200000533,214.8618964000052,215.86190239999996,1,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,213.8785216000033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
7,"[-0.2, -0.2]",1,0,27,27,27,,,,,,,215.8785599000039,None,215.8785599000039,216.87855200000195,216.86190820000047,217.86190640000132,1,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,215.8785599000039,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
2,"[0, 0.2]",0,0,28,28,28,,,,,,,217.87855290000152,None,217.87855290000152,218.8785882000011,218.86193040000217,219.8619273000004,1,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,217.87855290000152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
6,"[0.2, 0]",0,0,29,29,29,,,,,,,219.878586800005,None,219.878586800005,220.8785801999984,220.86192519999895,221.86193450000428,1,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,219.878586800005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,221.8952860999998,None,space,221.8952860999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
6,"[0.2, 0]",None,0,0,0,0,,,,,253.1121490000005,None,254.12889350000478,None,254.12889350000478,255.12884750000376,255.11215880000236,256.11217600000236,0,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,254.12889350000478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
6,"[0.2, 0]",1,0,1,1,1,,,,,,,256.1288601000051,None,256.1288601000051,257.1288477000053,257.1121800000037,258.1121840000051,1,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,256.1288601000051,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
2,"[0, 0.2]",0,0,2,2,2,,,,,,,258.12885950000054,None,258.12885950000054,259.1288604000001,259.11218940000253,260.1122123000023,1,-0.023148148148148147,0.125,"[0, 0, 0]",0,0,258.12885950000054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
