square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response.rt_left,response.rt_right,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
4,"[-0.2, 0]",0,0,5,5,5,,,,,,,967.7839173000029,None,967.7839173000029,968.783912800005,968.7672530999989,969.7672680000032,1,None,None,"[0, 0, 0]",,,967.7839173000029,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
9,"[0.2, -0.2]",0,0,6,6,6,,,,,,,969.7839900000035,969.7839900000035,969.7839900000035,970.7839451000036,970.7672706000012,971.7672673000052,1,None,None,"[0, 0, 0]",,,969.7839900000035,969.7839900000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
6,"[0.2, 0]",0,0,7,7,7,,,,,,,971.783927299999,971.783927299999,971.783927299999,972.7839384000035,972.7672919000033,973.7672897000011,1,None,None,"[0, 0, 0]",,,971.783927299999,971.783927299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
2,"[0, 0.2]",0,0,8,8,8,,,,,,,973.7839480000039,973.7839480000039,973.7839480000039,974.783970299999,974.7672931000052,975.7673139000035,1,None,None,"[0, 0, 0]",,,973.7839480000039,973.7839480000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
2,"[0, 0.2]",1,0,9,9,9,,,,,,,975.7839651000031,975.7839651000031,975.7839651000031,976.7839899000028,976.7673106000002,977.7673443000022,1,None,None,"[0, 0, 0]",,,975.7839651000031,975.7839651000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
,,,,,,,,,,,977.7839793000021,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.888888888888893,958.0023733699927,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
2,"[0, 0.2]",None,,,,,0,0,0,0,991.0176028999995,None,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",997.8508075999998,None,997.8508075999998,998.8508379999985,998.8341303000052,999.834176299999,"[0, 0, 0]",1,997.8508075999998,None,,,,,,,,,,,0.015134630004467908,5.012720930004434,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
5,"[0, 0]",None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",999.8508404000022,1001.8508245000048,999.8508404000022,1000.8508449000001,1000.8341437000054,1001.8341493000044,"[0, 0, 0]",0,999.8508404000022,1001.8508245000048,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
6,"[0.2, 0]",0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1001.8674821000022,1003.867499400003,1001.8674821000022,1002.8675533999995,1002.8508428999994,1003.8508718000012,"[0, 0, 0]",1,1001.8674821000022,1003.867499400003,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
1,"[-0.2, 0.2]",0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1003.8841772000014,1005.8841821000024,1003.8841772000014,1004.8841776000045,1004.8675296000001,1005.8675223000027,"[0, 0, 0]",1,1003.8841772000014,1005.8841821000024,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
6,"[0.2, 0]",1,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1005.9677340999988,None,1005.9677340999988,1006.9675414000012,1006.9508624000009,None,"[0, 0, 0]",1,1005.9677340999988,None,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
6,"[0.2, 0]",0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1007.9175346999982,1009.9175360000008,1007.9175346999982,1008.9175411000033,1008.900950700001,1009.9008984000029,"[0, 0, 0]",1,1007.9175346999982,1009.9175360000008,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
9,"[0.2, -0.2]",0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1009.9342314000023,1011.9342270000052,1009.9342314000023,1010.9342223999993,1010.9175594000044,1011.9175380000015,"[0, 0, 0]",1,1009.9342314000023,1011.9342270000052,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
6,"[0.2, 0]",1,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1011.950903900004,1013.9509118999995,1011.950903900004,1012.9509106000041,1012.9342351000014,1013.9342461999986,"[0, 0, 0]",1,1011.950903900004,1013.9509118999995,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
3,"[0.2, 0.2]",0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1013.9675590000043,1015.9675881000003,1013.9675590000043,1014.967564300001,1014.9509165999989,1015.9509174999985,"[0, 0, 0]",1,1013.9675590000043,1015.9675881000003,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
9,"[0.2, -0.2]",0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1015.9842571000045,1017.9842776000005,1015.9842571000045,1016.9842661000002,1016.9675742000036,1017.9675977000006,"[0, 0, 0]",0,1015.9842571000045,1017.9842776000005,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
,,,,,,,,,,,1018.0009486000054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.876543209876544,998.3370539699972,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
3,"[0.2, 0.2]",None,,,,,0,0,0,0,1031.267990100001,None,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1038.051098200005,None,1038.051098200005,1039.0510861000002,1039.0344440000044,1040.034470700004,"[0, 0, 0]",1,1038.051098200005,None,,,,,,,,,,,0.014115930003754329,5.010612329999276,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
9,"[0.2, -0.2]",None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1040.0511179000023,1042.0511138000002,1040.0511179000023,1041.051112400004,1041.034459100003,1042.0344480999993,"[0, 0, 0]",1,1040.0511179000023,1042.0511138000002,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
3,"[0.2, 0.2]",1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1042.067773900002,1044.0678068999987,1042.067773900002,1043.0678028000038,1043.0511340000012,1044.0511337999997,"[0, 0, 0]",1,1042.067773900002,1044.0678068999987,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
7,"[-0.2, -0.2]",0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1044.0845228000035,1046.0844885000042,1044.0845228000035,1045.0844760000036,1045.0678182000047,1046.067830400003,"[0, 0, 0]",0,1044.0845228000035,1046.0844885000042,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
8,"[0, -0.2]",0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1046.1511204999988,None,1046.1511204999988,1047.151154500003,1047.1345249000005,None,"[0, 0, 0]",1,1046.1511204999988,None,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
4,"[-0.2, 0]",0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1048.1178304999994,1050.1178447999991,1048.1178304999994,1049.1178265000053,1049.1011628999986,1050.1011902000027,"[0, 0, 0]",1,1048.1178304999994,1050.1178447999991,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
4,"[-0.2, 0]",0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1050.1345384000015,1052.1345382,1050.1345384000015,1051.134539999999,1051.1178480000017,1052.1178670000008,"[0, 0, 0]",1,1050.1345384000015,1052.1345382,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
1,"[-0.2, 0.2]",0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1052.151191500001,1054.151211700002,1052.151191500001,1053.1512053000042,1053.1346746999989,1054.1345471000022,"[0, 0, 0]",1,1052.151191500001,1054.151211700002,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
4,"[-0.2, 0]",1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1054.1678777000052,1056.1678949999987,1054.1678777000052,1055.1679102999988,1055.1512122999993,1056.1512195000032,"[0, 0, 0]",1,1054.1678777000052,1056.1678949999987,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
8,"[0, -0.2]",0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1056.1845820000017,1058.1845719000048,1056.1845820000017,1057.1845385999986,1057.167884100003,1058.1678939999983,"[0, 0, 0]",1,1056.1845820000017,1058.1845719000048,,,,,,,,,,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
,,,,,,,,,,,1058.2012489000044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33333333333333,1041.9539157699983,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
2,"[0, 0.2]",None,0,0,0,0,,,,,1073.7014034000022,None,1078.2680518000052,None,1078.2680518000052,1079.2680594999983,1079.251423900001,1080.2513909000045,1,None,None,"[0, 0, 0]",,,1078.2680518000052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,0.014262130003771745,5.011001129998476,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
8,"[0, -0.2]",0,0,1,1,1,,,,,,,1080.2679801999984,None,1080.2679801999984,1081.2680696000025,1081.2514211000016,1082.2514478000012,1,None,None,"[0, 0, 0]",,,1080.2679801999984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
1,"[-0.2, 0.2]",0,0,2,2,2,,,,,,,1082.2680908000038,1082.2680908000038,1082.2680908000038,1083.268082900002,1083.251422500005,1084.2514112999997,1,None,None,"[0, 0, 0]",,,1082.2680908000038,1082.2680908000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
2,"[0, 0.2]",0,0,3,3,3,,,,,,,1084.2680065000022,1084.2680065000022,1084.2680065000022,1085.2681072999985,1085.2514142,1086.251469499999,1,None,None,"[0, 0, 0]",,,1084.2680065000022,1084.2680065000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
2,"[0, 0.2]",1,0,4,4,4,,,,,,,1086.3026265000008,1086.3026265000008,1086.3026265000008,1087.3181057000038,1087.2847454000002,None,1,None,None,"[0, 0, 0]",,,1086.3026265000008,1086.3026265000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
7,"[-0.2, -0.2]",0,0,5,5,5,,,,,,,1088.2848049000022,None,1088.2848049000022,1089.2848152000006,1089.2681347000034,1090.2681426999989,1,None,None,"[0, 0, 0]",,,1088.2848049000022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
9,"[0.2, -0.2]",0,0,6,6,6,,,,,,,1090.2847086000038,1090.2847086000038,1090.2847086000038,1091.2847431000046,1091.2681544000006,1092.2681527000022,1,None,None,"[0, 0, 0]",,,1090.2847086000038,1090.2847086000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
9,"[0.2, -0.2]",1,0,7,7,7,,,,,,,1092.2847174000053,1092.2847174000053,1092.2847174000053,1093.2848511999982,1093.268168100003,1094.2681704999995,0,None,None,"[0, 0, 0]",,,1092.2847174000053,1092.2847174000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
4,"[-0.2, 0]",0,0,8,8,8,,,,,,,1094.2848802000008,1094.2848802000008,1094.2848802000008,1095.2848586000036,1095.2681875000053,1096.2681802000006,1,None,None,"[0, 0, 0]",,,1094.2848802000008,1094.2848802000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
5,"[0, 0]",0,0,9,9,9,,,,,,,1096.2848797000042,1096.2848797000042,1096.2848797000042,1097.2848558000042,1097.2681955000007,1098.2681830000001,1,None,None,"[0, 0, 0]",,,1096.2848797000042,1096.2848797000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
,,,,,,,,,,,1098.284854700003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.01234567901235,1079.0868393700002,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
2,"[0, 0.2]",None,0,0,0,0,,,,,1111.5185592999987,None,1118.335014700002,None,1118.335014700002,1119.3350236000042,1119.3183646000034,1120.3183508000002,1,None,None,"[0, 0, 0]",,,1118.335014700002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,0.014896230000886135,5.0123051299960935,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
2,"[0, 0.2]",1,0,1,1,1,,,,,,,1120.3350333999988,None,1120.3350333999988,1121.3349607000055,1121.3183552000046,1122.3183816000019,1,None,None,"[0, 0, 0]",,,1120.3350333999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
1,"[-0.2, 0.2]",0,0,2,2,2,,,,,,,1122.3350420999996,1122.3350420999996,1122.3350420999996,1123.3350639000055,1123.3183845000021,1124.3183923000033,1,None,None,"[0, 0, 0]",,,1122.3350420999996,1122.3350420999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
2,"[0, 0.2]",0,0,3,3,3,,,,,,,1124.3350524000052,1124.3350524000052,1124.3350524000052,1125.335068600005,1125.3184043,1126.318384600003,1,None,None,"[0, 0, 0]",,,1124.3350524000052,1124.3350524000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
2,"[0, 0.2]",1,0,4,4,4,,,,,,,1126.3853345000025,1126.3853345000025,1126.3853345000025,1127.3850865999993,1127.3684158000033,None,1,None,None,"[0, 0, 0]",,,1126.3853345000025,1126.3853345000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
4,"[-0.2, 0]",0,0,5,5,5,,,,,,,1128.3517579000036,None,1128.3517579000036,1129.3517549000026,1129.3350900000005,1130.3350924000042,1,None,None,"[0, 0, 0]",,,1128.3517579000036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
6,"[0.2, 0]",0,0,6,6,6,,,,,,,1130.3517795000007,1130.3517795000007,1130.3517795000007,1131.3517715000053,1131.3351049000048,1132.3351107999988,0,None,None,"[0, 0, 0]",,,1130.3517795000007,1130.3517795000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
8,"[0, -0.2]",0,0,7,7,7,,,,,,,1132.3517743000048,1132.3517743000048,1132.3517743000048,1133.351766300002,1133.3351353000035,1134.3351346000054,1,None,None,"[0, 0, 0]",,,1132.3517743000048,1132.3517743000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
9,"[0.2, -0.2]",0,0,8,8,8,,,,,,,1134.3517944999985,1134.3517944999985,1134.3517944999985,1135.3518834999995,1135.3351776000054,1136.3351402000044,1,None,None,"[0, 0, 0]",,,1134.3517944999985,1134.3517944999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
9,"[0.2, -0.2]",1,0,9,9,9,,,,,,,1136.3518034000008,1136.3518034000008,1136.3518034000008,1137.351824199999,1137.3351469000045,1138.3351694000012,0,None,None,"[0, 0, 0]",,,1136.3518034000008,1136.3518034000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
,,,,,,,,,,,1138.3518200000035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.71604938271605,1120.7872813700014,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
4,"[-0.2, 0]",None,0,0,0,0,,,,,1153.6022015000053,None,1158.4019953000025,None,1158.4019953000025,1159.4019816,1159.3853247000006,1160.3853247000006,1,None,None,"[0, 0, 0]",,,1158.4019953000025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,0.014785829996981192,5.012088329996914,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
7,"[-0.2, -0.2]",0,0,1,1,1,,,,,,,1160.4019898000042,None,1160.4019898000042,1161.4018862000012,1161.3853229000015,1162.3853492000053,1,None,None,"[0, 0, 0]",,,1160.4019898000042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
7,"[-0.2, -0.2]",1,0,2,2,2,,,,,,,1162.4020111999998,1162.4020111999998,1162.4020111999998,1163.402019699999,1163.3856818999993,1164.385350000004,1,None,None,"[0, 0, 0]",,,1162.4020111999998,1162.4020111999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
4,"[-0.2, 0]",0,0,3,3,3,,,,,,,1164.4020100000052,1164.4020100000052,1164.4020100000052,1165.402006000004,1165.385363100002,1166.3853732999996,1,None,None,"[0, 0, 0]",,,1164.4020100000052,1164.4020100000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
8,"[0, -0.2]",0,0,4,4,4,,,,,,,1166.435631100001,1166.435631100001,1166.435631100001,1167.4353564999983,1167.4187012000039,None,1,None,None,"[0, 0, 0]",,,1166.435631100001,1166.435631100001,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
4,"[-0.2, 0]",0,0,5,5,5,,,,,,,1168.4187096000023,None,1168.4187096000023,1169.4187058000025,1169.4019331000018,1170.4020602000019,1,None,None,"[0, 0, 0]",,,1168.4187096000023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
7,"[-0.2, -0.2]",0,0,6,6,6,,,,,,,1170.4187138999987,1170.4187138999987,1170.4187138999987,1171.4187260000035,1171.4020799999998,1172.402071000004,1,None,None,"[0, 0, 0]",,,1170.4187138999987,1170.4187138999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
6,"[0.2, 0]",0,0,7,7,7,,,,,,,1172.4187186999989,1172.4187186999989,1172.4187186999989,1173.418738100001,1173.402081799999,1174.402097099999,1,None,None,"[0, 0, 0]",,,1172.4187186999989,1172.4187186999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,,,,8,f,1,13,r,MS,2022_Jan_12_1354,2020.2.10,distractmap1,59.999160009729295,"['Abdomen', 'Right Arm', 'Left Leg', 'Right Leg']",
