25.2048 	WARNING 	Requested an unavailable screen number - using first available.
96.9570 	DATA 	Keypress: 5
97.4150 	DATA 	Keypress: 5
97.8742 	DATA 	Keypress: 5
98.3244 	DATA 	Keypress: 5
98.7905 	DATA 	Keypress: 5
99.2402 	DATA 	Keypress: 5
99.6980 	DATA 	Keypress: 5
100.1566 	DATA 	Keypress: 5
100.6148 	DATA 	Keypress: 5
101.0743 	DATA 	Keypress: 5
101.5569 	DATA 	Keypress: 5
102.0151 	DATA 	Keypress: 5
102.4740 	DATA 	Keypress: 5
102.9241 	DATA 	Keypress: 5
103.3906 	DATA 	Keypress: 5
103.8405 	DATA 	Keypress: 5
104.2977 	DATA 	Keypress: 5
104.7571 	DATA 	Keypress: 5
105.2150 	DATA 	Keypress: 5
105.6743 	DATA 	Keypress: 5
106.1566 	DATA 	Keypress: 5
106.6153 	DATA 	Keypress: 5
107.0744 	DATA 	Keypress: 5
107.5238 	DATA 	Keypress: 5
107.9913 	DATA 	Keypress: 5
108.4405 	DATA 	Keypress: 5
108.8987 	DATA 	Keypress: 5
109.3573 	DATA 	Keypress: 5
109.8149 	DATA 	Keypress: 5
110.2736 	DATA 	Keypress: 5
110.7574 	DATA 	Keypress: 5
111.2151 	DATA 	Keypress: 5
111.6740 	DATA 	Keypress: 5
112.1243 	DATA 	Keypress: 5
112.5902 	DATA 	Keypress: 5
113.0410 	DATA 	Keypress: 5
113.4989 	DATA 	Keypress: 5
113.9569 	DATA 	Keypress: 5
114.4152 	DATA 	Keypress: 5
114.8741 	DATA 	Keypress: 5
115.3569 	DATA 	Keypress: 5
115.8154 	DATA 	Keypress: 5
116.2746 	DATA 	Keypress: 5
116.7238 	DATA 	Keypress: 5
117.1913 	DATA 	Keypress: 5
117.6399 	DATA 	Keypress: 5
118.0985 	DATA 	Keypress: 5
118.5576 	DATA 	Keypress: 5
119.0148 	DATA 	Keypress: 5
119.4738 	DATA 	Keypress: 5
119.9568 	DATA 	Keypress: 5
120.4147 	DATA 	Keypress: 5
120.8743 	DATA 	Keypress: 5
121.3244 	DATA 	Keypress: 5
121.7906 	DATA 	Keypress: 5
122.2406 	DATA 	Keypress: 5
122.6985 	DATA 	Keypress: 5
123.1577 	DATA 	Keypress: 5
123.6154 	DATA 	Keypress: 5
124.0742 	DATA 	Keypress: 5
124.5578 	DATA 	Keypress: 5
125.0146 	DATA 	Keypress: 5
125.4748 	DATA 	Keypress: 5
125.9244 	DATA 	Keypress: 5
126.3901 	DATA 	Keypress: 5
126.8408 	DATA 	Keypress: 5
127.2983 	DATA 	Keypress: 5
127.7571 	DATA 	Keypress: 5
128.2147 	DATA 	Keypress: 5
128.6744 	DATA 	Keypress: 5
129.1572 	DATA 	Keypress: 5
129.6154 	DATA 	Keypress: 5
130.0740 	DATA 	Keypress: 5
130.5244 	DATA 	Keypress: 5
130.9911 	DATA 	Keypress: 5
131.4411 	DATA 	Keypress: 5
131.8984 	DATA 	Keypress: 5
132.3567 	DATA 	Keypress: 5
132.8150 	DATA 	Keypress: 5
133.2747 	DATA 	Keypress: 5
133.7577 	DATA 	Keypress: 5
134.2151 	DATA 	Keypress: 5
134.6750 	DATA 	Keypress: 5
135.1244 	DATA 	Keypress: 5
135.5910 	DATA 	Keypress: 5
136.0408 	DATA 	Keypress: 5
136.4991 	DATA 	Keypress: 5
136.9585 	DATA 	Keypress: 5
137.4151 	DATA 	Keypress: 5
137.8744 	DATA 	Keypress: 5
138.3578 	DATA 	Keypress: 5
138.8152 	DATA 	Keypress: 5
139.2742 	DATA 	Keypress: 5
139.7247 	DATA 	Keypress: 5
140.1909 	DATA 	Keypress: 5
140.6399 	DATA 	Keypress: 5
141.0984 	DATA 	Keypress: 5
141.5572 	DATA 	Keypress: 5
142.0148 	DATA 	Keypress: 5
142.4745 	DATA 	Keypress: 5
142.9582 	DATA 	Keypress: 5
143.4154 	DATA 	Keypress: 5
143.8743 	DATA 	Keypress: 5
144.3243 	DATA 	Keypress: 5
144.7909 	DATA 	Keypress: 5
145.2417 	DATA 	Keypress: 5
145.6986 	DATA 	Keypress: 5
146.1574 	DATA 	Keypress: 5
146.6154 	DATA 	Keypress: 5
147.0741 	DATA 	Keypress: 5
147.5574 	DATA 	Keypress: 5
148.0157 	DATA 	Keypress: 5
148.4740 	DATA 	Keypress: 5
148.9243 	DATA 	Keypress: 5
149.3910 	DATA 	Keypress: 5
149.8409 	DATA 	Keypress: 5
150.2984 	DATA 	Keypress: 5
150.7573 	DATA 	Keypress: 5
151.2150 	DATA 	Keypress: 5
151.6743 	DATA 	Keypress: 5
152.1580 	DATA 	Keypress: 5
152.6157 	DATA 	Keypress: 5
153.0743 	DATA 	Keypress: 5
153.5250 	DATA 	Keypress: 5
153.9913 	DATA 	Keypress: 5
154.4405 	DATA 	Keypress: 5
154.8989 	DATA 	Keypress: 5
155.3578 	DATA 	Keypress: 5
155.8158 	DATA 	Keypress: 5
156.2742 	DATA 	Keypress: 5
156.7586 	DATA 	Keypress: 5
157.2152 	DATA 	Keypress: 5
157.6753 	DATA 	Keypress: 5
158.1243 	DATA 	Keypress: 5
158.5908 	DATA 	Keypress: 5
159.0417 	DATA 	Keypress: 5
159.4983 	DATA 	Keypress: 5
159.9573 	DATA 	Keypress: 5
160.4152 	DATA 	Keypress: 5
160.8748 	DATA 	Keypress: 5
161.3587 	DATA 	Keypress: 5
161.8156 	DATA 	Keypress: 5
162.2737 	DATA 	Keypress: 5
162.7243 	DATA 	Keypress: 5
163.1909 	DATA 	Keypress: 5
163.6413 	DATA 	Keypress: 5
164.0987 	DATA 	Keypress: 5
164.5574 	DATA 	Keypress: 5
165.0159 	DATA 	Keypress: 5
165.4751 	DATA 	Keypress: 5
165.9584 	DATA 	Keypress: 5
166.4151 	DATA 	Keypress: 5
166.8743 	DATA 	Keypress: 5
167.3248 	DATA 	Keypress: 5
167.7913 	DATA 	Keypress: 5
168.2408 	DATA 	Keypress: 5
168.6986 	DATA 	Keypress: 5
169.1579 	DATA 	Keypress: 5
169.6160 	DATA 	Keypress: 5
170.0745 	DATA 	Keypress: 5
170.5587 	DATA 	Keypress: 5
171.0151 	DATA 	Keypress: 5
171.4744 	DATA 	Keypress: 5
171.9247 	DATA 	Keypress: 5
172.3920 	DATA 	Keypress: 5
172.8411 	DATA 	Keypress: 5
173.2983 	DATA 	Keypress: 5
173.7578 	DATA 	Keypress: 5
174.2150 	DATA 	Keypress: 5
174.6746 	DATA 	Keypress: 5
175.1587 	DATA 	Keypress: 5
175.6152 	DATA 	Keypress: 5
176.0748 	DATA 	Keypress: 5
176.5251 	DATA 	Keypress: 5
176.9911 	DATA 	Keypress: 5
177.4417 	DATA 	Keypress: 5
177.8990 	DATA 	Keypress: 5
178.3575 	DATA 	Keypress: 5
178.8158 	DATA 	Keypress: 5
179.2743 	DATA 	Keypress: 5
179.7580 	DATA 	Keypress: 5
180.2156 	DATA 	Keypress: 5
180.6747 	DATA 	Keypress: 5
181.1240 	DATA 	Keypress: 5
181.5913 	DATA 	Keypress: 5
182.0409 	DATA 	Keypress: 5
182.4989 	DATA 	Keypress: 5
182.9579 	DATA 	Keypress: 5
183.4156 	DATA 	Keypress: 5
183.8748 	DATA 	Keypress: 5
184.3578 	DATA 	Keypress: 5
184.8159 	DATA 	Keypress: 5
185.2747 	DATA 	Keypress: 5
185.7250 	DATA 	Keypress: 5
186.1917 	DATA 	Keypress: 5
186.6417 	DATA 	Keypress: 5
187.0993 	DATA 	Keypress: 5
187.5580 	DATA 	Keypress: 5
188.0152 	DATA 	Keypress: 5
188.4752 	DATA 	Keypress: 5
188.9583 	DATA 	Keypress: 5
189.4157 	DATA 	Keypress: 5
189.8738 	DATA 	Keypress: 5
190.3245 	DATA 	Keypress: 5
190.7912 	DATA 	Keypress: 5
191.2417 	DATA 	Keypress: 5
191.6993 	DATA 	Keypress: 5
192.1581 	DATA 	Keypress: 5
192.6161 	DATA 	Keypress: 5
193.0757 	DATA 	Keypress: 5
193.5582 	DATA 	Keypress: 5
194.0161 	DATA 	Keypress: 5
194.4746 	DATA 	Keypress: 5
194.9250 	DATA 	Keypress: 5
195.3917 	DATA 	Keypress: 5
195.8414 	DATA 	Keypress: 5
196.2987 	DATA 	Keypress: 5
196.7591 	DATA 	Keypress: 5
197.2159 	DATA 	Keypress: 5
197.6756 	DATA 	Keypress: 5
198.1588 	DATA 	Keypress: 5
198.6155 	DATA 	Keypress: 5
199.0758 	DATA 	Keypress: 5
199.5250 	DATA 	Keypress: 5
199.9922 	DATA 	Keypress: 5
200.4410 	DATA 	Keypress: 5
200.8994 	DATA 	Keypress: 5
201.3574 	DATA 	Keypress: 5
201.8159 	DATA 	Keypress: 5
202.2753 	DATA 	Keypress: 5
202.7583 	DATA 	Keypress: 5
203.2162 	DATA 	Keypress: 5
203.6759 	DATA 	Keypress: 5
204.1245 	DATA 	Keypress: 5
204.5921 	DATA 	Keypress: 5
205.0418 	DATA 	Keypress: 5
205.4989 	DATA 	Keypress: 5
205.9583 	DATA 	Keypress: 5
206.4156 	DATA 	Keypress: 5
206.8751 	DATA 	Keypress: 5
207.3581 	DATA 	Keypress: 5
207.8154 	DATA 	Keypress: 5
208.2748 	DATA 	Keypress: 5
208.7245 	DATA 	Keypress: 5
209.1918 	DATA 	Keypress: 5
209.6419 	DATA 	Keypress: 5
210.0994 	DATA 	Keypress: 5
210.5588 	DATA 	Keypress: 5
211.0154 	DATA 	Keypress: 5
211.4754 	DATA 	Keypress: 5
211.9589 	DATA 	Keypress: 5
212.4161 	DATA 	Keypress: 5
212.8747 	DATA 	Keypress: 5
213.3249 	DATA 	Keypress: 5
213.7916 	DATA 	Keypress: 5
214.2411 	DATA 	Keypress: 5
214.6987 	DATA 	Keypress: 5
215.1590 	DATA 	Keypress: 5
215.6161 	DATA 	Keypress: 5
216.0751 	DATA 	Keypress: 5
216.5584 	DATA 	Keypress: 5
217.0161 	DATA 	Keypress: 5
217.4755 	DATA 	Keypress: 5
217.9256 	DATA 	Keypress: 5
218.3917 	DATA 	Keypress: 5
218.8417 	DATA 	Keypress: 5
219.2999 	DATA 	Keypress: 5
219.7588 	DATA 	Keypress: 5
220.2156 	DATA 	Keypress: 5
220.6750 	DATA 	Keypress: 5
221.1583 	DATA 	Keypress: 5
221.6162 	DATA 	Keypress: 5
222.0750 	DATA 	Keypress: 5
222.5252 	DATA 	Keypress: 5
222.9925 	DATA 	Keypress: 5
223.4413 	DATA 	Keypress: 5
223.8994 	DATA 	Keypress: 5
224.3582 	DATA 	Keypress: 5
224.8158 	DATA 	Keypress: 5
225.2745 	DATA 	Keypress: 5
225.7586 	DATA 	Keypress: 5
226.2163 	DATA 	Keypress: 5
226.6751 	DATA 	Keypress: 5
227.1247 	DATA 	Keypress: 5
227.5924 	DATA 	Keypress: 5
228.0422 	DATA 	Keypress: 5
228.4992 	DATA 	Keypress: 5
228.9582 	DATA 	Keypress: 5
229.4159 	DATA 	Keypress: 5
229.8756 	DATA 	Keypress: 5
230.3594 	DATA 	Keypress: 5
230.8161 	DATA 	Keypress: 5
231.2756 	DATA 	Keypress: 5
231.7252 	DATA 	Keypress: 5
232.1924 	DATA 	Keypress: 5
232.6408 	DATA 	Keypress: 5
233.0998 	DATA 	Keypress: 5
233.5578 	DATA 	Keypress: 5
234.0159 	DATA 	Keypress: 5
234.4748 	DATA 	Keypress: 5
234.9586 	DATA 	Keypress: 5
235.4161 	DATA 	Keypress: 5
235.8751 	DATA 	Keypress: 5
236.3256 	DATA 	Keypress: 5
236.7912 	DATA 	Keypress: 5
237.2421 	DATA 	Keypress: 5
237.6993 	DATA 	Keypress: 5
238.1591 	DATA 	Keypress: 5
238.6161 	DATA 	Keypress: 5
239.0750 	DATA 	Keypress: 5
239.5585 	DATA 	Keypress: 5
240.0164 	DATA 	Keypress: 5
240.4761 	DATA 	Keypress: 5
240.9249 	DATA 	Keypress: 5
241.3919 	DATA 	Keypress: 5
241.8418 	DATA 	Keypress: 5
242.2997 	DATA 	Keypress: 5
242.7587 	DATA 	Keypress: 5
243.2160 	DATA 	Keypress: 5
243.6752 	DATA 	Keypress: 5
244.1594 	DATA 	Keypress: 5
244.6160 	DATA 	Keypress: 5
245.0756 	DATA 	Keypress: 5
245.5256 	DATA 	Keypress: 5
245.9921 	DATA 	Keypress: 5
246.4423 	DATA 	Keypress: 5
246.8994 	DATA 	Keypress: 5
247.3588 	DATA 	Keypress: 5
247.8162 	DATA 	Keypress: 5
248.2755 	DATA 	Keypress: 5
248.7596 	DATA 	Keypress: 5
249.2158 	DATA 	Keypress: 5
249.6757 	DATA 	Keypress: 5
250.1257 	DATA 	Keypress: 5
250.5924 	DATA 	Keypress: 5
251.0422 	DATA 	Keypress: 5
251.4999 	DATA 	Keypress: 5
251.9586 	DATA 	Keypress: 5
252.4167 	DATA 	Keypress: 5
252.8748 	DATA 	Keypress: 5
253.3580 	DATA 	Keypress: 5
253.8164 	DATA 	Keypress: 5
254.2759 	DATA 	Keypress: 5
254.7251 	DATA 	Keypress: 5
255.1923 	DATA 	Keypress: 5
255.6423 	DATA 	Keypress: 5
256.0997 	DATA 	Keypress: 5
256.5585 	DATA 	Keypress: 5
257.0166 	DATA 	Keypress: 5
257.4756 	DATA 	Keypress: 5
257.9596 	DATA 	Keypress: 5
258.4163 	DATA 	Keypress: 5
258.8756 	DATA 	Keypress: 5
259.3247 	DATA 	Keypress: 5
259.7923 	DATA 	Keypress: 5
260.2415 	DATA 	Keypress: 5
260.6997 	DATA 	Keypress: 5
261.1587 	DATA 	Keypress: 5
261.6170 	DATA 	Keypress: 5
262.0757 	DATA 	Keypress: 5
262.5592 	DATA 	Keypress: 5
263.0159 	DATA 	Keypress: 5
263.4755 	DATA 	Keypress: 5
263.9255 	DATA 	Keypress: 5
264.3917 	DATA 	Keypress: 5
264.8425 	DATA 	Keypress: 5
265.2994 	DATA 	Keypress: 5
265.7588 	DATA 	Keypress: 5
266.2161 	DATA 	Keypress: 5
266.6758 	DATA 	Keypress: 5
267.1588 	DATA 	Keypress: 5
267.6160 	DATA 	Keypress: 5
268.0757 	DATA 	Keypress: 5
268.5260 	DATA 	Keypress: 5
268.9920 	DATA 	Keypress: 5
269.4422 	DATA 	Keypress: 5
269.9002 	DATA 	Keypress: 5
270.3590 	DATA 	Keypress: 5
270.8160 	DATA 	Keypress: 5
271.2757 	DATA 	Keypress: 5
271.7592 	DATA 	Keypress: 5
272.2165 	DATA 	Keypress: 5
272.6744 	DATA 	Keypress: 5
273.1256 	DATA 	Keypress: 5
273.5925 	DATA 	Keypress: 5
274.0423 	DATA 	Keypress: 5
274.4999 	DATA 	Keypress: 5
274.9593 	DATA 	Keypress: 5
275.4163 	DATA 	Keypress: 5
275.8749 	DATA 	Keypress: 5
276.3594 	DATA 	Keypress: 5
276.8164 	DATA 	Keypress: 5
277.2761 	DATA 	Keypress: 5
277.7255 	DATA 	Keypress: 5
278.1930 	DATA 	Keypress: 5
278.6428 	DATA 	Keypress: 5
279.0998 	DATA 	Keypress: 5
279.5585 	DATA 	Keypress: 5
280.0164 	DATA 	Keypress: 5
280.4754 	DATA 	Keypress: 5
280.9588 	DATA 	Keypress: 5
281.4168 	DATA 	Keypress: 5
281.8757 	DATA 	Keypress: 5
282.3260 	DATA 	Keypress: 5
282.7919 	DATA 	Keypress: 5
283.2428 	DATA 	Keypress: 5
283.7003 	DATA 	Keypress: 5
284.1583 	DATA 	Keypress: 5
284.6168 	DATA 	Keypress: 5
285.0751 	DATA 	Keypress: 5
285.5593 	DATA 	Keypress: 5
286.0169 	DATA 	Keypress: 5
286.4758 	DATA 	Keypress: 5
286.9264 	DATA 	Keypress: 5
287.3924 	DATA 	Keypress: 5
287.8419 	DATA 	Keypress: 5
288.2999 	DATA 	Keypress: 5
288.7590 	DATA 	Keypress: 5
289.2164 	DATA 	Keypress: 5
289.6760 	DATA 	Keypress: 5
290.1591 	DATA 	Keypress: 5
290.6165 	DATA 	Keypress: 5
291.0761 	DATA 	Keypress: 5
291.5260 	DATA 	Keypress: 5
291.9928 	DATA 	Keypress: 5
292.4427 	DATA 	Keypress: 5
292.8997 	DATA 	Keypress: 5
293.3594 	DATA 	Keypress: 5
293.8170 	DATA 	Keypress: 5
294.2760 	DATA 	Keypress: 5
294.7597 	DATA 	Keypress: 5
295.2169 	DATA 	Keypress: 5
295.6762 	DATA 	Keypress: 5
296.1266 	DATA 	Keypress: 5
296.5925 	DATA 	Keypress: 5
297.0425 	DATA 	Keypress: 5
297.4999 	DATA 	Keypress: 5
297.9598 	DATA 	Keypress: 5
298.4171 	DATA 	Keypress: 5
298.8761 	DATA 	Keypress: 5
299.3590 	DATA 	Keypress: 5
299.8162 	DATA 	Keypress: 5
300.2756 	DATA 	Keypress: 5
300.7261 	DATA 	Keypress: 5
301.1922 	DATA 	Keypress: 5
301.6430 	DATA 	Keypress: 5
302.1001 	DATA 	Keypress: 5
302.5588 	DATA 	Keypress: 5
303.0172 	DATA 	Keypress: 5
303.4757 	DATA 	Keypress: 5
303.9593 	DATA 	Keypress: 5
304.4173 	DATA 	Keypress: 5
304.8762 	DATA 	Keypress: 5
305.3263 	DATA 	Keypress: 5
305.7924 	DATA 	Keypress: 5
306.2423 	DATA 	Keypress: 5
306.6998 	DATA 	Keypress: 5
307.1591 	DATA 	Keypress: 5
307.6169 	DATA 	Keypress: 5
308.0764 	DATA 	Keypress: 5
308.5595 	DATA 	Keypress: 5
309.0171 	DATA 	Keypress: 5
309.4757 	DATA 	Keypress: 5
309.9253 	DATA 	Keypress: 5
310.3925 	DATA 	Keypress: 5
310.8425 	DATA 	Keypress: 5
311.2999 	DATA 	Keypress: 5
311.7595 	DATA 	Keypress: 5
312.2164 	DATA 	Keypress: 5
312.6761 	DATA 	Keypress: 5
313.1595 	DATA 	Keypress: 5
313.6172 	DATA 	Keypress: 5
314.0754 	DATA 	Keypress: 5
314.5266 	DATA 	Keypress: 5
314.9925 	DATA 	Keypress: 5
315.4417 	DATA 	Keypress: 5
315.8998 	DATA 	Keypress: 5
316.3589 	DATA 	Keypress: 5
316.8170 	DATA 	Keypress: 5
317.2766 	DATA 	Keypress: 5
317.7595 	DATA 	Keypress: 5
318.2164 	DATA 	Keypress: 5
318.6761 	DATA 	Keypress: 5
319.1253 	DATA 	Keypress: 5
319.5926 	DATA 	Keypress: 5
320.0424 	DATA 	Keypress: 5
320.5004 	DATA 	Keypress: 5
320.9592 	DATA 	Keypress: 5
321.4173 	DATA 	Keypress: 5
321.8762 	DATA 	Keypress: 5
322.3596 	DATA 	Keypress: 5
322.8173 	DATA 	Keypress: 5
323.2761 	DATA 	Keypress: 5
323.7263 	DATA 	Keypress: 5
324.1931 	DATA 	Keypress: 5
324.6424 	DATA 	Keypress: 5
325.1007 	DATA 	Keypress: 5
325.5591 	DATA 	Keypress: 5
326.0165 	DATA 	Keypress: 5
326.4758 	DATA 	Keypress: 5
326.9588 	DATA 	Keypress: 5
327.4170 	DATA 	Keypress: 5
327.8755 	DATA 	Keypress: 5
328.3261 	DATA 	Keypress: 5
328.7932 	DATA 	Keypress: 5
329.2430 	DATA 	Keypress: 5
329.7000 	DATA 	Keypress: 5
330.1598 	DATA 	Keypress: 5
330.6165 	DATA 	Keypress: 5
331.0763 	DATA 	Keypress: 5
331.5591 	DATA 	Keypress: 5
332.0166 	DATA 	Keypress: 5
332.4756 	DATA 	Keypress: 5
332.9257 	DATA 	Keypress: 5
333.3923 	DATA 	Keypress: 5
333.8428 	DATA 	Keypress: 5
334.3002 	DATA 	Keypress: 5
334.7593 	DATA 	Keypress: 5
335.2172 	DATA 	Keypress: 5
335.6765 	DATA 	Keypress: 5
336.1599 	DATA 	Keypress: 5
336.6172 	DATA 	Keypress: 5
337.0762 	DATA 	Keypress: 5
337.5254 	DATA 	Keypress: 5
337.9924 	DATA 	Keypress: 5
338.4429 	DATA 	Keypress: 5
338.9005 	DATA 	Keypress: 5
339.3597 	DATA 	Keypress: 5
339.8166 	DATA 	Keypress: 5
340.2767 	DATA 	Keypress: 5
340.7596 	DATA 	Keypress: 5
341.2172 	DATA 	Keypress: 5
341.6770 	DATA 	Keypress: 5
342.1264 	DATA 	Keypress: 5
342.5935 	DATA 	Keypress: 5
343.0434 	DATA 	Keypress: 5
343.5001 	DATA 	Keypress: 5
343.9598 	DATA 	Keypress: 5
344.4166 	DATA 	Keypress: 5
344.8763 	DATA 	Keypress: 5
345.3599 	DATA 	Keypress: 5
345.8173 	DATA 	Keypress: 5
346.2769 	DATA 	Keypress: 5
346.7265 	DATA 	Keypress: 5
347.1935 	DATA 	Keypress: 5
347.6426 	DATA 	Keypress: 5
348.1002 	DATA 	Keypress: 5
348.5594 	DATA 	Keypress: 5
349.0175 	DATA 	Keypress: 5
349.4762 	DATA 	Keypress: 5
349.9595 	DATA 	Keypress: 5
350.4172 	DATA 	Keypress: 5
350.8755 	DATA 	Keypress: 5
351.3263 	DATA 	Keypress: 5
351.7930 	DATA 	Keypress: 5
352.2434 	DATA 	Keypress: 5
352.7001 	DATA 	Keypress: 5
353.1592 	DATA 	Keypress: 5
353.6175 	DATA 	Keypress: 5
354.0768 	DATA 	Keypress: 5
354.5599 	DATA 	Keypress: 5
355.0174 	DATA 	Keypress: 5
355.4767 	DATA 	Keypress: 5
355.9269 	DATA 	Keypress: 5
356.3930 	DATA 	Keypress: 5
356.8429 	DATA 	Keypress: 5
