	repetition	confirm_time	body_site	stim_temp	calibration_onset	calibration_jitter	calibration_duration	heat_onset	heat_jitter	heat_duration	hot_temp	valence_rating	intensity_rating
0	1	1028.528824500041	Chest	44.5	1035.948509000009	1	31	1072.2354230000637	1	14.470477947266772	47.5	-35	32
1	1	1165.9529999000952	Right Arm	32.5	1172.8480310000014	3	8	1184.7134090999607	0	14.548509197542444	36.0	-22	23
2	1	1235.9261690999847	Left Arm	34.0	1240.798013899941	3	9	1255.1710985999089	2	14.981718947179615	36.5	-18	17
3	1	1341.814551099902	Abdomen	33.5	1360.1474498999305	0	11	1376.3563347999007	1	14.627459047129378	37.5	-19	21
4	1	1436.2418162999675	Left Face	33.0	1441.4661407000385	3	15	1461.289756800048	1	14.508468796964735	39.5	-20	20
5	1	1528.0551086999476	Left Leg	35.0	1532.0466972999275	2	21	1560.4647351999301	3	14.458691846812144	42.5	-22	24
6	1	1628.2053020000458	Right Leg	32.0	1635.6796818999574	2	11	1653.4418138999026	3	14.506499097216874	37.5	-22	28
7	1	1692.4357141000219	Right Face	33.5	1694.3795545999892	1	24	1725.5664816000499	3	14.852486846735701	44.0	-21	23
8	2	1781.2979409000836	Right Leg	33.0	1783.4292721000966	0	15	1802.2259317000862	0	14.635797447292134	39.5	-18	18
9	2	1846.2719203999732	Right Arm	34.5	1849.4123984999023	2	16	1872.0469579999335	2	14.393080147216097	40.0	-21	19
10	2	1918.0670886000153	Chest	33.0	1922.095201200107	1	13	1942.3461118999403	3	14.510899947024882	38.5	-23	20
11	2	1987.5595663001295	Left Face	33.0	1992.8782772000413	3	10	2007.0654778999742	0	14.555792597355321	37.0	-22	20
12	2	2041.3778111999854	Left Arm	34.0	2041.8322076001205	0	11	2057.7806645999663	1	14.389838846866041	37.5	-28	23
13	2	2096.3881355000194	Right Face	33.5	2098.828096699901	1	19	2122.56841060007	1	14.400216497015208	41.5	-24	24
14	2	2165.6934493000153	Left Leg	36.5	2169.827654399909	2	22	2197.8194099999964	2	14.444645697018132	43.0	-26	23
15	2	2244.8334594999906	Abdomen	33.0	2248.027320699999	0	13	2267.21816950012	2	14.32878339686431	38.5	-26	24
16	3	2417.0535450000316	Abdomen	33.5	2421.0100664999336	3	16	2441.446597900009	0	14.921706397319213	40.0	-24	21
17	3	2476.0730787001085	Left Arm	32.5	2478.6431752000935	2	12	2495.8824382000603	2	14.582539497641847	38.0	-15	22
18	3	2559.192442599917	Chest	33.0	2562.1429115000647	2	14	2581.0515304000583	1	14.460476947249845	39.0	-31	30
19	3	2625.345324400114	Left Leg	38.0	2628.425862800097	2	20	2654.8327258999925	3	14.564610197208822	42.0	-32	31
20	3	2690.2760884000454	Right Face	32.0	2694.0759463000577	3	15	2713.131882699905	0	14.449261646950617	39.5	-32	31
21	3	2766.3745150000323	Right Leg	32.5	2772.15865950007	0	12	2791.277045200113	3	14.47664364730008	38.0	-32	30
22	3	2854.0257778000087	Right Arm	34.0	2894.724683899898	3	16	2915.0210957000963	0	14.451005446957424	40.0	-29	29
23	3	2949.896749400068	Left Face	33.0	2953.141533799935	0	15	2971.9584796999115	0	14.409815147286281	39.5	-28	27
24	4	3021.6979950999375	Right Arm	32.0	3026.992862300016	3	9	3041.497025999939	2	14.583044097060338	36.5	-32	31
25	4	3081.3520160999615	Right Face	33.5	3084.2575874999166	2	16	3105.337968799984	1	14.667043097084388	40.0	-28	29
26	4	3146.934357000049	Right Leg	33.0	3150.7073564999737	3	16	3173.0001910999417	2	14.374136096797884	40.0	-29	30
27	4	3212.652847300051	Left Leg	38.5	3222.1236835001037	1	24	3251.748042399995	2	14.462985746562481	44.0	-30	29
28	4	3291.1430935000535	Chest	38.0	3292.8735531999264	1	19	3318.1414298000745	2	14.408707547234371	41.5	-32	31
29	4	3354.1308673000894	Left Arm	32.5	3357.223300999962	2	7	3369.5090785999782	1	14.404967196751386	35.5	-32	30
30	4	3404.0104116001166	Abdomen	33.5	3406.4897640999407	1	15	3429.0126374999527	3	14.415312197059393	39.5	-22	30
31	4	3465.2625869999174	Left Face	32.5	3469.8060023	2	15	3490.291217500111	1	14.441651396919042	39.5	-32	31
