	onset	duration	rt	response	correct	attempt	condition
0	458.9674444999546	1.9891618200344965			1.0	0.0	2back
1	460.9674847999122	2.0050667600007728			1.0	0.0	2back
2	462.9841425999766	2.0072005599504337			0.0	0.0	2back
3	465.0008253999986	2.007424459909089			0.0	0.0	2back
4	467.0175022999756	2.007318160030991			0.0	0.0	2back
5	469.03420679992996	2.0071496600285172			0.0	0.0	2back
6	471.050883699907	2.007241460029036			0.0	0.0	2back
7	473.0675895999884	2.007402259972878			0.0	0.0	2back
8	475.08425979991443	2.0074488599784672			0.0	0.0	2back
9	477.1009425999364	2.007411160040647			0.0	0.0	2back
10	479.11762429994997	2.0069285599747673			0.0	0.0	2back
11	481.134299099911	2.0072584599256516			0.0	0.0	2back
12	483.15099869994447	2.007439459906891			0.0	0.0	2back
13	485.1676858999999	2.007232159958221			0.0	0.0	2back
14	487.18433869990986	2.0074769598431885			0.0	0.0	2back
15	489.20103559992276	2.007358559872955			0.0	0.0	2back
16	491.2177227999782	2.0074153599562123			0.0	0.0	2back
17	493.2343834999483	2.0072418599156663			0.0	0.0	2back
18	495.25109319994226	2.0070379599928856			0.0	0.0	2back
19	497.26775190001354	2.0073273598682135			0.0	0.0	2back
20	499.2843981999904	2.0071349600329995			0.0	0.0	2back
21	501.30114949995186	2.0074066598899662			0.0	0.0	2back
22	503.31783169996925	2.0072069599991664			0.0	0.0	2back
23	505.3345216999296	2.0074019599705935			0.0	0.0	2back
24	507.35119469999336	2.0072516599902883			0.0	0.0	2back
25	509.36786809994373	2.0066722598858178			0.0	0.0	2back
26	511.3845729000168	2.007223560125567			0.0	0.0	2back
27	513.4011179999216	2.0073903599986807			0.0	0.0	2back
28	515.4179036999121	2.0072009599534795			0.0	0.0	2back
29	517.4346082999837	2.0072128599276766			0.0	0.0	2back
30	score: 	100.0					
