	onset	duration	phase	condition
0	2.8365811998955905	1.5000227999407798	cue	Left Leg
1	4.33660399983637	16.494468281511217	movement	Left Leg
2	20.879049099981785	1.483122100122273	cue	Right Face
3	22.362171200104058	16.51580286002718	movement	Right Face
4	38.864531399914995	18.011639890260994	rest	Rest
5	56.906171299982816	1.483324799919501	cue	Right Leg
6	58.38949609990232	16.512077470310032	movement	Right Leg
7	74.89725969987921	18.01359619013965	rest	Rest
8	92.94579729996622	1.466669199988246	cue	Chest
9	94.41246649995446	16.516843060264364	movement	Chest
10	110.96303949994035	1.4666728000156581	cue	Abdomen
11	112.42971229995601	16.51601926004514	movement	Abdomen
12	128.9312876998447	18.013225590111688	rest	Rest
13	146.99113859981298	1.483128799824044	cue	Left Arm
14	148.47426739963703	16.510754060233012	movement	Left Arm
15	165.02585590002127	1.4833356000017375	cue	Left Face
16	166.509191500023	16.508087769849226	movement	Left Face
17	183.01505409996025	18.0133574900683	rest	Rest
18	201.06880939984694	1.4830302000045776	cue	Right Arm
19	202.55183959985152	16.50655486015603	movement	Right Arm
20	219.09368639998138	1.4833241000305861	cue	Abdomen
21	220.57701050001197	16.506865669973195	movement	Abdomen
22	237.08339569997042	18.011108090169728	rest	Rest
23	255.12834729999304	1.4830541999544948	cue	Right Face
24	256.61140149994753	16.50517076998949	movement	Right Face
25	273.1593690000009	1.4833301999606192	cue	Left Leg
26	274.6426991999615	16.509896270232275	movement	Left Leg
27	291.15005469997413	18.012198789976537	rest	Rest
28	309.20057889982127	1.4831177999731153	cue	Right Arm
29	310.6836966997944	16.511707960162312	movement	Right Arm
30	327.2398417999502	1.4664519999641925	cue	Left Arm
31	328.7062937999144	16.516877860296518	movement	Left Arm
32	345.2169859998394	18.012784690130502	rest	Rest
33	363.2605716998223	1.483069600071758	cue	Left Face
34	364.7436412998941	16.509550069924444	movement	Left Face
35	381.25113019999117	18.011829589959234	rest	Rest
36	399.2926961998455	1.4830248998478055	cue	Right Leg
37	400.7757210996933	16.51272297021933	movement	Right Leg
38	417.3300441999454	1.483346600085497	cue	Chest
39	418.8133908000309	16.504705070052296	movement	Chest
40	Condition Order: 	['Left Leg', 'Right Face', 'Rest', 'Right Leg', 'Rest', 'Chest', 'Abdomen', 'Rest', 'Left Arm', 'Left Face', 'Rest', 'Right Arm', 'Abdomen', 'Rest', 'Right Face', 'Left Leg', 'Rest', 'Right Arm', 'Left Arm', 'Rest', 'Left Face', 'Rest', 'Right Leg', 'Chest']		
