square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,,,,,1445.731460000039,None,1446.7647983999923,None,1446.7647983999923,1447.7815037999535,1447.7648882999783,None,0,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1446.7647983999923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",1,0,1,1,1,,,,,,,1448.7481814000057,None,1448.7481814000057,1449.7481663000071,1449.7314855000004,1450.7314936999464,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1448.7481814000057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
2,"[0, 0.2]",0,0,2,2,2,,,,,,,1450.7481698000338,None,1450.7481698000338,1451.764827899984,1451.7485245999414,None,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1450.7481698000338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
9,"[0.2, -0.2]",0,0,3,3,3,,,,,,,1452.748184200027,None,1452.748184200027,1453.7481789999874,1453.7315370999277,1454.7315304999938,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1452.748184200027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
9,"[0.2, -0.2]",1,0,4,4,4,,,,,,,1454.7482099999906,None,1454.7482099999906,1455.748206899967,1455.7315519000404,1456.7315454999916,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1454.7482099999906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",0,0,5,5,5,,,,,,,1456.7482027999358,None,1456.7482027999358,1457.7482293000212,1457.731557699968,1458.7315745999804,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1456.7482027999358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
4,"[-0.2, 0]",0,0,6,6,6,,,,,,,1458.7482182999374,None,1458.7482182999374,1459.7482313000364,1459.7315671000397,1460.7315712999552,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1458.7482182999374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
3,"[0.2, 0.2]",0,0,7,7,7,,,,,,,1460.7482576000039,None,1460.7482576000039,1461.748227700009,1461.7315836999333,1462.7315722999629,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1460.7482576000039,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
3,"[0.2, 0.2]",1,0,8,8,8,,,,,,,1462.7482498999452,None,1462.7482498999452,1463.7482973999577,1463.73154790001,1464.731590099982,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1462.7482498999452,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
8,"[0, -0.2]",0,0,9,9,9,,,,,,,1464.7482565999962,None,1464.7482565999962,1465.748275400023,1465.7316185999662,1466.7316141999327,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1464.7482565999962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",0,0,10,10,10,,,,,,,1466.7482877000002,None,1466.7482877000002,1467.748285299982,1467.7316197999753,1468.7316385000013,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1466.7482877000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
2,"[0, 0.2]",0,0,11,11,11,,,,,,,1468.748292000033,None,1468.748292000033,1469.7483102999395,1469.7316357999807,1470.7316324999556,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1468.748292000033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
4,"[-0.2, 0]",0,0,12,12,12,,,,,,,1470.7483126999578,None,1470.7483126999578,1471.7483331999974,1471.7316453999374,1472.731662199949,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1470.7483126999578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
4,"[-0.2, 0]",1,0,13,13,13,,,,,,,1472.7483271999517,None,1472.7483271999517,1473.7483267999487,1473.7316549000097,1474.731671800022,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1472.7483271999517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
8,"[0, -0.2]",0,0,14,14,14,,,,,,,1474.7483310999814,None,1474.7483310999814,1475.7482788999332,1475.731677899952,1476.7316858000122,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1474.7483310999814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
5,"[0, 0]",0,0,15,15,15,,,,,,,1476.748354799929,None,1476.748354799929,1477.7483570999466,1477.7317369999364,1478.7316847000038,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1476.748354799929,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
5,"[0, 0]",1,0,16,16,16,,,,,,,1478.7483699999284,None,1478.7483699999284,1479.7483763999771,1479.7316966999788,1480.7316981999902,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1478.7483699999284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",0,0,17,17,17,,,,,,,1480.7483817000175,None,1480.7483817000175,1481.7483757999726,1481.7317040000344,1482.7317193000345,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1480.7483817000175,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
3,"[0.2, 0.2]",0,0,18,18,18,,,,,,,1482.748398500029,None,1482.748398500029,1483.748392599984,1483.7317355999257,1484.7317273999797,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1482.748398500029,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",0,0,19,19,19,,,,,,,1484.7483973000199,None,1484.7483973000199,1485.7484193999553,1485.731749700033,1486.731745600002,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1484.7483973000199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",0,0,20,20,20,,,,,,,1486.7484202999622,None,1486.7484202999622,1487.748424999998,1487.7317688999465,1488.731738399947,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1486.7484202999622,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",1,0,21,21,21,,,,,,,1488.7484421000117,None,1488.7484421000117,1489.748358999961,1489.7317641000263,1490.73177199997,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1488.7484421000117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",1,0,22,22,22,,,,,,,1490.7484608000377,None,1490.7484608000377,1491.74845980003,1491.731782299932,1492.7317903999938,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1490.7484608000377,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
3,"[0.2, 0.2]",0,0,23,23,23,,,,,,,1492.7484628999373,None,1492.7484628999373,1493.748488000012,1493.731803999981,1494.7318006999558,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1492.7484628999373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
2,"[0, 0.2]",0,0,24,24,24,,,,,,,1494.7484792999458,None,1494.7484792999458,1495.748477499932,1495.7318072000053,1496.7318230000092,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1494.7484792999458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",0,0,25,25,25,,,,,,,1496.748505000025,None,1496.748505000025,1497.7485031000106,1497.7318228000076,1498.7318311999552,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1496.748505000025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",0,0,26,26,26,,,,,,,1498.7485107999528,None,1498.7485107999528,1499.7485313999932,1499.7318494999781,1500.7317751999944,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1498.7485107999528,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",1,0,27,27,27,,,,,,,1500.748525199946,None,1500.748525199946,1501.7485266999574,1501.7318369999994,1502.7318684000056,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1500.748525199946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
2,"[0, 0.2]",0,0,28,28,28,,,,,,,1502.7485389999347,None,1502.7485389999347,1503.7485483000055,1503.7318705000216,1504.7318802999798,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1502.7485389999347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",0,0,29,29,29,,,,,,,1504.748555499944,None,1504.748555499944,1505.748570399941,1505.7318715000292,1506.7319019000279,1,-0.45092592592592595,-0.49074074074074076,"[0, 0, 0]",0,0,1504.748555499944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
,,,,,,,,,,,,,,,,,,,,,,,,,,,1506.7651949999854,None,space,1506.7651949999854,None,,,,,,,,,,,,,,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",None,,,,,0,0,0,0,1524.4153632000089,None,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1525.4319310999708,None,1525.4319310999708,1526.432036299957,1526.4153760999907,1527.4153709999518,"[0, 0, 0]",0,1525.4319310999708,None,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",None,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1527.4320452000247,1529.4320443000179,1527.4320452000247,1528.4320588000119,1528.415392099996,1529.4153984999284,"[0, 0, 0]",0,1527.4320452000247,1529.4320443000179,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",1,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1529.4487289999379,1531.4487409000285,1529.4487289999379,1530.4487118000397,1530.4320588000119,1531.4320726000005,"[0, 0, 0]",1,1529.4487289999379,1531.4487409000285,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
2,"[0, 0.2]",0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1531.4654075999279,1533.465414699982,1531.4654075999279,1532.4824410999427,1532.4487375000026,1533.4487578000408,"[0, 0, 0]",1,1531.4654075999279,1533.465414699982,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
5,"[0, 0]",0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1533.4820762999589,1535.4821023000404,1533.4820762999589,1534.4820997000206,1534.4654217000352,1535.4654341000132,"[0, 0, 0]",1,1533.4820762999589,1535.4821023000404,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
4,"[-0.2, 0]",0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1535.4987757999916,1537.4987769,1535.4987757999916,1536.4987690999405,1536.4821655999403,1537.482118899934,"[0, 0, 0]",1,1535.4987757999916,1537.4987769,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
4,"[-0.2, 0]",0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1537.5154410999967,1539.5154698999831,1537.5154410999967,1538.515460100025,1538.4987849999452,1539.4987988999346,"[0, 0, 0]",1,1537.5154410999967,1539.5154698999831,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1539.5321452999488,1541.5321461999556,1539.5321452999488,1540.5321587999351,1540.5154612000333,1541.5154875000007,"[0, 0, 0]",1,1539.5321452999488,1541.5321461999556,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
4,"[-0.2, 0]",1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1541.5488112999592,1543.5488252999494,1541.5488112999592,1542.5488140999805,1542.5321647999808,1543.5321664999938,"[0, 0, 0]",1,1541.5488112999592,1543.5488252999494,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
3,"[0.2, 0.2]",0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1543.5654628999764,1545.5655148000224,1543.5654628999764,1544.5655046999454,1544.5488002999919,1545.5488358000293,"[0, 0, 0]",1,1543.5654628999764,1545.5655148000224,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
5,"[0, 0]",0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1545.5821763999993,1547.5821008000057,1545.5821763999993,1546.5821887999773,1546.5655173999257,1547.5655161000323,"[0, 0, 0]",1,1545.5821763999993,1547.5821008000057,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
3,"[0.2, 0.2]",1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1547.598855499993,1549.5988705999916,1547.598855499993,1548.5988639999414,1548.582189799985,1549.5822077000048,"[0, 0, 0]",1,1547.598855499993,1549.5988705999916,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1549.6155283999396,1551.615555300028,1549.6155283999396,1550.615548199974,1550.5988856999902,1551.5988722000038,"[0, 0, 0]",1,1549.6155283999396,1551.615555300028,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
9,"[0.2, -0.2]",0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1551.6321323999437,1553.6322342000203,1551.6321323999437,1552.6322219999274,1552.6155491999816,1553.61558829993,"[0, 0, 0]",1,1551.6321323999437,1553.6322342000203,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
9,"[0.2, -0.2]",0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1553.648905399954,1555.6488942999858,1553.648905399954,1554.6489128000103,1554.632242099964,1555.632254099939,"[0, 0, 0]",1,1553.648905399954,1555.6488942999858,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
8,"[0, -0.2]",0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1555.6655922000064,1557.6655908999965,1555.6655922000064,1556.665588599979,1556.6489175999304,1557.648926199996,"[0, 0, 0]",1,1555.6655922000064,1557.6655908999965,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1557.6822647999506,1559.6822648999514,1557.6822647999506,1558.6822748000268,1558.665596500039,1559.6656199999852,"[0, 0, 0]",1,1557.6822647999506,1559.6822648999514,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
3,"[0.2, 0.2]",0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1559.6989339999855,1561.6989543000236,1559.6989339999855,1560.698954600026,1560.6822882000124,1561.6822934999363,"[0, 0, 0]",1,1559.6989339999855,1561.6989543000236,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1561.7156286999816,1563.7156337000197,1561.7156286999816,1562.7156245999504,1562.6989496999886,1563.698961899965,"[0, 0, 0]",1,1561.7156286999816,1563.7156337000197,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
5,"[0, 0]",0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1563.732302499935,1565.7322230000282,1563.732302499935,1564.7323007000377,1564.7156202000333,1565.7156426999718,"[0, 0, 0]",1,1563.732302499935,1565.7322230000282,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1565.7489908999996,1567.7489923000103,1565.7489908999996,1566.7489849999547,1566.7323280000128,1567.7323234999785,"[0, 0, 0]",1,1565.7489908999996,1567.7489923000103,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
5,"[0, 0]",1,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1567.765652299975,1569.7656839999836,1567.765652299975,1568.7656725000124,1568.7490145999473,1569.7490049999906,"[0, 0, 0]",1,1567.765652299975,1569.7656839999836,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1569.7822875999846,1571.7823551000329,1569.7822875999846,1570.7823613999644,1570.765694099944,1571.765688000014,"[0, 0, 0]",1,1569.7822875999846,1571.7823551000329,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1571.7990340000251,1573.7990488000214,1571.7990340000251,1572.7990366999293,1572.7823792999843,1573.7823778999737,"[0, 0, 0]",1,1571.7990340000251,1573.7990488000214,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
9,"[0.2, -0.2]",0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1573.815716199926,1575.8157151000341,1573.815716199926,1574.8157082999824,1574.7990561999613,1575.7990580999758,"[0, 0, 0]",1,1573.815716199926,1575.8157151000341,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
3,"[0.2, 0.2]",0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1575.832396499929,1577.8324272999307,1575.832396499929,1576.8324037999846,1576.8157244999893,1577.8157304000342,"[0, 0, 0]",1,1575.832396499929,1577.8324272999307,,,,,,,,,,,,,5,m,2,15,r,CIB,2021_Oct_12_1447,2020.2.10,distractmap2,59.99134925140597,"['Right Face', 'Chest', 'Left Leg', 'Left Face']",
