square,location,corrAns,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
3,"[0.2, 0.2]",None,0,0,0,0,0,18,18,18,,,,,,,,,None,None,0,59.50412600001437,None,59.50412600001437,60.50453380000545,60.487859000015305,61.488403199997265,0,0,59.50412600001437,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",None,0,0,0,0,0,19,19,19,,,,,,,,,None,None,0,61.50512170000002,None,61.50512170000002,62.50544550002087,62.488781899999594,63.489268800010905,0,0,61.50512170000002,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
3,"[0.2, 0.2]",1,0,0,0,0,0,20,20,20,,,,,,,,,None,None,0,63.506202000018675,None,63.506202000018675,64.51214200002141,64.49308159999782,None,0,1,63.506202000018675,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
4,"[-0.2, 0]",None,0,0,0,0,0,21,21,21,,,,,,,,,None,None,0,65.49047710001469,None,65.49047710001469,66.49089070002083,66.47409050000715,67.4787050000159,0,1,65.49047710001469,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
7,"[-0.2, -0.2]",None,0,0,0,0,0,22,22,22,,,,,,,,,None,None,0,67.49437390000094,None,67.49437390000094,68.5084693999961,68.4750047000125,69.47580060001928,0,1,67.49437390000094,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
4,"[-0.2, 0]",1,0,0,0,0,0,23,23,23,,,,,,,,,None,None,0,69.49227220000466,None,69.49227220000466,70.49262659999658,70.47632899999735,71.47641930001555,0,0,69.49227220000466,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
4,"[-0.2, 0]",None,0,0,0,0,0,24,24,24,,,,,,,,,None,None,0,71.49325530001079,None,71.49325530001079,72.49375960000907,72.47682350000832,73.48075879999669,0,1,71.49325530001079,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",None,0,0,0,0,0,25,25,25,,,,,,,,,None,None,0,73.49895460001426,None,73.49895460001426,74.51134950001142,74.47896720000426,75.4833013000025,0,1,73.49895460001426,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
2,"[0, 0.2]",None,0,0,0,0,0,26,26,26,,,,,,,,,None,None,0,75.49917860000278,None,75.49917860000278,76.51217420000467,76.47878830000991,77.48086350000813,0,1,75.49917860000278,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
6,"[0.2, 0]",None,0,0,0,0,0,27,27,27,,,,,,,,,None,None,0,77.49831200001063,None,77.49831200001063,78.5140791000158,78.48023250000551,79.48258340000757,0,1,77.49831200001063,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
7,"[-0.2, -0.2]",None,0,0,0,0,0,28,28,28,,,,,,,,,None,None,0,79.50235759999487,None,79.50235759999487,80.51481370002148,80.48444990001735,None,0,1,79.50235759999487,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
6,"[0.2, 0]",1,0,0,0,0,0,29,29,29,,,,,,,,,None,None,0,81.49894119999954,None,81.49894119999954,82.49827229999937,82.48159770001075,83.48646580000059,0,0,81.49894119999954,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
6,"[0.2, 0]",None,0,0,0,0,0,30,30,30,,,,,,,,,None,None,0,83.50169540001662,None,83.50169540001662,84.51982159999898,84.48272080000606,85.48302960000001,0,1,83.50169540001662,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
7,"[-0.2, -0.2]",None,0,0,0,0,0,31,31,31,,,,,,,,,None,None,0,85.49982850000379,None,85.49982850000379,86.50008670001989,86.48347700000159,87.48389400000451,0,1,85.49982850000379,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
6,"[0.2, 0]",1,0,0,0,0,0,32,32,32,,,,,,,,,None,None,0,87.50060780000058,None,87.50060780000058,88.50254340001266,88.4852138000133,89.48939080000855,0,0,87.50060780000058,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
2,"[0, 0.2]",None,0,0,0,0,0,33,33,33,,,,,,,,,None,None,0,89.5046563000069,None,89.5046563000069,90.51928219999536,90.48596170000383,91.48589660000289,0,1,89.5046563000069,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",None,0,0,0,0,0,34,34,34,,,,,,,,,None,None,0,91.50393920001807,None,91.50393920001807,92.50556059999508,92.48920010001166,None,0,1,91.50393920001807,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
4,"[-0.2, 0]",None,0,0,0,0,0,35,35,35,,,,,,,,,None,None,0,93.50346649999847,None,93.50346649999847,94.50603280001087,94.490080699994,None,0,1,93.50346649999847,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
4,"[-0.2, 0]",None,0,0,0,0,0,36,36,36,,,,,,,,,None,None,0,95.50516140001127,None,95.50516140001127,96.5068780000147,96.49079030001303,None,0,1,95.50516140001127,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
7,"[-0.2, -0.2]",None,0,0,0,0,0,37,37,37,,,,,,,,,None,None,0,97.50546750001376,None,97.50546750001376,98.50782470000559,98.49177090000012,None,0,1,97.50546750001376,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
4,"[-0.2, 0]",1,0,0,0,0,0,38,38,38,,,,,,,,,None,None,0,99.50620200001867,None,99.50620200001867,100.50685700000031,100.49002980001387,101.49056480001309,0,0,99.50620200001867,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
3,"[0.2, 0.2]",None,0,0,0,0,0,39,39,39,,,,,,,,,None,None,0,101.50725460000103,None,101.50725460000103,102.50810659999843,102.4913050000032,None,0,1,101.50725460000103,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",None,0,0,0,0,0,40,40,40,,,,,,,,,None,None,0,103.49147609999636,None,103.49147609999636,104.49222680000821,104.47546479999437,105.47578470001463,0,1,103.49147609999636,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
3,"[0.2, 0.2]",1,0,0,0,0,0,41,41,41,,,,,,,,,None,None,0,105.49244610001915,None,105.49244610001915,106.49293410000973,106.4763174999971,107.48171320001711,0,0,105.49244610001915,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
1,"[-0.2, 0.2]",None,0,0,0,0,0,42,42,42,,,,,,,,,None,None,0,107.49383940000553,None,107.49383940000553,108.49402129999362,108.47717709999415,109.47767409999506,0,1,107.49383940000553,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
9,"[0.2, -0.2]",None,0,0,0,0,0,43,43,43,,,,,,,,,None,None,0,109.49431559999357,None,109.49431559999357,110.49477310001384,110.47817440002109,111.47873550001532,0,1,109.49431559999357,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
