square,location,corrAns,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
2,"[0, 0.2]",None,0,0,0,0,0,86,86,86,,,,,,,,,None,None,0,195.50892439999734,None,195.50892439999734,196.536954900017,196.48891830001958,197.48746299999766,0,1,195.50892439999734,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
6,"[0.2, 0]",None,0,0,0,0,0,87,87,87,,,,,,,,,None,None,0,197.5054272999987,None,197.5054272999987,198.50470230000792,198.48787380001158,199.48664010001812,0,1,197.5054272999987,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
7,"[-0.2, -0.2]",None,0,0,0,0,0,88,88,88,,,,,,,,,None,None,0,199.5033712000004,None,199.5033712000004,200.50959090000833,200.48802439999417,201.48756480001612,0,1,199.5033712000004,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
6,"[0.2, 0]",1,0,0,0,0,0,89,89,89,,,,,,,,,None,None,0,201.50418640000862,None,201.50418640000862,202.51095440000063,202.492250100011,None,0,0,201.50418640000862,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
6,"[0.2, 0]",None,0,0,0,0,0,90,90,90,,,,,,,,,None,None,0,203.50516250001965,None,203.50516250001965,204.51107989999582,204.49406319999252,None,0,1,203.50516250001965,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
7,"[-0.2, -0.2]",None,0,0,0,0,0,91,91,91,,,,,,,,,None,None,0,205.5073807000008,None,205.5073807000008,206.50649280002108,206.47313940001186,207.47396629999275,0,1,205.5073807000008,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
6,"[0.2, 0]",1,0,0,0,0,0,92,92,92,,,,,,,,,None,None,0,207.49027589999605,None,207.49027589999605,208.49073049999424,208.4740953000146,209.47444980000728,0,0,207.49027589999605,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
2,"[0, 0.2]",None,0,0,0,0,0,93,93,93,,,,,,,,,None,None,0,209.49108440001146,None,209.49108440001146,210.4921821000171,210.47503000000142,211.47549650000292,0,1,209.49108440001146,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",None,0,0,0,0,0,94,94,94,,,,,,,,,None,None,0,211.49210410000524,None,211.49210410000524,212.4927060000191,212.47606050001923,213.47645260000718,0,1,211.49210410000524,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
4,"[-0.2, 0]",None,0,0,0,0,0,95,95,95,,,,,,,,,None,None,0,213.49345800001174,None,213.49345800001174,214.49350430001505,214.47714659999474,215.47731580000254,0,1,213.49345800001174,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
4,"[-0.2, 0]",None,0,0,0,0,0,96,96,96,,,,,,,,,None,None,0,215.49444680000306,None,215.49444680000306,216.49444040001254,216.47778610000387,217.47823189999326,0,1,215.49444680000306,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
7,"[-0.2, -0.2]",None,0,0,0,0,0,97,97,97,,,,,,,,,None,None,0,217.49488100002054,None,217.49488100002054,218.49547170000733,218.47884739999427,219.47928550001234,0,1,217.49488100002054,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
4,"[-0.2, 0]",1,0,0,0,0,0,98,98,98,,,,,,,,,None,None,0,219.49595680000493,None,219.49595680000493,220.49640689999796,220.48015160000068,221.480146899994,0,0,219.49595680000493,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
3,"[0.2, 0.2]",None,0,0,0,0,0,99,99,99,,,,,,,,,None,None,0,221.49682630001917,None,221.49682630001917,222.49757490001502,222.48095920000924,223.48106210000697,0,1,221.49682630001917,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",None,0,0,0,0,0,100,100,100,,,,,,,,,None,None,0,223.4977659000142,None,223.4977659000142,224.49861750000855,224.48155520000728,225.48202670001774,0,1,223.4977659000142,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
3,"[0.2, 0.2]",1,0,0,0,0,0,101,101,101,,,,,,,,,None,None,0,225.49872540001525,None,225.49872540001525,226.4991466999927,226.48257130000275,227.4829643999983,0,0,225.49872540001525,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
1,"[-0.2, 0.2]",None,0,0,0,0,0,102,102,102,,,,,,,,,None,None,0,227.49965700000757,None,227.49965700000757,228.50009220000356,228.4834375999926,229.48395009999513,0,1,227.49965700000757,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
9,"[0.2, -0.2]",None,0,0,0,0,0,103,103,103,,,,,,,,,None,None,0,229.5005868000153,None,229.5005868000153,230.50103020001552,230.48432000001776,231.48487970000133,0,1,229.5005868000153,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
9,"[0.2, -0.2]",None,0,0,0,0,0,104,104,104,,,,,,,,,None,None,0,231.50142570000025,None,231.50142570000025,232.50203740000143,232.4852257000166,233.4857724000176,0,1,231.50142570000025,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
8,"[0, -0.2]",None,0,0,0,0,0,105,105,105,,,,,,,,,None,None,0,233.50299110001652,None,233.50299110001652,234.5033011000196,234.4866619000095,235.48672750001424,0,1,233.50299110001652,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
6,"[0.2, 0]",None,0,0,0,0,0,106,106,106,,,,,,,,,None,None,0,235.50342720001936,None,235.50342720001936,236.50384350001696,236.48720689999755,237.48758420001832,0,1,235.50342720001936,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
3,"[0.2, 0.2]",None,0,0,0,0,0,107,107,107,,,,,,,,,None,None,0,237.5043805000023,None,237.5043805000023,238.5047232999932,238.488073000015,239.48860599999898,0,1,237.5043805000023,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
6,"[0.2, 0]",1,0,0,0,0,0,108,108,108,,,,,,,,,None,None,0,239.5052854999958,None,239.5052854999958,240.50571850000415,240.4889652999991,241.48953770002117,0,0,239.5052854999958,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",None,0,0,0,0,0,109,109,109,,,,,,,,,None,None,0,241.50633380000363,None,241.50633380000363,242.5066841999942,242.4899679000082,243.49042879999615,0,1,241.50633380000363,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
7,"[-0.2, -0.2]",None,0,0,0,0,0,110,110,110,,,,,,,,,None,None,0,243.50723050002125,None,243.50723050002125,244.5076487000042,244.4909386000072,None,0,1,243.50723050002125,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",1,0,0,0,0,0,111,111,111,,,,,,,,,None,None,0,245.49132920001284,None,245.49132920001284,246.49221460000263,246.47517690001405,247.47578080001404,0,0,245.49132920001284,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
1,"[-0.2, 0.2]",None,0,0,0,0,0,112,112,112,,,,,,,,,None,None,0,247.49231689999579,None,247.49231689999579,248.4927294999943,248.47625430001062,249.47664239999722,0,1,247.49231689999579,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
7,"[-0.2, -0.2]",None,0,0,0,0,0,113,113,113,,,,,,,,,None,None,0,249.4933377999987,None,249.4933377999987,250.4937334000133,250.47706950001884,251.47746590001043,0,1,249.4933377999987,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
9,"[0.2, -0.2]",None,0,0,0,0,0,114,114,114,,,,,,,,,None,None,0,251.49423310000566,None,251.49423310000566,252.49465180002153,252.47794559999602,253.47840200000792,0,1,251.49423310000566,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
3,"[0.2, 0.2]",None,0,0,0,0,0,115,115,115,,,,,,,,,None,None,0,253.49505970001337,None,253.49505970001337,254.49563439999474,254.47895780002,255.4794377000071,0,1,253.49505970001337,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
9,"[0.2, -0.2]",1,0,0,0,0,0,116,116,116,,,,,,,,,None,None,0,255.49602819999564,None,255.49602819999564,256.49654100000043,256.4799161000119,257.4802910000144,0,0,255.49602819999564,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
6,"[0.2, 0]",None,0,0,0,0,0,117,117,117,,,,,,,,,None,None,0,257.49706590001006,None,257.49706590001006,258.49760150001384,258.48080260001007,259.4815753000148,0,1,257.49706590001006,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
2,"[0, 0.2]",None,0,0,0,0,0,118,118,118,,,,,,,,,None,None,0,259.4982730000047,None,259.4982730000047,260.4984745999973,260.4818015000201,261.48218809999526,0,1,259.4982730000047,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",None,0,0,0,0,0,119,119,119,,,,,,,,,None,None,0,261.49888450000435,None,261.49888450000435,262.49931220000144,262.4826619999949,263.4831662999932,0,1,261.49888450000435,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
