RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
1,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,17.73301920000813,None,,,,,,,,,,,,,,,,,,,,,,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,294.11632840000675,None,space,0.801515200000722,294.11632840000675,None,,,,,,,,,,,,,,,,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,0,0,0,,,,,,,,,295.5980367999873,None,None,None,0,296.06756520000636,None,296.06756520000636,297.0801044999971,297.0340573999856,None,0,1,296.06756520000636,None,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,None,None,0,297.96439419998205,None,297.96439419998205,298.96487569998135,298.94802819998586,299.95212959998753,0,0,297.96439419998205,None,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,None,None,0,299.96533780000755,None,299.96533780000755,300.9665759000054,300.9492879000027,301.9494456999819,0,0,299.96533780000755,None,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,None,None,0,301.96613570000045,None,301.96613570000045,302.9665263000061,302.9498112000001,303.9500063000014,0,0,301.96613570000045,None,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,None,None,1,303.9667355999991,None,303.9667355999991,304.9715525000065,304.95051609998336,305.95118440000806,1,0,303.9667355999991,None,1.9695606000022963,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,9,"[0.2, -0.2]",1,0,1,1,1,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,None,None,0,305.971687799989,None,305.971687799989,306.9854739999864,306.9517943999963,307.9519070999813,0,1,305.971687799989,None,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,None,None,1,307.9696003999852,None,307.9696003999852,308.9693136999849,308.95262470000307,None,1,0,307.9696003999852,None,1.935085800010711,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,None,None,0,309.9531345999858,None,309.9531345999858,310.95359499999904,310.9369117000024,311.9371372000023,0,1,309.9531345999858,None,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,None,None,0,311.95399909999105,311.95399909999105,311.95399909999105,312.9541935999878,312.93829960000585,313.93892260000575,0,0,311.95399909999105,None,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,None,None,0,313.95890949998284,None,313.95890949998284,314.9760200000019,314.9392137999821,315.9440183999832,0,0,313.95890949998284,None,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,5,"[0, 0]",1,0,1,1,1,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,None,None,0,315.9576118999976,None,315.9576118999976,316.97332550000283,316.9395993000071,317.94200690000434,0,1,315.9576118999976,None,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,None,None,0,317.96056819998194,None,317.96056819998194,318.9738294999988,318.9403539999912,319.9408148000075,0,0,317.96056819998194,None,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,None,None,0,319.957453799987,None,319.957453799987,320.9627629999886,320.9415391999937,321.9417443999846,0,0,319.957453799987,None,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,None,None,0,321.9602725000004,None,321.9602725000004,322.95943029999034,322.9435539999977,323.9434372999822,0,1,321.9602725000004,None,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,8,"[0, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,None,None,0,323.9605331000057,None,323.9605331000057,324.9602186999982,324.9471545999986,None,0,0,323.9605331000057,None,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,None,None,0,325.9608034999983,None,325.9608034999983,326.9649477000057,326.9463867000013,None,0,0,325.9608034999983,None,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,None,None,0,327.9626153999998,None,327.9626153999998,328.96179840000696,328.9451030000055,329.94649989999016,0,0,327.9626153999998,None,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,None,None,0,329.9632911999943,None,329.9632911999943,330.9632447999902,330.9460449999897,331.9475944000005,0,0,329.9632911999943,None,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,None,None,0,331.9631363999797,None,331.9631363999797,332.9644168999803,332.94738579998375,333.9480171999894,0,0,331.9631363999797,None,,99,m,99,r,MS,2021_Jun_03_1202,WASABI Nback,2020.2.10,60.350248711161484,
