RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,688.2176119999494,None,688.2176119999494,689.2177116998937,689.2010316998931,690.2010637999047,None,1,688.2176119999494,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,690.217720799963,None,690.217720799963,691.2177297999151,691.2010770000052,692.2010642999085,None,1,690.217720799963,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,5,"[0, 0]",1,0,1,1,1,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,692.217747699935,None,692.217747699935,693.2177381999791,693.2010746999877,694.2010952999117,None,0,692.217747699935,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,694.2177468999289,None,694.2177468999289,695.2177631999366,695.2010972999269,696.2010991999414,None,1,694.2177468999289,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,696.2177609999198,None,696.2177609999198,697.2177662999602,697.2011205999879,698.2011268999195,None,1,696.2177609999198,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,698.2177741999039,None,698.2177741999039,699.2177828999702,699.2011187999742,700.2011429999257,None,0,698.2177741999039,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,8,"[0, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,700.217810699949,None,700.217810699949,701.2177968999604,701.2011577999219,702.2011642999714,None,1,700.217810699949,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,702.2178146999795,None,702.2178146999795,703.2177824999671,703.2011685000034,704.2011712999083,None,1,702.2178146999795,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,704.2178234999301,None,704.2178234999301,705.2178466999903,705.2011898999335,706.2012531999499,None,1,704.2178234999301,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,706.2178494998952,None,706.2178494998952,707.2178631999996,707.2012044999283,708.2012158998987,None,1,706.2178494998952,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,708.217868299922,None,708.217868299922,709.2178727999562,709.2012077999534,710.2012173999101,None,1,708.217868299922,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,710.21787329996,None,710.21787329996,711.2178968999069,711.2012681999477,712.2012193999253,None,1,710.21787329996,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,3,"[0.2, 0.2]",1,0,1,1,1,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,712.2179035999579,None,712.2179035999579,713.2179013999412,713.2012371999444,714.2012508999323,None,0,712.2179035999579,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,714.2179186999565,None,714.2179186999565,715.2179210999748,715.201240299968,716.2012590999948,None,1,714.2179186999565,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,716.217922699987,None,716.217922699987,717.2179464999354,717.2012930999044,718.2012914998922,None,1,716.217922699987,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,4,"[-0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,718.2179391999962,None,718.2179391999962,719.2179094000021,719.2012991999509,720.2013130999403,None,0,718.2179391999962,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,720.2179691999918,None,720.2179691999918,721.2179624999408,721.2013243999099,722.2012393999612,None,1,720.2179691999918,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,722.2179931999417,None,722.2179931999417,723.2179985999828,723.2013215000043,724.2013429999352,None,1,722.2179931999417,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,26,26,26,,,,,,,,,,,724.2180016000057,None,724.2180016000057,725.2179942999501,725.20135019999,726.2013542999048,None,1,724.2180016000057,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,27,27,27,,,,,,,,,,,726.2180208999198,None,726.2180208999198,727.218027099967,727.2013657999923,728.2013611999573,None,1,726.2180208999198,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,28,28,28,,,,,,,,,,,728.2180219999282,None,728.2180219999282,729.218041999964,729.2013755999506,730.2013882999308,None,1,728.2180219999282,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,29,29,29,,,,,,,,,,,730.2180372999283,None,730.2180372999283,731.2180509999162,731.2013945999788,732.2013976000017,None,0,730.2180372999283,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,30,30,30,,,,,,,,,,,732.2180700999452,None,732.2180700999452,733.2180621000007,733.201420599944,734.2014210999478,1,0,732.2180700999452,None,1.7964626000029966,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,31,31,31,,,,,,,,,,,734.2180906999856,None,734.2180906999856,735.2180883999681,735.2014265999896,736.201457099989,None,1,734.2180906999856,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,32,32,32,,,,,,,,,,,736.2180765999947,None,736.2180765999947,737.2181395998923,737.2014857999748,738.2014559999807,None,0,736.2180765999947,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,33,33,33,,,,,,,,,,,738.218120799982,None,738.218120799982,739.2180678999284,739.2014624999138,740.201473699999,None,1,738.218120799982,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,34,34,34,,,,,,,,,,,740.2181362999836,None,740.2181362999836,741.2181345999707,741.2014683999587,742.2014724999899,None,1,740.2181362999836,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
