RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.rt,response_2.started,response_2.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,538.0487306998111,None,538.0487306998111,539.0487484999467,539.0320688998327,540.0320921998937,None,1,,538.0487306998111,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,540.0487577000167,None,540.0487577000167,541.0487642998341,541.0320901998784,542.0321862997953,None,1,,540.0487577000167,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,5,"[0, 0]",1,0,1,1,1,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,542.0487720998935,None,542.0487720998935,543.0487816999666,543.0321100999136,544.0321130999364,None,0,,542.0487720998935,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,544.048780299956,None,544.048780299956,545.0487518999726,545.032138499897,546.0321400000248,None,1,,544.048780299956,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,546.048809299944,None,546.048809299944,547.0487155998126,547.0321523998864,548.032149199862,None,1,,546.048809299944,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,548.0488223999273,None,548.0488223999273,549.0488360999152,549.0321604998317,550.0322317997925,None,0,,548.0488223999273,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,8,"[0, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,550.0488342000172,None,550.0488342000172,551.0488481998909,551.0321849999018,552.032167899888,None,1,,550.0488342000172,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,552.0488495999016,None,552.0488495999016,553.0488187000155,553.0321909999475,554.0322125998791,None,1,,552.0488495999016,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,554.0488628000021,None,554.0488628000021,555.0488664999139,555.0321930998471,556.0322169999126,None,1,,554.0488628000021,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,556.0488705998287,None,556.0488705998287,557.0488974999171,557.0322214998305,558.0322447000071,None,1,,556.0488705998287,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
