RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.x,response_2.y,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
1,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,13.51646700000856,None,,,,,,,,,,,,,,,,,,,,,,99,m,99,r,MS,2021_Jun_03_1005,WASABI Nback,2020.2.10,59.997756073821215,
0,1,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,301.81827750001685,None,space,0.8961466000182554,301.81827750001685,None,,,,,,,,,,,,,,,,99,m,99,r,MS,2021_Jun_03_1005,WASABI Nback,2020.2.10,59.997756073821215,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,0,0,0,,,,,,,,,303.43494000000646,None,303.8564699999988,None,303.8564699999988,304.86958650001907,304.81937599999947,None,0.025,-0.015277777777777777,None,1,303.8564699999988,None,,99,m,99,r,MS,2021_Jun_03_1005,WASABI Nback,2020.2.10,59.997756073821215,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,305.75313490000553,None,305.75313490000553,306.75372090001474,306.73710440000286,307.7374359999958,0.02361111111111111,-0.0125,None,1,305.75313490000553,None,,99,m,99,r,MS,2021_Jun_03_1005,WASABI Nback,2020.2.10,59.997756073821215,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,307.7541940000083,None,307.7541940000083,308.75472650001757,308.7381038000167,None,0.022222222222222223,-0.008333333333333333,1,0,307.7541940000083,None,1.935683199990308,99,m,99,r,MS,2021_Jun_03_1005,WASABI Nback,2020.2.10,59.997756073821215,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,309.73846300001605,None,309.73846300001605,310.738815299992,310.72272489999887,311.72288430001936,0.022222222222222223,-0.008333333333333333,None,1,309.73846300001605,None,,99,m,99,r,MS,2021_Jun_03_1005,WASABI Nback,2020.2.10,59.997756073821215,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,311.739467700012,None,311.739467700012,312.7399842000159,312.72313709999435,313.7236441000132,0.002777777777777778,-0.004166666666666667,None,1,311.739467700012,None,,99,m,99,r,MS,2021_Jun_03_1005,WASABI Nback,2020.2.10,59.997756073821215,
0,1,9,"[0.2, -0.2]",1,0,1,1,1,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,313.7398838000081,None,313.7398838000081,314.7407382999954,314.72414589999244,315.7251191000105,0.001388888888888889,-0.004166666666666667,None,0,313.7398838000081,None,,99,m,99,r,MS,2021_Jun_03_1005,WASABI Nback,2020.2.10,59.997756073821215,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,315.7407896000077,None,315.7407896000077,316.7418203999987,316.72519339999417,317.72548110000207,0.001388888888888889,-0.004166666666666667,None,1,315.7407896000077,None,,99,m,99,r,MS,2021_Jun_03_1005,WASABI Nback,2020.2.10,59.997756073821215,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,317.7423176000011,None,317.7423176000011,318.7427791999944,318.7269037000078,319.7264895999979,0.001388888888888889,-0.004166666666666667,None,1,317.7423176000011,None,,99,m,99,r,MS,2021_Jun_03_1005,WASABI Nback,2020.2.10,59.997756073821215,
