	onset	duration	rt	response	correct	bodySite	temperature	condition	pretrial-jitter
0	2.784670100081712	7.796873400104232				Left Leg	47.0	1back Instructions	
1	12.813312400016002	1.9838262000121176	1.177786699961871	2.0	0.0	Left Leg	47.0	1back	
2	14.818932100082748	2.0060006000567228	0.4130802000872791	0.0	1.0	Left Leg	47.0	1back	5.0
3	16.82039930007886	2.002983000013046	0.44639629998710006	2.0	1.0	Left Leg	47.0	1back	
4	18.82035390008241	2.0031198000069708	0.4130804999731481	2.0	1.0	Left Leg	47.0	1back	
5	20.928466100012884	1.8870042999042198	0.3790874000405893	2.0	1.0	Left Leg	47.0	1back	
6	22.834930900018662	2.007461200002581	0.6629913999931887	2.0	1.0	Left Leg	47.0	1back	
7	24.836061000009067	2.0052083000773564	0.4990003000712022	2.0	1.0	Left Leg	47.0	1back	
8	26.83609090000391	2.0051739999325946	0.3294830999802798	2.0	1.0	Left Leg	47.0	1back	
9	28.83617080003023	2.0050441999919713	0.5463584000244737	2.0	1.0	Left Leg	47.0	1back	
10	30.83715190005023	2.003119899891317	0.6298333000158891	0.0	1.0	Left Leg	47.0	1back	
11	37.83335070009343	5.0114559000357985		37.77777777777778		Left Leg	47.0	1back Rating	5.0
12	42.838368400000036	47.84723710000981				Left Leg	47.0	1back Instructions	
13	52.87965310004074	1.9851339000742882	0.9278470000717789	2.0	0.0	Left Leg	47.0	1back	
14	54.88623980002012	2.0053346999920905	0.5129947999957949	2.0	1.0	Left Leg	47.0	1back	5.0
15	56.88674450002145	2.004352799966	0.6297925000544637	2.0	1.0	Left Leg	47.0	1back	
16	58.886744200019166	2.004389700014144	0.37956689996644855	2.0	1.0	Left Leg	47.0	1back	
17	60.922029500012286	1.9671630999073386	0.6296898999717087	0.0	1.0	Left Leg	47.0	1back	
18	62.901802900014445	2.0076267000986263	0.496273500029929	2.0	1.0	Left Leg	47.0	1back	
19	64.90314030006994	2.0049877000274137	0.5798031999729574	2.0	1.0	Left Leg	47.0	1back	
20	66.90314980002586	2.0050194999203086	0.5130781000480056	0.0	1.0	Left Leg	47.0	1back	
21	68.90410040004645	2.003143799956888	0.7818472000071779	2.0	1.0	Left Leg	47.0	1back	
22	70.90406950004399	2.0032364999642596	0.696450800052844	2.0	1.0	Left Leg	47.0	1back	
23	75.90040929999668	5.011263799970038		37.28395061728395		Left Leg	47.0	1back Rating	3.0
24	80.9053758000955	85.91422400006559				Left Leg	47.0	1back Instructions	
25	92.94694200006779	1.9844849000219256	0.8611354999011382	2.0	0.0	Left Leg	47.0	1back	
26	94.95292599999812	2.005922400043346	0.6130340999225155	0.0	1.0	Left Leg	47.0	1back	7.0
27	96.95427750004455	2.003227600012906	0.6153656999813393	2.0	1.0	Left Leg	47.0	1back	
28	98.95414090005215	2.0035452001029626	0.5154635000508279	2.0	1.0	Left Leg	47.0	1back	
29	101.01382570003625	1.934203999931924	0.44605290004983544	2.0	1.0	Left Leg	47.0	1back	
30	102.9687715000473	2.0076643000356853	0.47931739990599453	2.0	1.0	Left Leg	47.0	1back	
31	104.97091280005407	2.00342340010684	0.49632409994956106	2.0	1.0	Left Leg	47.0	1back	
32	106.97094680008013	2.0034050000831485	0.4465281000593677	2.0	1.0	Left Leg	47.0	1back	
33	108.970943500055	2.0034524000948295	0.6297710000071675	0.0	1.0	Left Leg	47.0	1back	
34	110.97142110008281	2.002520599984564	0.6296509000239894	0.0	1.0	Left Leg	47.0	1back	
35	117.9672776000807	5.011518700164743		23.51851851851852		Left Leg	47.0	1back Rating	5.0
36	122.99209470010828	127.9979002000764				Left Leg	47.0	2back Instructions	
37	133.03283020004164	1.9966919998405501	0.0	2.0	0.0	Left Leg	47.0	2back	
38	135.03669810004067	2.0056332999374717	0.0	2.0	0.0	Left Leg	47.0	2back	5.0
39	137.0523613000987	2.0077064998913556	0.0	2.0	1.0	Left Leg	47.0	2back	
40	139.06904640002176	2.0076786000281572	0.0	2.0	1.0	Left Leg	47.0	2back	
41	141.14326390007045	1.9426475000800565	0.6165742999874055	0.0	1.0	Left Leg	47.0	2back	
42	143.10246300010476	2.0075965999858454	0.0	2.0	1.0	Left Leg	47.0	2back	
43	145.11907560005784	2.0077405001502484	0.5002877999795601	0.0	1.0	Left Leg	47.0	2back	
44	147.13583180005662	2.007567699998617	0.0	2.0	1.0	Left Leg	47.0	2back	
45	149.15255380002782	2.0074818999273703	0.3336121999891475	0.0	1.0	Left Leg	47.0	2back	
46	151.16913600009866	2.0077055998845026	0.633850899990648	0.0	1.0	Left Leg	47.0	2back	
47	160.18448130006436	5.011133900028653		19.938271604938272		Left Leg	47.0	2back Rating	7.0
48	165.1894464000361	170.19822260004003				Left Leg	47.0	2back Instructions	
49	173.23326840007212	1.9964343000901863	0.0	2.0	0.0	Left Leg	47.0	2back	
50	175.2370003000833	2.005690599908121	0.0	2.0	0.0	Left Leg	47.0	2back	3.0
51	177.25268730008975	2.007668000063859	0.0	2.0	0.0	Left Leg	47.0	2back	
52	179.26947650010698	2.0073719000210986	0.0	2.0	1.0	Left Leg	47.0	2back	
53	181.32697540009394	1.9591410000575706	0.0	2.0	1.0	Left Leg	47.0	2back	
54	183.30284180003218	2.0074946999084204	0.0	2.0	1.0	Left Leg	47.0	2back	
55	185.31937210005708	2.007769000134431	0.4503049000632018	0.0	1.0	Left Leg	47.0	2back	
56	187.3361784000881	2.0075066999997944	0.585893900017254	0.0	1.0	Left Leg	47.0	2back	
57	189.35286580002867	2.00748809997458	0.6336130000418052	0.0	1.0	Left Leg	47.0	2back	
