square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,,,,,702.0050262999721,None,703.0216800000053,None,703.0216800000053,704.0218138000928,704.005054499954,705.0050609000027,1,-0.8231481481481482,-0.47314814814814815,"[0, 0, 0]",0,0,703.0216800000053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,25,r,ARB,2021_Oct_26_1823,2020.2.10,distractmap2,59.97454680401794,"['Left Leg', 'Left Face', 'Right Arm', 'Abdomen']",
6,"[0.2, 0]",1,0,1,1,1,,,,,,,705.021734100068,None,705.021734100068,706.0217404998839,706.0050552000757,707.005059099989,1,-0.8231481481481482,-0.47314814814814815,"[0, 0, 0]",0,0,705.021734100068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,25,r,ARB,2021_Oct_26_1823,2020.2.10,distractmap2,59.97454680401794,"['Left Leg', 'Left Face', 'Right Arm', 'Abdomen']",
2,"[0, 0.2]",0,0,2,2,2,,,,,,,707.0217351000756,None,707.0217351000756,708.0217476999387,708.0050822000485,709.0050727999769,1,-0.8231481481481482,-0.47314814814814815,"[0, 0, 0]",0,0,707.0217351000756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,25,r,ARB,2021_Oct_26_1823,2020.2.10,distractmap2,59.97454680401794,"['Left Leg', 'Left Face', 'Right Arm', 'Abdomen']",
9,"[0.2, -0.2]",0,0,3,3,3,,,,,,,709.0217591999099,None,709.0217591999099,710.0217466999311,710.0051035000943,711.0051066998858,1,-0.8231481481481482,-0.47314814814814815,"[0, 0, 0]",0,0,709.0217591999099,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,25,r,ARB,2021_Oct_26_1823,2020.2.10,distractmap2,59.97454680401794,"['Left Leg', 'Left Face', 'Right Arm', 'Abdomen']",
9,"[0.2, -0.2]",1,0,4,4,4,,,,,,,711.0217790000606,None,711.0217790000606,712.0217834999785,712.0051243000198,713.0051070998888,1,-0.8231481481481482,-0.47314814814814815,"[0, 0, 0]",0,0,711.0217790000606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,25,r,ARB,2021_Oct_26_1823,2020.2.10,distractmap2,59.97454680401794,"['Left Leg', 'Left Face', 'Right Arm', 'Abdomen']",
6,"[0.2, 0]",0,0,5,5,5,,,,,,,713.0217859998811,None,713.0217859998811,714.0217778999358,714.0051345999818,715.0051329000853,1,-0.8231481481481482,-0.47314814814814815,"[0, 0, 0]",0,0,713.0217859998811,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,25,r,ARB,2021_Oct_26_1823,2020.2.10,distractmap2,59.97454680401794,"['Left Leg', 'Left Face', 'Right Arm', 'Abdomen']",
4,"[-0.2, 0]",0,0,6,6,6,,,,,,,715.0218022998888,None,715.0218022998888,716.0217957999557,716.0051215998828,717.0051545999013,1,-0.8231481481481482,-0.47314814814814815,"[0, 0, 0]",0,0,715.0218022998888,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,25,r,ARB,2021_Oct_26_1823,2020.2.10,distractmap2,59.97454680401794,"['Left Leg', 'Left Face', 'Right Arm', 'Abdomen']",
3,"[0.2, 0.2]",0,0,7,7,7,,,,,,,717.0218211999163,None,717.0218211999163,718.021808499936,718.005151099991,719.0051710999105,1,-0.8231481481481482,-0.47314814814814815,"[0, 0, 0]",0,0,717.0218211999163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,25,r,ARB,2021_Oct_26_1823,2020.2.10,distractmap2,59.97454680401794,"['Left Leg', 'Left Face', 'Right Arm', 'Abdomen']",
3,"[0.2, 0.2]",1,0,8,8,8,,,,,,,719.0218207000289,None,719.0218207000289,720.0218348000199,720.0051730999257,721.005169400014,1,-0.8231481481481482,-0.47314814814814815,"[0, 0, 0]",0,0,719.0218207000289,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,25,r,ARB,2021_Oct_26_1823,2020.2.10,distractmap2,59.97454680401794,"['Left Leg', 'Left Face', 'Right Arm', 'Abdomen']",
8,"[0, -0.2]",0,0,9,9,9,,,,,,,721.0218515000306,None,721.0218515000306,722.0218195999041,722.00516709988,723.0051855000202,1,-0.8231481481481482,-0.47314814814814815,"[0, 0, 0]",0,0,721.0218515000306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,25,r,ARB,2021_Oct_26_1823,2020.2.10,distractmap2,59.97454680401794,"['Left Leg', 'Left Face', 'Right Arm', 'Abdomen']",
