square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt_left,response_2.rt_right,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fixation_rest.started,fixation_rest.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
5,"[0, 0]",0,0,10,10,10,,,None,None,"[0, 0, 1]",73.12254759995267,75.12255159998313,73.12254759995267,74.12254249979742,74.10576379997656,75.10589289991185,"[0, 0, 1]",1,73.12254759995267,75.12255159998313,0.0,1.9218997000716627,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
3,"[0.2, 0.2]",1,0,11,11,11,,,None,None,"[0, 0, 0]",75.13921629986726,77.13922589994036,75.13921629986726,76.139231499983,76.12258059997112,77.12256099982187,"[0, 0, 0]",0,75.13921629986726,77.13922589994036,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",0,0,12,12,12,,,None,None,"[0, 0, 0]",77.15590809984133,79.15592409996316,77.15590809984133,78.15597119997256,78.13925799983554,79.13925779983401,"[0, 0, 0]",1,77.15590809984133,79.15592409996316,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
9,"[0.2, -0.2]",0,0,13,13,13,,,None,None,"[0, 0, 0]",79.1725967999082,81.17261020001024,79.1725967999082,80.17258029989898,80.1559249998536,81.1559570999816,"[0, 0, 0]",1,79.1725967999082,81.17261020001024,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
9,"[0.2, -0.2]",0,0,14,14,14,,,None,None,"[0, 0, 0]",81.18926529982127,83.18919289996848,81.18926529982127,82.18926679994911,82.17262769979425,83.17258299980313,"[0, 0, 0]",1,81.18926529982127,83.18919289996848,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
8,"[0, -0.2]",0,0,15,15,15,,,None,None,"[0, 0, 0]",83.20596339995973,85.20599709986709,83.20596339995973,84.20596949988976,84.18929659994319,85.18934159982018,"[0, 0, 0]",1,83.20596339995973,85.20599709986709,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",0,0,16,16,16,,,None,None,"[0, 0, 0]",85.22263649990782,87.22267479985021,85.22263649990782,86.22265269979835,86.20590079994872,87.2059921999462,"[0, 0, 0]",1,85.22263649990782,87.22267479985021,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
3,"[0.2, 0.2]",0,0,17,17,17,,,None,None,"[0, 0, 0]",87.23932509985752,89.23932819999754,87.23932509985752,88.23933059978299,88.22265909984708,89.22266749991104,"[0, 0, 0]",1,87.23932509985752,89.23932819999754,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",1,0,18,18,18,,,None,None,"[0, 0, 0]",89.25548719987273,91.25602279999293,89.25548719987273,90.25603399984539,90.23935059993528,91.23937699990347,"[0, 0, 0]",0,89.25548719987273,91.25602279999293,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
5,"[0, 0]",0,0,19,19,19,,,None,None,"[0, 0, 1]",91.27260499983095,93.27271549985744,91.27260499983095,92.2727008999791,92.25592029979452,93.25605029985309,"[0, 0, 1]",1,91.27260499983095,93.27271549985744,0.0,1.9337188000790775,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
