square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,response.rt_left,response.rt_right,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
1,"[-0.2, 0.2]",0,0,10,10,10,,,,,,,893.4831578000449,None,893.4831578000449,894.4831705999095,894.46652180003,895.4665165999904,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,893.4831578000449,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
2,"[0, 0.2]",0,0,11,11,11,,,,,,,895.4831763999537,None,895.4831763999537,896.4831928000785,896.4665204999037,897.466540500056,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,895.4831763999537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
4,"[-0.2, 0]",0,0,12,12,12,,,,,,,897.4831916999537,None,897.4831916999537,898.4832176999189,898.4665427000728,899.466542399954,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,897.4831916999537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
4,"[-0.2, 0]",1,0,13,13,13,,,,,,,899.4832071999554,None,899.4832071999554,900.4832218999509,900.4665663000196,901.4665697000455,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,899.4832071999554,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
8,"[0, -0.2]",0,0,14,14,14,,,,,,,901.4832232000772,None,901.4832232000772,902.4832347999327,902.4665578000713,903.4665733000729,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,901.4832232000772,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
5,"[0, 0]",0,0,15,15,15,,,,,,,903.4832375000697,None,903.4832375000697,904.4832415999845,904.46658509993,905.466603100067,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,903.4832375000697,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
5,"[0, 0]",1,0,16,16,16,,,,,,,905.4832576999906,None,905.4832576999906,906.4832564999815,906.4666061999742,907.4666015999392,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,905.4832576999906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
1,"[-0.2, 0.2]",0,0,17,17,17,,,,,,,907.4832589998841,None,907.4832589998841,908.483280699933,908.4666184000671,909.4666347000748,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,907.4832589998841,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
3,"[0.2, 0.2]",0,0,18,18,18,,,,,,,909.4832899998873,None,909.4832899998873,910.4833066998981,910.4666007999331,911.4666462999303,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,909.4832899998873,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
6,"[0.2, 0]",0,0,19,19,19,,,,,,,911.4833106000442,None,911.4833106000442,912.4833003999665,912.4666395999957,913.4666559000034,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,911.4833106000442,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
1,"[-0.2, 0.2]",0,0,20,20,20,,,,,,,913.4833070000168,None,913.4833070000168,914.4833323999774,914.4666722000111,915.4666641000658,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,913.4833070000168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
1,"[-0.2, 0.2]",1,0,21,21,21,,,,,,,915.4833241000306,None,915.4833241000306,916.4833311999682,916.4666742000263,917.4666810000781,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,915.4833241000306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
1,"[-0.2, 0.2]",1,0,22,22,22,,,,,,,917.4833500999957,None,917.4833500999957,918.4833559999242,918.4666800000705,919.466702299891,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,917.4833500999957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
3,"[0.2, 0.2]",0,0,23,23,23,,,,,,,919.4833792999852,None,919.4833792999852,920.4833706000354,920.4666915000416,921.4667048000265,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,919.4833792999852,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
2,"[0, 0.2]",0,0,24,24,24,,,,,,,921.4833650998771,None,921.4833650998771,922.4833907999564,922.4667183998972,923.4667181000113,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,921.4833650998771,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
1,"[-0.2, 0.2]",0,0,25,25,25,,,,,,,923.4833843999077,None,923.4833843999077,924.4833865999244,924.4667291999795,925.4666788000613,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,923.4833843999077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
7,"[-0.2, -0.2]",0,0,26,26,26,,,,,,,925.4834102999885,None,925.4834102999885,926.4834171000402,926.4667447998654,927.4667461998761,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,925.4834102999885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
7,"[-0.2, -0.2]",1,0,27,27,27,,,,,,,927.4834102999885,None,927.4834102999885,928.483435299946,928.4667670000345,929.4667599999812,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,927.4834102999885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
2,"[0, 0.2]",0,0,28,28,28,,,,,,,929.4834237999748,None,929.4834237999748,930.4834511000663,930.4667507999111,931.466785900062,1,0.001851851851851852,0.06481481481481481,"[0, 0, 0]",0,0,929.4834237999748,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,2,24,r,MCK,2021_Oct_03_0934,2020.2.10,distractmap2,59.99070144031131,"['Left Face', 'Right Arm', 'Left Leg', 'Abdomen']",
