	repetition	confirm_time	body_site	stim_temp	calibration_onset	calibration_jitter	calibration_duration	heat_onset	heat_jitter	heat_duration	hot_temp	valence_rating	intensity_rating
0	1	31.65522740012966	Abdomen	34.0	35.61853120010346	0	30	70.65662909997627	1	10	47.0	-36	33
1	1	176.45536570018157	Right Arm	32.0	180.53417300013825	3	27	215.13791920011863	2	10	45.5	-6	16
2	1	274.1850879001431	Left Arm	35.0	278.1031574001536	2	28	310.47594840009697	0	10	46.0	-34	34
3	1	381.52661689999513	Right Leg	39.0	385.86945810006	3	29	420.91636839997955	2	10	46.5	-35	35
4	1	478.7580288001336	Right Face	46.0	482.00623030005954	1	29	521.4477788000368	0	10	49.0	-17	16
5	1	593.618822599994	Left Face	40.5	603.3351861000992	0	29	645.6782808001153	3	10	49.0	-2	1
6	1	777.0604509001132	Left Leg	37.5	797.932264600182	2	28	832.4095008999575	3	10	46.0	-18	16
7	1	887.0894763001706	Chest	36.0	889.6821260000579	0	28	922.8513603999745	1	10	46.0	-17	13
8	2	985.6321429000236	Right Face	38.5	988.167476600036	0	32	1027.012702499982	3	10	48.0	-32	31
9	2	1084.0121504999697	Left Leg	46.5	1088.948143400019	3	32	1126.5936011001468	1	10	48.0	-48	47
10	2	1194.5046751999762	Right Arm	34.5	1208.416935000103	2	26	1241.3139055999927	3	10	45.0	-15	17
11	2	1294.4036328000948	Right Leg	44.0	1299.7835009000264	2	29	1333.7863211999647	1	10	46.5	-19	17
12	2	1382.9151018999983	Left Face	36.5	1384.0806084000506	0	32	1420.1664367001504	0	10	48.0	-27	26
13	2	1467.2959070000798	Left Arm	37.0	1469.3137469000649	1	30	1505.2081767001655	2	10	47.0	-36	34
14	2	1558.3562299001496	Chest	44.0	1560.1801472001243	0	31	1597.3362736999989	2	10	47.5	-38	34
15	2	1640.0169995001052	Abdomen	35.5	1642.2465254000854	1	28	1676.6181535001379	2	10	46.0	-18	16
16	3	1854.727900300175	Right Arm	36.0	1862.4817733999807	2	29	1898.5507698000874	3	10	46.5	-17	16
17	3	1951.3887619001325	Right Face	40.5	1960.448119000066	3	32	1996.433216900099	0	10	48.0	-34	32
18	3	2042.0195418000221	Abdomen	35.5	2043.2120251001325	0	30	2078.932818100089	2	10	47.0	-30	25
19	3	2128.45337270014	Right Leg	45.5	2131.747697400162	2	32	2168.542419300182	1	10	48.0	-35	33
20	3	2218.4728987000417	Left Leg	32.0	2226.128108800156	3	27	2258.315413400065	0	10	45.5	-27	24
21	3	2322.2016553001013	Left Arm	36.5	2325.196956100175	1	29	2358.042764000129	0	10	46.5	-29	29
22	3	2413.1933929000515	Left Face	37.0	2414.2610081001185	0	32	2451.205412799958	1	10	48.0	-36	34
23	3	2512.103644200135	Chest	43.5	2515.1800389001146	0	31	2550.0346835001837	0	10	47.5	-32	29
24	4	2589.2059576001484	Left Leg	44.5	2591.0771564999595	0	31	2628.2153919001576	2	10	47.5	-38	34
25	4	2718.705337200081	Right Arm	37.0	2728.8793574001174	1	32	2764.975871599978	0	10	48.0	-54	51
26	4	2813.2060885999817	Left Face	32.0	2817.52658169996	2	32	2856.737568099983	2	10	48.0	-26	24
27	4	2896.437416800065	Abdomen	39.5	2898.295217400184	0	30	2932.6892643000465	0	10	47.0	-33	32
28	4	2981.599092400167	Left Arm	40.5	2987.74518060009	0	29	3023.4386063001584	2	10	46.5	-32	31
29	4	3076.9995059000794	Right Face	37.5	3079.8257123001385	2	33	3118.6993341001216	2	10	48.5	-37	37
30	4	3149.3995618000627	Chest	37.5	3157.678015700076	3	30	3193.739712000126	2	10	47.0	-21	21
31	4	3246.0111424000934	Right Leg	44.5	3248.1017074000556	2	32	3287.180406600004	3	10	48.0	44	44
