square,location,corrAns,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,runSeq,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.rt_left,response_2.rt_right,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
6,"[0.2, 0]",0,0,0,0,0,0,19,19,19,,,,,,,,,,,,192.69402909977362,None,192.69402909977362,193.69402580009773,193.67735539982095,194.67739079985768,1,-0.21851851851851853,0.12962962962962962,"[0, 0, 0]",0,0,192.69402909977362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1443,WASABI distractmap,2020.2.10,60.003444209952825,"['Right Face', 'Chest', 'Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Left Face', 'Right Leg', 'Left Arm', 'Left Arm', 'Left Face', 'Chest', 'Right Arm', 'Abdomen', 'Right Leg', 'Left Leg']",
1,"[-0.2, 0.2]",0,0,0,0,0,0,20,20,20,,,,,,,,,,,,194.69404039997607,None,194.69404039997607,195.6940381997265,195.67741680005565,196.6774075999856,1,-0.21851851851851853,0.12962962962962962,"[0, 0, 0]",0,0,194.69404039997607,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1443,WASABI distractmap,2020.2.10,60.003444209952825,"['Right Face', 'Chest', 'Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Left Face', 'Right Leg', 'Left Arm', 'Left Arm', 'Left Face', 'Chest', 'Right Arm', 'Abdomen', 'Right Leg', 'Left Leg']",
1,"[-0.2, 0.2]",1,0,0,0,0,0,21,21,21,,,,,,,,,,,,196.69406040012836,None,196.69406040012836,197.69406400015578,197.67741170013323,198.67741749994457,1,-0.21851851851851853,0.12962962962962962,"[0, 0, 0]",0,0,196.69406040012836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1443,WASABI distractmap,2020.2.10,60.003444209952825,"['Right Face', 'Chest', 'Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Left Face', 'Right Leg', 'Left Arm', 'Left Arm', 'Left Face', 'Chest', 'Right Arm', 'Abdomen', 'Right Leg', 'Left Leg']",
1,"[-0.2, 0.2]",1,0,0,0,0,0,22,22,22,,,,,,,,,,,,198.69405849976465,None,198.69405849976465,199.69405320007354,199.67743639973924,200.67741699982435,1,-0.21851851851851853,0.12962962962962962,"[0, 0, 0]",0,0,198.69405849976465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1443,WASABI distractmap,2020.2.10,60.003444209952825,"['Right Face', 'Chest', 'Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Left Face', 'Right Leg', 'Left Arm', 'Left Arm', 'Left Face', 'Chest', 'Right Arm', 'Abdomen', 'Right Leg', 'Left Leg']",
3,"[0.2, 0.2]",0,0,0,0,0,0,23,23,23,,,,,,,,,,,,200.69407769991085,None,200.69407769991085,201.69407679978758,201.67746139969677,202.67743969988078,1,-0.21851851851851853,0.12962962962962962,"[0, 0, 0]",0,0,200.69407769991085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1443,WASABI distractmap,2020.2.10,60.003444209952825,"['Right Face', 'Chest', 'Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Left Face', 'Right Leg', 'Left Arm', 'Left Arm', 'Left Face', 'Chest', 'Right Arm', 'Abdomen', 'Right Leg', 'Left Leg']",
2,"[0, 0.2]",0,0,0,0,0,0,24,24,24,,,,,,,,,,,,202.6940832999535,None,202.6940832999535,203.69409789983183,203.67745180008933,204.6774462000467,1,-0.21851851851851853,0.12962962962962962,"[0, 0, 0]",0,0,202.6940832999535,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1443,WASABI distractmap,2020.2.10,60.003444209952825,"['Right Face', 'Chest', 'Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Left Face', 'Right Leg', 'Left Arm', 'Left Arm', 'Left Face', 'Chest', 'Right Arm', 'Abdomen', 'Right Leg', 'Left Leg']",
1,"[-0.2, 0.2]",0,0,0,0,0,0,25,25,25,,,,,,,,,,,,204.6941039999947,None,204.6941039999947,205.69412249978632,205.6774705001153,206.67746219970286,1,-0.21851851851851853,0.12962962962962962,"[0, 0, 0]",0,0,204.6941039999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1443,WASABI distractmap,2020.2.10,60.003444209952825,"['Right Face', 'Chest', 'Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Left Face', 'Right Leg', 'Left Arm', 'Left Arm', 'Left Face', 'Chest', 'Right Arm', 'Abdomen', 'Right Leg', 'Left Leg']",
7,"[-0.2, -0.2]",0,0,0,0,0,0,26,26,26,,,,,,,,,,,,206.6941698999144,None,206.6941698999144,207.6941204997711,207.67746930010617,208.67749409982935,1,-0.21851851851851853,0.12962962962962962,"[0, 0, 0]",0,0,206.6941698999144,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1443,WASABI distractmap,2020.2.10,60.003444209952825,"['Right Face', 'Chest', 'Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Left Face', 'Right Leg', 'Left Arm', 'Left Arm', 'Left Face', 'Chest', 'Right Arm', 'Abdomen', 'Right Leg', 'Left Leg']",
7,"[-0.2, -0.2]",1,0,0,0,0,0,27,27,27,,,,,,,,,,,,208.69414300005883,None,208.69414300005883,209.69413750013337,209.6774816000834,210.67748710000888,1,-0.21851851851851853,0.12962962962962962,"[0, 0, 0]",0,0,208.69414300005883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1443,WASABI distractmap,2020.2.10,60.003444209952825,"['Right Face', 'Chest', 'Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Left Face', 'Right Leg', 'Left Arm', 'Left Arm', 'Left Face', 'Chest', 'Right Arm', 'Abdomen', 'Right Leg', 'Left Leg']",
2,"[0, 0.2]",0,0,0,0,0,0,28,28,28,,,,,,,,,,,,210.69414220005274,None,210.69414220005274,211.69413299998268,211.677515800111,212.67751529999077,1,-0.21851851851851853,0.12962962962962962,"[0, 0, 0]",0,0,210.69414220005274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1443,WASABI distractmap,2020.2.10,60.003444209952825,"['Right Face', 'Chest', 'Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Left Face', 'Right Leg', 'Left Arm', 'Left Arm', 'Left Face', 'Chest', 'Right Arm', 'Abdomen', 'Right Leg', 'Left Leg']",
