	onset	duration	rt	mouseclick	correct	condition	score
0	414.51299850002397	1.9367091399617493			1	Practice 2-back	90.0
1	416.48333009995986	1.9682033600984141			1	Practice 2-back	90.0
2	418.4883363000117	1.9612945599947125	0.34685940004419535	0	1	Practice 2-back	90.0
3	420.49648770003114	1.9848991599865258	0.5240898999618366	2	1	Practice 2-back	90.0
4	422.4703843999887	1.9630880599142984	0.7480609000194818	2	1	Practice 2-back	90.0
5	424.4694250000175	1.98166186013259	0.44788849994074553	2	1	Practice 2-back	90.0
6	426.48430320003536	1.9715732597978786	0.6674024999374524	2	1	Practice 2-back	90.0
7	428.4694452000549	1.9806912599597126	0.7682417999021709	2	1	Practice 2-back	90.0
8	430.487195600057	1.9835247601149604	0.6154247000813484	2	0	Practice 2-back	90.0
9	432.4712684999686	1.9599669601302594	0.600508900010027	2	1	Practice 2-back	90.0
10	434.46735950000584	1.9835480601759627	0.6706032999791205	2	1	Practice 2-back	90.0
11	436.4896104000509	1.9601567601785064	0.5959324000868946	0	1	Practice 2-back	90.0
12	438.4872731999494	1.946909760008566	0.581696700071916	2	1	Practice 2-back	90.0
13	440.46575980004855	1.9908205601386726	0.5863456999650225	2	1	Practice 2-back	90.0
14	442.4695919000078	1.9652100601233542	0.6319922999246046	2	1	Practice 2-back	90.0
15	444.46337300003506	1.9718276599887758	0.5714914000127465	2	1	Practice 2-back	90.0
16	446.46381800004747	1.9855889600003138	0.5055422000586987	2	1	Practice 2-back	90.0
17	448.4952056000475	1.937376259942539	0.541078899987042	2	1	Practice 2-back	90.0
18	450.47301259997766	1.9764144598739222	0.5623714999528602	2	0	Practice 2-back	90.0
19	452.4693497000262	1.9796520600793883	0.7999966000206769	2	1	Practice 2-back	90.0
20	454.50862940005027	1.9483846600633115	0.4283160000341013	2	1	Practice 2-back	90.0
21	456.46797630004585	1.9936260599642992	0.6199253000086173	2	0	Practice 2-back	90.0
22	458.48371850000694	1.9532945600803941	0.43326199997682124	2	1	Practice 2-back	90.0
23	460.4699930000352	1.982627360150218	0.4647246999666095	2	1	Practice 2-back	90.0
24	462.46927660005167	1.9633179600350559	0.40059900004416704	2	1	Practice 2-back	90.0
25	464.46577610005625	1.9677737600868568	0.6022358000045642	2	1	Practice 2-back	90.0
26	466.4695826000534	1.9652381599880755	0.48109120002482086	0	1	Practice 2-back	90.0
27	468.4693040000275	1.9663304600398988	0.48234400001820177	2	1	Practice 2-back	90.0
28	470.4682697999524	1.9912466598907486	0.6499252999201417	2	1	Practice 2-back	90.0
29	472.46900469996035	1.9806354600004852	0.6328352999407798	2	1	Practice 2-back	90.0
