	onset	duration	phase	condition
0	64.01805050007533	-61.5310402699979	cue	Right Face
1	65.49727100005839	-63.01026076998096	movement	Right Face
2	66.56569830002263	-64.07233726000413	cue	Right Arm
3	68.04831780004315	-65.55495676002465	movement	Right Arm
4	69.04866740002763	-66.53811128996313	rest	Rest
5	71.61753699998371	-69.11221136001404	cue	Left Leg
6	73.0986953000538	-70.59336966008414	movement	Left Leg
7	74.18176659999881	-71.6930054599652	cue	Chest
8	75.66403990006074	-73.17527876002714	movement	Chest
9	76.69928290008102	-74.2102512801066	cue	Left Face
10	78.18062740005553	-75.69159578008112	movement	Left Face
11	79.18183870008215	-76.66969039011747	rest	Rest
12	81.7488972999854	-79.26656746014487	cue	Left Arm
13	83.21412950009108	-80.73179966025054	movement	Left Arm
14	84.28249750006944	-81.79496226005722	cue	Abdomen
15	85.76427590008825	-83.27674066007603	movement	Abdomen
16	86.8153302000137	-84.32936387008522	cue	Right Leg
17	88.29884060006589	-85.8128742701374	movement	Right Leg
18	89.31554540002253	-86.80019769002683	rest	Rest
19	91.86538460000884	-89.38174776989035	cue	Right Leg
20	93.34759740007576	-90.86396056995727	movement	Right Leg
21	94.41569679998793	-91.92726515990216	cue	Abdomen
22	95.89755970006809	-93.40912805998232	movement	Abdomen
23	96.89756140008103	-94.38574069004972	rest	Rest
24	99.4327855000738	-96.93883948004805	cue	Left Face
25	100.91419050004333	-98.42024448001757	movement	Left Face
26	101.91420760005713	-99.40304479002953	rest	Rest
27	104.48273620009422	-101.99057166010607	cue	Right Arm
28	105.96430190000683	-103.47213736001868	movement	Right Arm
29	107.01561790006235	-104.5315347701544	cue	Chest
30	108.49772480002139	-106.01364167011343	movement	Chest
31	109.53283270006068	-107.04207288008183	cue	Right Face
32	111.01475910004228	-108.52399928006344	movement	Right Face
33	112.01514030003455	-109.50380499009043	rest	Rest
34	114.56585510005243	-112.07133096002508	cue	Left Arm
35	116.047814700054	-113.55329056002665	movement	Left Arm
36	117.11563350004144	-114.62223755999003	cue	Left Leg
37	118.59779200004414	-116.10439605999272	movement	Left Leg
38	119.5984151000157	-117.08630809001625	rest	Rest
39	Condition Order: 	['Right Face', 'Right Arm', 'Rest', 'Left Leg', 'Chest', 'Left Face', 'Rest', 'Left Arm', 'Abdomen', 'Right Leg', 'Rest', 'Right Leg', 'Abdomen', 'Rest', 'Left Face', 'Rest', 'Right Arm', 'Chest', 'Right Face', 'Rest', 'Left Arm', 'Left Leg', 'Rest']		
