	repetition	confirm_time	body_site	stim_temp	calibration_onset	calibration_jitter	calibration_duration	heat_onset	heat_jitter	heat_duration	hot_temp	valence_rating	intensity_rating
0	1	48.982053200001246	Chest	39.0	57.48031009999977	1	32	96.09487849999277	3	10	48.0	-35	33
1	1	172.04813840000133	Left Arm	35.0	179.15017300000181	2	29	215.13601469999412	3	10	46.5	-29	25
2	1	273.1795170999976	Right Leg	42.0	278.96430029999465	1	28	311.44698680000147	0	10	46.0	-24	28
3	1	377.4135516999959	Right Face	40.5	383.648875400002	3	28	423.749398400003	0	10	49.0	-35	33
4	1	477.51342940000177	Right Arm	38.5	482.863537199999	3	28	523.3081789999997	0	10	49.0	-36	32
5	1	603.012708299997	Left Face	38.5	607.1464187999954	1	30	643.6304430000018	2	10	47.0	-18	23
6	1	683.4466987999913	Abdomen	34.5	685.1816929999914	0	29	720.9690957999992	3	10	46.5	-25	26
7	1	777.5287888000021	Left Leg	39.0	783.9644532999955	3	29	826.0143418999942	2	10	49.0	-46	46
8	2	863.8453061000037	Left Leg	39.0	869.5618149999937	2	29	909.8911112999922	0	10	49.0	-36	31
9	2	969.9283166999958	Right Arm	35.5	973.3781427999929	0	31	1010.7414151999983	2	10	47.5	-26	31
10	2	1059.744375299997	Left Arm	36.5	1064.9112473999994	3	28	1097.6442794000031	1	10	46.0	-20	21
11	2	1145.9942314999935	Left Face	36.0	1149.594385199991	1	32	1185.7024157999986	0	10	48.0	-20	18
12	2	1231.960521599991	Chest	47.5	1236.5608019999927	2	32	1280.0275458999968	3	10	49.0	-35	34
13	2	1340.191581399995	Right Leg	35.0	1343.1770711999998	0	30	1377.6156566999998	0	10	47.0	-33	33
14	2	1437.0583839000028	Abdomen	42.5	1442.159586099995	1	29	1476.1960227999953	1	10	46.5	-20	22
15	2	1514.5094824999978	Right Face	39.0	1516.5925411999924	0	32	1553.8961580000032	1	10	48.0	-26	26
