	repetition	confirm_time	body_site	stim_temp	calibration_onset	calibration_jitter	calibration_duration	heat_onset	heat_jitter	heat_duration	hot_temp	valence_rating	intensity_rating
0	1	166.2190231	Left Arm	39.5	170.9366187	2	33	209.00757910000002	1	14.539520700000025	48.5	-44	51
1	1	384.42637490000004	Left Face	34.0	390.13385960000005	3	33	428.74638359999994	2	14.492405559999895	48.5	-55	51
2	1	501.9944994	Abdomen	39.5	507.61845470000003	3	32	546.4622835	3	15.01061163999998	48.0	-53	51
3	1	608.1175188000001	Right Arm	36.0	610.9345969	0	33	648.4667900000001	1	14.470715860000041	48.5	-61	57
4	1	746.2486243000001	Left Leg	43.5	749.3675385	1	29	782.3600621	0	14.62844412000004	46.5	-43	48
5	1	837.1995758	Right Leg	34.5	841.8003455	3	31	879.0523762	2	14.627272600000197	47.5	-47	49
6	1	956.6318918	Chest	44.5	961.5996092	3	32	1000.7009855000001	3	14.579379119999885	48.0	-61	55
7	1	1056.7781181	Right Face	35.5	1057.9644874	0	32	1097.7198012000001	0	14.405743539999776	49.0	-36	49
8	2	1168.5302417	Right Leg	38.0	1170.8657959	1	30	1207.429868	2	14.45348365999962	47.0	-45	50
9	2	1246.3662793	Left Face	34.5	1251.3318204	3	30	1294.2332439	3	14.395687699999826	49.0	-59	54
10	2	1342.9657146	Abdomen	42.0	1345.6485896	1	32	1382.1747632	1	14.549011979999705	48.0	-55	51
11	2	1418.5380557	Chest	44.0	1419.9468174	0	32	1456.7666611	1	14.428601699999717	48.0	-55	51
12	2	1524.5305387	Left Arm	37.5	1529.3671318	1	32	1571.3802364	2	14.399234360000037	49.0	-62	57
13	2	1621.9999886	Left Leg	38.5	1624.9805615	2	33	1663.5274219	2	14.387303599999768	48.5	-65	63
14	2	1717.7204088	Right Face	36.5	1722.8464954	3	33	1764.8185322	2	14.234849139999596	49.0	-37	41
15	2	1853.4872077	Right Arm	39.0	1856.4628011	2	33	1897.2541755	1	14.667579599999726	49.0	-46	46
16	3	2014.9766301999998	Chest	43.0	2016.0455874	0	34	2053.4257786	0	14.503227940000215	49.0	-66	51
17	3	2096.859721	Right Arm	37.5	2100.0285607	2	33	2140.0829419	3	14.539410040000803	48.5	-58	51
18	3	2188.7331058	Right Leg	41.0	2194.161458	3	33	2234.9819406	1	14.504954239999734	49.0	-63	53
19	3	2281.9003337	Abdomen	40.5	2285.4446278	1	33	2323.5207056	1	14.496636020000551	48.5	-63	51
20	3	2364.6303789	Left Face	33.5	2366.6773933	1	33	2408.3944773	2	14.514468740000211	49.0	-53	49
21	3	2467.5740072	Left Arm	36.0	2470.5774001	0	33	2512.2850286	2	14.568047500000375	49.0	-48	49
22	3	2576.4768759	Left Leg	42.5	2578.7099115	0	33	2617.9131116	2	14.445038840000052	48.5	-58	56
23	3	2654.5021135	Right Face	33.5	2659.4096223	3	33	2701.2060996	2	14.520835380000335	49.0	-44	45
24	4	2746.055962	Left Face	36.5	2752.809369	3	33	2794.5446957	2	14.494034360000114	49.0	-53	51
25	4	2842.7699049000003	Right Face	33.0	2845.592424	2	33	2886.4096062	1	14.611326540000391	49.0	-36	40
26	4	2936.9868218	Right Leg	41.5	2939.2752249	0	33	2981.0732123000003	2	14.435058960000333	49.0	-63	54
27	4	3016.9362002	Chest	35.5	3020.9084994	1	33	3060.7295480000002	3	14.540813479999997	48.5	-59	56
28	4	3102.4453197000003	Right Arm	38.5	3104.30652	1	33	3147.2269076000002	3	14.477448339999683	49.0	-61	54
29	4	3186.0648926	Left Arm	41.5	3187.9413116	1	33	3226.877367	2	14.442367959999956	48.5	-62	55
30	4	3262.4029171	Abdomen	41.0	3266.3742221	2	33	3308.3525717	2	14.444250920000286	49.0	-56	51
31	4	3368.2010978	Left Leg	45.5	3372.7904001	2	33	3413.6845745	1	14.573724960000163	49.0	-59	55
